,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,14776,19209,-,-,-
1,Enterprise Value,10884,16752,-,-,-
2,Last Close Price,10.00,12.52,-,-,-
3,PE Ratio,15.30,21.66,-,-,-
4,PS Ratio,2.21,3.54,-,-,-
5,PB Ratio,3.37,4.37,-,-,-
6,P/TBV Ratio,4.44,4.44,-,-,-
7,P/OCF Ratio,24.97,22.93,-,-,-
8,EV/Sales Ratio,1.86,3.08,-,-,-
9,EV/EBITDA Ratio,8.23,13.69,-,-,-
10,EV/EBIT Ratio,8.73,13.90,-,-,-
11,Debt / Equity Ratio,0.02,0.02,0.02,-,0.11
12,Debt / EBITDA Ratio,0.08,0.10,0.10,-,0.05
13,Debt / FCF Ratio,0.16,-,-,-,0.22
14,Asset Turnover,0.88,-,-,-,
15,Inventory Turnover,-,16.28,-,-,-
16,Quick Ratio,3.15,3.15,3.15,-,-
17,Current Ratio,3.54,3.54,3.54,-,-
18,Return on Equity (ROE),11.66%,-,-,-,
19,Return on Assets (ROA),9.69%,-,-,-,
20,Return on Capital (ROIC),12.66%,-,-,-,
21,Return on Capital Employed (ROCE),27.30%,26.23%,21.27%,-,-
22,Earnings Yield,5.73%,4.62%,-,-,-
23,FCF Yield,4.31%,3.87%,-,-,-
24,Payout Ratio,57.03%,-,-,85.01%,85.01%
