,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,262.51,196.1,163.98,211.87,200.19,100.14,104.41,96.33,84.19,101.12,84.18,55.23,81.71,160.64,46,41.53,-,31.66,-
1,Trading Asset Securities,388.9,447.76,558.85,544.77,529.72,614.05,652.75,695.48,670.93,605.94,657.13,688.39,608.84,576.67,162.24,229.35,-,159.72,-
2,Cash & Short-Term Investments,651.41,643.86,722.84,756.64,729.92,714.2,757.16,791.81,755.12,707.06,741.31,743.61,690.56,737.31,208.24,270.88,-,191.37,200.63
3,Cash Growth,-10.76%,-9.85%,-4.53%,-4.44%,-3.34%,1.01%,2.14%,6.48%,9.35%,-4.10%,255.99%,174.52%,-,285.27%,3.79%,-,-,-,-
4,Accounts Receivable,329.6,241.75,198.52,196.57,265.74,150.12,146.59,134.19,203.47,161.01,162.98,161.34,224.28,149.32,201.13,168.71,-,174.37,-
5,Other Receivables,13.42,11.33,8.61,11.21,9.5,6.81,5.96,11.15,6.44,6.24,8.49,5.88,12.51,9.85,11.14,14.32,-,9.96,-
6,Receivables,343.03,253.07,207.13,207.77,275.25,156.93,152.55,145.33,209.91,167.25,171.47,167.22,236.79,159.17,212.27,183.03,-,184.33,-
7,Inventory,201.1,198.95,164.39,161.07,145.69,172.31,176.58,180.68,156.67,200.48,200.71,222.72,254.32,240.25,186.75,189.9,-,161.92,-
8,Other Current Assets,4.39,3.69,3.36,1.98,2.9,4.12,6.01,3.89,4.5,5.37,8.64,5.43,9.15,10.06,8.84,6.67,-,4.43,-
9,Total Current Assets,1200,1100,1098,1127,1154,1048,1092,1122,1126,1080,1122,1139,1191,1147,616.09,650.48,-,542.06,-
10,"Property, Plant & Equipment",396.48,391.31,382.31,359.74,333.19,324.8,303.37,298.14,263.89,252.47,226.93,224.05,218.2,216,195.05,180.81,-,166.63,-
11,Long-Term Investments,20,20,15,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,48.23,48.62,49.36,50.02,49.34,50.01,50.62,51.38,51.9,52.34,52.23,51.01,51.12,51.66,52.23,52.18,-,52.08,-
13,Long-Term Deferred Tax Assets,7.87,7.84,7.91,8.55,10.5,10.52,10.21,10.18,11.77,11.37,12.53,11.74,9.02,7.87,8.3,7.97,-,11.38,-
14,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.39,-,-,-
15,Other Long-Term Assets,3.11,1.93,1.91,16.52,12.77,7.23,7.11,6.52,6.31,5.51,7.51,4.84,8.91,6.91,14.45,10.34,-,9.47,-
16,Total Assets,1676,1569,1554,1567,1560,1440,1464,1488,1460,1402,1421,1431,1478,1429,886.12,904.17,-,781.62,-
17,Accounts Payable,319.83,279.52,216.62,244.65,261.18,188.76,177.86,203.32,188.59,184.56,195.79,205.04,273.66,252.49,207.96,248.79,-,218.13,-
18,Accrued Expenses,24.8,24.88,19.74,28.13,23.23,22.48,18.9,28.56,22.77,23.86,19.89,29.37,23.1,24.27,18.83,26.06,-,19.92,-
19,Current Portion of Leases,0.06,0.06,0.06,0.06,0.02,0.05,0.07,0.09,0.12,0.12,0.12,0.12,-,-,-,-,-,-,-
20,Current Income Taxes Payable,12.58,6.78,9.65,7.5,11.94,4.7,4.55,4.59,10.1,2.73,3.58,0.25,2.51,0.5,3.57,-,-,7.17,-
21,Current Unearned Revenue,16.62,7.79,3.21,3.7,3.24,3.51,5.65,3.23,3.87,4.36,4.41,6.15,7.04,6.75,5.99,5.34,-,7.04,-
22,Other Current Liabilities,7.96,5.07,4,6.03,13.72,12.47,5.78,6.38,17.8,6.53,3.55,2,2.66,2.47,1.73,2.05,-,2.43,-
23,Total Current Liabilities,381.85,324.11,253.29,290.08,313.34,231.97,212.81,246.17,243.26,222.16,227.33,242.93,308.96,286.48,238.09,282.24,-,254.69,-
24,Long-Term Leases,0.09,0.11,0.12,0.14,-,-,-,0.02,0.06,0.09,0.12,0.15,-,-,-,-,-,-,-
25,Long-Term Unearned Revenue,11.25,11.96,12.02,12.7,13.43,14.19,14.96,15.75,16.56,16.68,17.45,14.51,10.96,11.54,12.14,12.74,-,13.09,-
26,Long-Term Deferred Tax Liabilities,16.26,16.41,17.02,17.61,18.24,18.77,19.86,20.59,20.47,20.47,20.79,20.07,15.8,15,12.35,10.09,-,8.77,-
27,Other Long-Term Liabilities,15.52,15.52,15.52,15.52,15.52,15.52,15.52,15.52,15.52,15.52,15.52,15.52,15.94,16,15.52,15.52,-,-,-
28,Total Liabilities,424.97,368.12,297.97,336.05,360.53,280.46,263.16,298.05,295.86,274.92,281.21,293.18,351.67,329.02,278.1,320.59,-,276.55,-
29,Common Stock,186.68,186.68,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,100,100,-,100,-
30,Additional Paid-In Capital,641.27,641.27,694.61,694.61,694.61,694.61,694.61,694.61,694.61,694.61,694.61,694.61,694.61,694.61,183.26,183.26,-,183.26,-
31,Retained Earnings,417.22,368.6,424.43,400.35,371.33,332.11,372.4,361.49,336.3,298.9,312.17,309.49,298.46,272.25,324.76,300.32,-,221.81,-
