,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,425.64,309.59,215.23,230.52,346.83,226.19,191.67,208.06,314.15,249.66,246.54,286.03,336.64,276.77,285.73,281.1,378.33,274.37,163.57
1,Other Revenue,-0.75,0.75,-,1.65,-0.67,0.67,-,1.69,-0.96,0.96,-,1.35,-0.6,0.6,-,1.4,-0.65,0.65,-
2,Revenue,424.89,310.35,215.23,232.17,346.16,226.85,191.67,209.75,313.19,250.61,246.54,287.38,336.04,277.37,285.73,282.51,377.68,275.02,163.57
3,Revenue Growth (YoY),22.74%,36.81%,12.29%,10.69%,10.53%,-9.48%,-22.26%,-27.01%,-6.80%,-9.65%,-13.71%,1.73%,-11.03%,0.86%,74.68%,-,-,-,-
4,Cost of Revenue,333.76,242.75,169.84,186.51,270.95,184.46,158.99,167.42,251.73,206.64,222.7,254.64,284.93,232.61,230.91,232.9,281.15,200.47,127.12
5,Gross Profit,91.12,67.6,45.39,45.66,75.21,42.39,32.68,42.33,61.46,43.97,23.85,32.74,51.1,44.76,54.82,49.61,96.53,74.55,36.45
6,"Selling, General & Admin",18.27,17.02,15.14,12.46,18.7,15.37,14.84,14.31,17.95,16.15,16.42,17.09,19.73,23.43,17.62,5.39,22.09,19.17,12.04
7,Research & Development,10.55,9.82,7.45,6.6,7.85,7.41,8.07,6.89,7.4,7.13,10.21,7.05,9.3,10.2,8.7,8.29,9.1,7.97,6.48
8,Other Operating Expenses,-1.51,0.41,-0.16,4.01,0.03,-2.13,-1.43,7.94,0.58,-0.88,-1.5,5.15,-1.31,0.32,0.38,6.14,0.06,-0.41,-0.05
9,Operating Expenses,29.93,28.57,22.52,21,30.15,20.71,21.88,27.09,27.17,22.22,25.18,27.36,30.03,32.34,27.72,17.67,31.54,52,17.68
10,Operating Income,61.2,39.03,22.87,24.66,45.06,21.69,10.8,15.23,34.29,21.76,-1.33,5.39,21.07,12.41,27.1,31.93,64.99,22.55,18.77
11,Interest Expense,-0,-0,-0,-0,-0,-0,-0,-0.01,-,-0.01,-,-0.01,-,-,-,-,-,-,-
12,Interest & Investment Income,2.27,6.26,3.53,3.19,2.43,5.86,5.62,1.8,0.96,8.05,4.4,5.07,3.38,3.15,2.55,3.72,4.74,1.23,2.3
13,Currency Exchange Gain (Loss),-7.04,7.04,-,3.46,-5.77,5.77,-,21.21,-10.2,10.2,-,-7.15,2.81,-2.81,-,-22.24,-1.82,1.82,-
14,Other Non Operating Income (Expenses),0.31,-2.62,2.31,-6.29,5.93,2.69,-3.58,-23.66,23.61,0.36,-0.9,-3.73,-1.99,3.96,1.12,8.91,-10.29,-0.64,1.51
