,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4803,3207,2879,3204,3378,3068,3108,3140,2837,2724,2907,3265,3848,3666,4594,-,-,-,-,-
1,Market Cap Growth,4.53%,4.53%,-7.39%,2.04%,19.03%,12.63%,6.93%,-3.84%,-26.26%,-25.68%,-36.73%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4152,2563,2156,2474,2648,2354,2351,2385,2083,2017,2166,2575,3158,2928,4386,-,-,-,-,-
3,Last Close Price,25.73,17.18,15.42,16.61,17.51,15.91,16.11,15.93,14.39,13.82,14.75,16.28,19.19,18.28,30.55,-,-,-,-,-
4,PE Ratio,29.01,21.98,21.09,26.99,32.00,30.17,31.12,29.37,28.76,32.23,39.64,60.39,50.74,39.18,39.23,-,-,-,-,-
5,PS Ratio,3.58,2.71,2.61,3.14,3.39,3.15,3.30,3.25,2.78,2.48,2.59,2.85,3.24,3.10,3.76,-,-,-,-,-
6,PB Ratio,3.84,2.56,2.40,2.55,2.74,2.56,2.68,2.62,2.38,2.34,2.58,2.86,3.38,3.25,4.18,-,-,-,-,-
7,P/TBV Ratio,2.67,2.67,2.50,2.65,2.86,2.67,2.80,2.73,2.49,2.45,2.71,3.00,3.54,3.41,4.38,-,-,-,-,-
8,P/FCF Ratio,154.38,103.08,73.42,-,129.77,97.81,56.12,-,36.65,30.05,315.70,-,-1345.79,-,85.75,-,-,-,-,-
9,P/OCF Ratio,28.32,28.32,26.25,-,32.70,25.19,20.66,-,17.18,16.78,38.51,-,49.34,-,33.27,-,-,-,-,-
10,EV/Sales Ratio,3.51,2.17,1.95,2.42,2.66,2.42,2.50,2.47,2.04,1.84,1.93,2.24,2.66,2.48,3.59,-,-,-,-,-
11,EV/EBITDA Ratio,24.15,14.24,13.08,16.62,19.24,18.24,19.94,20.20,19.72,21.15,26.90,36.33,32.33,23.89,26.45,-,-,-,-,-
12,EV/EBIT Ratio,29.36,17.35,16.38,21.65,25.91,25.37,28.67,29.06,29.78,33.57,46.20,-,47.86,31.65,32.14,-,-,-,-,-
13,EV/FCF Ratio,133.45,82.39,54.99,-,101.72,75.04,42.45,-,26.90,22.26,235.22,-,-1104.29,-,81.87,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-,-,-,-,-,-,-
16,Debt / FCF Ratio,0.00,0.00,0.00,-,0.01,0.00,0.00,-,0.00,0.00,0.02,-,-0.09,-,-,-,-,-,-,-
17,Asset Turnover,1.05,0.79,0.55,0.59,0.92,0.62,0.52,0.57,0.88,0.71,0.69,0.79,0.92,0.96,1.28,-,-,-,-,
