,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,1100,1196,1458,1828,1412,1549,-,340.93,-,-,-
1,Trading Asset Securities,-,30,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1130,1130,1196,1458,1828,1412,1549,340.93,340.93,-,-,377.36
3,Cash Growth,-38.15%,-19.94%,-22.80%,327.76%,436.06%,-,-,-9.65%,-,-,-,-
4,Accounts Receivable,-,570.32,439.32,342.99,268.43,473.74,435.56,-,252.49,-,-,-
5,Other Receivables,-,5.32,4.56,1.58,2.4,2.04,1.83,-,1.52,-,-,-
6,Receivables,-,575.64,443.88,344.58,270.83,475.78,437.39,-,254.01,-,-,-
7,Inventory,-,267.62,232.21,243.32,232.06,257.84,240.76,-,263.83,-,-,-
8,Prepaid Expenses,-,-,0,-,0.7,-,0.01,-,-,-,-,-
9,Other Current Assets,-,57.14,45.82,56.06,37.97,44.72,47.31,-,51.52,-,-,-
10,Total Current Assets,-,2031,1918,2102,2369,2190,2274,-,910.3,-,-,-
11,"Property, Plant & Equipment",-,773.69,757.29,757.81,757.36,754.19,746.75,-,748.58,-,-,-
12,Goodwill,-,1.31,1.31,1.31,1.31,1.31,1.31,-,1.31,-,-,-
13,Other Intangible Assets,-,128.21,129.03,91.54,92.16,92.64,93.16,-,94.3,-,-,-
14,Long-Term Deferred Tax Assets,-,17.9,17.92,17.02,15.75,16.63,16.59,-,14.68,-,-,-
15,Long-Term Deferred Charges,-,0.5,0.52,1.26,1.29,1.44,1.52,-,1.66,-,-,-
16,Other Long-Term Assets,-,5.6,10.74,11.96,10.01,13.01,11.3,-,2.85,-,-,-
17,Total Assets,-,2958,2834,2983,3247,3070,3145,-,1774,-,-,-
18,Accounts Payable,-,509.28,402.31,382.46,539.28,496.99,408.02,-,440.48,-,-,-
19,Accrued Expenses,-,54.91,50.67,37.88,81.49,38.98,37.24,-,44.19,-,-,-
20,Short-Term Debt,-,-,-,-,10.01,10.01,129.11,-,44.6,-,-,-
21,Current Portion of Long-Term Debt,-,40.07,40.1,40.26,40.13,50.18,50.15,-,62.49,-,-,-
22,Current Portion of Leases,-,-,0.15,-,0.15,-,0.4,-,0.27,-,-,-
23,Current Income Taxes Payable,-,24.34,10.11,13.49,11.46,13.71,6.27,-,11.06,-,-,-
24,Current Unearned Revenue,-,23.54,74.24,181.54,185.55,48.76,92.21,-,105.91,-,-,-
25,Other Current Liabilities,-,12.56,13.76,13.75,12.07,20.24,59.59,-,63.54,-,-,-
26,Total Current Liabilities,-,664.69,591.33,669.38,880.15,678.88,782.97,-,772.54,-,-,-
27,Long-Term Debt,-,20,40,40,60,134.06,159.61,-,300.75,-,-,-
28,Long-Term Leases,-,1.23,1.22,1.33,1.32,1.44,1.27,-,1.03,-,-,-
29,Long-Term Unearned Revenue,-,20.24,20.02,20.3,20.57,18.72,17.95,-,11.15,-,-,-
30,Long-Term Deferred Tax Liabilities,-,3.12,3.22,3.33,3.43,3.6,3.7,-,3.84,-,-,-
31,Other Long-Term Liabilities,-,0.94,1.02,1.02,1.04,1.04,1.05,-,1.07,-,-,-
32,Total Liabilities,-,710.23,656.81,735.36,966.51,837.74,966.54,-,1090,-,-,-
33,Common Stock,-,175.7,175.7,146.67,146.67,146.67,146.67,-,110,-,-,-
34,Additional Paid-In Capital,-,1642,1642,1671,1671,1671,1671,-,264.49,-,-,-
35,Retained Earnings,-,453.76,384.16,453.61,420.64,372.54,323.22,-,279.96,-,-,-
36,Treasury Stock,-,-76.15,-72.27,-70.13,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,35.3,33.88,31.27,28.92,29.39,26.72,-,21.92,-,-,-
38,Total Common Equity,2230,2230,2163,2232,2267,2219,2167,676.36,676.36,-,-,562.61
39,Minority Interest,-,17.44,14.42,15.7,13.54,12.44,11.06,-,6.93,-,-,-
40,Shareholders' Equity,2248,2248,2178,2248,2281,2232,2178,683.29,683.29,-,-,566.94
41,Total Liabilities & Equity,-,2958,2834,2983,3247,3070,3145,-,1774,-,-,-
42,Total Debt,61.31,61.31,81.46,81.58,111.61,195.69,340.53,409.14,409.14,-,-,435.66
43,Net Cash (Debt),1069,1069,1114,1377,1716,1216,1208,-68.21,-68.21,-,-,-58.3
44,Net Cash Growth,-37.70%,-12.10%,-7.79%,-,-,-,-,-,-,-,-,-
45,Net Cash Per Share,6.27,5.92,6.39,8.01,9.79,6.81,8.87,-0.54,-0.50,-,-,-0.44
46,Filing Date Shares Outstanding,170.55,174.04,174.14,174.19,176,176,176,125.94,132,131.03,131.58,131.58
47,Total Common Shares Outstanding,174.04,174.04,174.14,174.19,176,176,176,125.94,132,131.03,131.58,131.58
48,Working Capital,-,1366,1326,1433,1489,1511,1491,-,137.76,-,-,-
49,Book Value Per Share,12.82,12.82,12.42,12.81,12.88,12.61,12.31,5.12,5.12,-,-,4.66
50,Tangible Book Value,2101,2101,2033,2139,2173,2125,2073,580.75,580.75,-,-,468.72
51,Tangible Book Value Per Share,12.07,12.07,11.67,12.28,12.35,12.08,11.78,4.40,4.40,-,-,3.88
52,Buildings,-,-,567.92,-,567.88,-,531.07,-,524.6,-,-,-
53,Machinery,-,-,364.84,-,342.88,-,311.43,-,309.92,-,-,-
54,Construction In Progress,-,-,53.99,-,50.87,-,84.5,-,75.06,-,-,-
