,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,10148,8723,7887,7142,7683,8199,6873,8236,-,-,-,-,-
1,Market Cap Growth,6.39%,6.39%,14.75%,-13.28%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9096,7671,6787,5780,5980,6995,5676,8310,-,-,-,-,-
3,Last Close Price,58.31,50.12,45.29,41.07,43.02,45.91,38.48,46.11,-,-,-,-,-
4,PE Ratio,51.15,43.89,39.96,40.33,46.79,58.28,54.37,73.48,-,-,-,-,-
5,Forward PE,46.65,42.33,40.51,40.01,-,-,-,-,-,-,-,-,-
6,PS Ratio,8.44,7.24,7.00,6.36,7.13,7.88,7.27,9.29,-,-,-,-,-
7,PB Ratio,4.55,3.88,3.51,3.28,3.42,3.60,3.08,3.78,-,-,-,-,-
8,P/TBV Ratio,4.15,4.15,3.75,3.51,3.59,3.77,3.23,3.97,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,23.40,88.01,166.51,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,18.57,37.48,52.62,-,-,-,-,-
11,EV/Sales Ratio,7.55,6.37,6.03,5.15,5.55,6.72,6.00,9.37,-,-,-,-,-
12,EV/EBITDA Ratio,31.98,26.87,27.41,25.62,26.72,34.36,28.64,45.84,-,-,-,-,-
13,EV/EBIT Ratio,38.44,32.42,34.15,32.37,33.56,43.76,36.31,59.10,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,19.96,72.68,168.02,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.04,0.04,0.05,0.09,0.16,0.60,0.60,-,-,0.77
16,Debt / EBITDA Ratio,0.22,0.16,0.17,0.37,0.45,0.50,0.70,1.59,4.05,1.99,-,-,2.66
17,Debt / FCF Ratio,-,-,-,-,-,0.32,2.51,6.89,-,67.15,-,-,-
18,Asset Turnover,-,0.39,0.41,0.24,0.46,0.36,-,-,-,-,-,-,
19,Inventory Turnover,-,-,2.75,3.42,1.75,4.21,2.93,-,-,-,-,-,-
20,Quick Ratio,-,-,2.57,2.77,2.69,2.38,2.78,2.54,-,0.77,-,-,-
21,Current Ratio,-,-,3.06,3.24,3.14,2.69,3.23,2.90,-,1.18,-,-,-
22,Return on Equity (ROE),7.65%,13.13%,8.69%,6.19%,8.72%,9.17%,10.06%,6.56%,-,-,-,-,
23,Return on Assets (ROA),-,6.87%,3.62%,2.69%,3.45%,4.78%,-,-,-,-,-,-,
24,Return on Capital (ROIC),8.81%,8.71%,4.59%,3.55%,4.52%,6.00%,5.78%,3.47%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,8.67%,7.96%,7.70%,6.75%,6.54%,5.95%,-,14.69%,-,-,-
26,Earnings Yield,1.96%,2.28%,2.50%,2.48%,2.14%,1.72%,1.84%,1.36%,-,-,-,-,-
27,FCF Yield,-,0.62%,1.68%,3.87%,4.27%,1.14%,0.60%,-,-,-,-,-,
28,Dividend Yield,1.15%,-,-,-,-,1.45%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,0.67%,251.12%,2.88%,3.31%,5.81%,10.57%,39.22%,13.00%,12.04%,19.47%,19.47%
30,Buyback Yield / Dilution,-13.59%,2.72%,-1.00%,-27.94%,-36.53%,-28.78%,-36.36%,-3.55%,4.29%,-,-,-,-
31,Total Shareholder Return,-12.44%,2.72%,-1.00%,-27.94%,-36.53%,-27.33%,-36.36%,-3.55%,4.29%,-,-,-,-
