,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,440.48,283.49,297.08,183.39,358.25,279.05,253.24,145.59,265.93,220.19,174.74,174.74
1,Other Revenue,-,-1.41,1.41,-,4.12,-0.85,0.85,-,1.61,-0.69,0.34,0.34
2,Revenue,440.48,282.08,298.48,183.39,362.37,278.2,254.09,145.59,267.54,219.5,175.09,175.09
3,Revenue Growth (YoY),21.55%,1.40%,17.47%,25.97%,35.45%,26.74%,45.12%,-16.85%,-,-,-,-
4,Cost of Revenue,488.47,171.72,203.4,104.23,258.11,182.35,166.6,96.8,170.27,133.78,111.13,111.13
5,Gross Profit,-47.99,110.36,95.09,79.16,104.27,95.84,87.49,48.78,97.28,85.73,63.96,63.96
6,"Selling, General & Admin",-68.75,25.71,21.71,21.33,34.77,18.88,20.68,20.32,35.78,20.79,16.82,16.82
7,Research & Development,-66.2,23.59,22.97,19.64,25.98,20.73,15.85,9.82,21.56,18.63,12.24,12.24
8,Other Operating Expenses,20.02,-18.01,-1.14,-0.86,4.37,-0.27,-0.15,-0.44,2.46,-0.68,-0.63,-0.63
9,Operating Expenses,-129.39,30.82,52.92,45.65,60.73,36.47,45.72,33.61,57.3,42.02,32.25,32.25
10,Operating Income,81.4,79.54,42.16,33.51,43.54,59.37,41.78,15.17,39.97,43.7,31.71,31.71
11,Interest Expense,-19.72,-0.57,-0.88,-0.92,-1.54,-2.75,-3.49,-3.65,-4.38,-4.28,-2.85,-2.85
12,Interest & Investment Income,2.37,3.89,5.86,9.97,7.82,3.8,0.15,0.31,0.29,0.12,0.29,0.29
13,Other Non Operating Income (Expenses),-1.81,-0.03,-0.19,-0.04,0.1,0.05,-0.01,-0.11,0.4,-0.5,0.14,0.14
14,EBT Excluding Unusual Items,62.24,82.84,46.95,42.51,49.92,60.47,38.43,11.73,36.28,39.05,29.29,29.29
15,Gain (Loss) on Sale of Assets,-2.53,2.53,-,-,0.01,0.01,-0.01,-,0,-,-,-
16,Asset Writedown,-0.43,0.43,0.53,-0.53,0.3,-0.3,0.06,-0.06,0.27,-0.27,-2.52,-2.52
17,Other Unusual Items,0.03,-3.59,3.73,-0.17,6.2,-3.72,3.72,-,0.65,1.12,-0.56,-0.56
18,Pretax Income,59.3,82.22,51.22,41.81,56.43,56.47,42.19,11.67,37.2,39.91,26.21,26.21
19,Income Tax Expense,16.33,9.56,3.14,6.78,7.25,5.89,6.21,0.46,3.57,3.44,4.75,4.75
20,Earnings From Continuing Operations,42.97,72.65,48.08,35.03,49.18,50.58,35.98,11.2,33.63,36.47,21.45,21.45
21,Minority Interest in Earnings,6.51,-3.06,-1.4,-2.06,-1.08,-1.26,-2.17,-1.76,0.2,-1.5,-0.62,-0.62
22,Net Income,49.48,69.6,46.68,32.96,48.1,49.32,33.82,9.45,33.84,34.97,20.84,20.84
23,Net Income to Common,49.48,69.6,46.68,32.96,48.1,49.32,33.82,9.45,33.84,34.97,20.84,20.84
24,Net Income Growth,2.87%,41.11%,38.04%,248.98%,42.17%,41.02%,62.30%,-54.67%,-,-,-,-
25,Shares Outstanding (Basic),171,180,174,172,175,179,136,126,136,131,132,132
26,Shares Outstanding (Diluted),171,180,174,172,175,179,136,126,136,131,132,132
27,Shares Change (YoY),-2.72%,1.00%,27.94%,36.53%,28.78%,36.36%,3.55%,-4.29%,-,-,-,-
28,EPS (Basic),0.29,0.39,0.27,0.19,0.27,0.28,0.25,0.07,0.25,0.27,0.16,0.16
29,EPS (Diluted),0.29,0.39,0.27,0.19,0.27,0.28,0.25,0.07,0.25,0.27,0.16,0.16
