,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,14053,13909,20572,14206,17911,22428,22777,29590,37281,52480,61504,48776,26400,28160,-,-,-,-,-,-,-
1,Market Cap Growth,-37.99%,-37.99%,-9.68%,-51.99%,-51.96%,-57.26%,-62.97%,-39.33%,41.22%,86.37%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10371,10226,16320,9522,13097,17614,17963,24314,31902,47101,55855,43126,26230,27990,-,-,-,-,-,-,-
3,Last Close Price,113.81,112.64,166.22,114.78,142.02,177.84,178.73,231.50,288.37,405.94,475.74,377.29,203.54,217.10,-,-,-,-,-,-,-
4,PE Ratio,40.36,40.10,60.15,40.47,44.46,43.82,38.88,43.56,59.97,98.55,139.07,150.14,102.61,139.58,-,-,-,-,-,-,-
5,Forward PE,20.30,21.72,29.01,19.94,17.81,19.95,19.97,25.42,29.78,59.30,80.52,86.51,61.17,-,-,-,-,-,-,-,-
6,PS Ratio,6.89,6.85,10.92,7.60,10.08,11.07,11.34,14.17,19.75,34.16,50.23,49.22,29.11,35.41,-,-,-,-,-,-,-
7,PB Ratio,2.25,2.23,3.30,2.30,2.78,3.52,3.55,4.68,5.66,8.19,9.88,8.04,4.35,4.70,-,-,-,-,-,-,-
8,P/TBV Ratio,2.36,2.36,3.49,2.43,2.88,3.64,3.67,4.70,5.68,8.21,9.90,8.06,4.36,4.72,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-94.91,-,-1070.59,-,214.08,191.42,264.20,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,65.53,84.70,551.00,-,120.80,-,123.17,155.26,179.87,148.39,187.74,-,-,-,-,-,-,-
