,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,4309,4423,4758,4843,4844,4846,5263,5287,5149,5528,5521,5580,226.43,196.84,-,177.31,-,101.72,101.72
1,Trading Asset Securities,-,40.07,-,6.47,-,-,1.01,42.01,191.01,252.01,132.01,140.01,110.01,0.01,-,-,-,-,-,-
2,Cash & Short-Term Investments,4349,4349,4423,4764,4843,4844,4847,5305,5478,5401,5660,5661,5690,226.44,196.84,177.31,177.31,101.72,101.72,101.72
3,Cash Growth,-10.21%,-10.22%,-8.76%,-10.20%,-11.59%,-10.32%,-14.37%,-6.28%,-3.72%,2285.28%,2775.61%,3092.68%,3109.02%,122.61%,93.51%,74.31%,-,-,-,-
4,Accounts Receivable,-,442.62,536.65,416.05,447.99,227.16,405.86,397.59,359.09,359.76,280.07,314.83,277.23,232.59,213.04,-,223.04,-,157.98,157.98
5,Other Receivables,-,196.32,148.44,62.4,60.66,194.5,70.65,112.07,101.88,51.22,29.3,30.56,43.65,10.53,10.59,-,9.22,-,10.51,10.51
6,Receivables,-,638.95,685.09,478.46,508.65,421.67,476.52,509.66,460.97,410.98,309.37,345.4,320.88,243.11,223.62,-,232.26,-,168.5,168.5
7,Inventory,-,988.99,971.57,836.43,730.75,841.32,817.58,783.35,641.59,392.04,320.71,257.28,214.33,184.85,172.12,-,126.22,-,125.49,125.49
8,Prepaid Expenses,-,-,0.04,-,2.19,-,-,-,1.69,-,0,-,0,-,-,-,-,-,-,-
9,Other Current Assets,-,215.25,166.42,234.12,99.06,110.86,74.17,70.48,59.7,79.99,21.46,20.01,12.31,16.33,15.63,-,12.83,-,20.35,20.35
10,Total Current Assets,-,6192,6246,6313,6184,6218,6215,6669,6642,6284,6312,6284,6237,670.73,608.21,-,548.63,-,416.06,416.06
11,"Property, Plant & Equipment",-,1258,728.65,700.67,675.94,579.26,701.68,646.6,573.7,540.09,156.58,148.9,149.12,142.94,120.68,-,107.64,-,86.87,86.87
12,Long-Term Investments,-,48.5,48.5,48.3,48.24,49.21,8.63,8.65,7.5,3.83,1.68,-,-,-,-,-,-,-,0.17,0.17
13,Other Intangible Assets,-,330.44,313.82,209.49,209.03,206.54,34.41,33.47,17.85,17.81,17.48,17.71,17.33,17.32,17.46,-,17.23,-,17.3,17.3
14,Long-Term Accounts Receivable,-,-,9.7,-,17.14,-,1.69,-,4.91,-,2.17,-,1.12,4.89,-,-,4.38,-,-,-
15,Long-Term Deferred Tax Assets,-,133.34,106.12,77.51,78.8,87.31,90.41,74.84,48.51,30.54,25.96,19.08,15.11,12.71,9.58,-,7.38,-,6.2,6.2
16,Long-Term Deferred Charges,-,15.61,12.85,13.46,12.78,12.61,15,11.57,8.3,7.41,2.33,2.44,2.56,2.7,2.61,-,1.65,-,1.8,1.8
17,Other Long-Term Assets,-,118.55,158.78,19.89,1.81,0.6,17.11,26.22,14.69,2.86,1.19,1.6,0.24,0.06,2.32,-,-,-,1.64,1.64
18,Total Assets,-,8096,7624,7383,7228,7153,7084,7470,7318,6887,6519,6473,6423,851.35,760.87,-,686.9,-,530.04,530.04
19,Accounts Payable,-,911.23,792.95,528.14,522.37,455.75,412.12,474.37,534.38,400.62,278.57,253.33,225.12,186.45,172.69,-,160.14,-,95.57,95.57
20,Accrued Expenses,-,70.93,76.08,42.07,88.61,49.11,51.68,35.13,70.12,25.53,35.31,12.29,58.38,15.02,20.03,-,29.98,-,15.86,15.86
21,Short-Term Debt,-,348.04,121.04,29.88,26.82,-,-,-,-,-,-,-,20.01,23.21,13.21,-,31.55,-,33.55,33.55
22,Current Portion of Long-Term Debt,-,15.03,1.36,3.46,1.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,-,-,14.08,-,14.73,9.99,9.31,4.82,4.7,-,-,-,-,-,-,-,-,-,-,-
24,Current Income Taxes Payable,-,60,45.62,31.41,32.49,37.58,39.9,67.95,52.77,45.98,30.24,40.01,30.11,18.26,8.71,-,11.3,-,2.86,2.86
25,Current Unearned Revenue,-,55.35,79.24,88.4,48.5,94.23,114.19,143.8,146.78,104.44,40.09,35.34,31.83,34.19,23.22,-,25.1,-,31.54,31.54
26,Other Current Liabilities,-,21.3,214.57,119.76,12.88,13.27,45.9,60.1,33.21,14.87,16.86,14.62,7.06,12.31,7.04,-,12.45,-,14.75,14.75
27,Total Current Liabilities,-,1482,1345,843.12,747.41,659.92,673.09,786.16,841.94,591.44,401.07,355.6,372.52,289.45,244.9,-,270.51,-,194.13,194.13
28,Long-Term Debt,-,283.14,8.6,9,9,-,-,-,-,-,-,-,21.53,21.53,21.53,-,-,-,-,-
29,Long-Term Leases,-,20.32,23.84,37.64,32.68,21.88,24.86,25.51,17.95,22.84,10.88,11.21,11.54,11.84,12.15,-,14.76,-,10.59,10.59
