,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,765.62,365.19,569.03,331.31,605.87,349.96,477.71,580.34,582.97,429.08,278.1,228.95,273.6,195.79,194.02,117.09,183.02,151.3,70.13,70.13
1,Other Revenue,-,-7.15,7.15,-,12.12,-6.89,6.89,-,17.41,-6.67,6.67,-,14.68,-6.87,6.87,-,6.53,1.88,6.02,6.02
2,Revenue,765.62,358.04,576.19,331.31,617.99,343.07,484.6,580.34,600.38,422.41,284.77,228.95,288.27,188.92,200.9,117.09,189.54,153.18,76.15,76.15
3,Revenue Growth (YoY),23.89%,4.36%,18.90%,-42.91%,2.93%,-18.78%,70.17%,153.48%,108.27%,123.59%,41.75%,95.53%,52.09%,23.33%,163.83%,53.77%,-,-,-,-
4,Cost of Revenue,1022,180.09,308.17,168.67,351.06,185.05,311.74,311.02,349.01,220.12,158.39,118.6,163.2,112.04,118.84,61.74,113.3,91.25,43.09,43.09
5,Gross Profit,-256.21,177.95,268.02,162.64,266.93,158.01,172.87,269.32,251.37,202.3,126.38,110.35,125.07,76.88,82.05,55.36,76.24,61.93,33.06,33.06
6,"Selling, General & Admin",-283.77,106.17,97.47,80.13,84.19,62.32,49.61,83.35,62.39,43.04,38.04,25.78,27.36,18.94,21.47,17.27,19.42,15.33,12.6,12.6
7,Research & Development,-199.35,78.09,69.75,51.52,105.23,55.57,50.13,36.82,46.78,22.12,16.88,11.62,16.08,10.45,12.08,7.18,6.67,9.34,6.43,6.43
8,Other Operating Expenses,49.64,-22.31,-19.29,-8.04,-4.01,-10.61,-29.3,-25.66,-11.46,-11.77,-13.52,-4.99,-13.34,0.91,-3.13,-6.3,4.07,-2.99,-2.03,-2.03
9,Operating Expenses,-441.73,164.33,154.74,122.66,200.83,102.1,69.97,95.96,100.43,59.68,40.93,33.13,34.6,32.04,29.6,17.99,34.22,20.46,16.78,16.78
10,Operating Income,185.52,13.62,113.28,39.98,66.1,55.92,102.9,173.35,150.94,142.61,85.46,77.22,90.47,44.84,52.45,37.37,42.02,41.47,16.28,16.28
11,Interest Expense,-90.62,-4.35,-1.02,-1.38,-1.01,-0.41,-0.64,-0.16,-0.27,-0.25,-0.11,-0.24,-0.48,-0.61,-0.55,-0.42,-0.12,-0.62,-0.44,-0.44
12,Interest & Investment Income,6.74,28.79,29.15,32.67,32.49,49.74,46.83,25.92,41.59,39.54,46.85,24.98,3.63,0.81,0.49,0.55,0.37,0.31,0.4,0.4
13,Currency Exchange Gain (Loss),-,2.08,-2.08,-,30.45,-42.14,42.14,-,-0.59,1.18,-1.18,-,-7.94,2.29,-2.29,-,-2.74,-,0.22,0.22
14,Other Non Operating Income (Expenses),-14.33,16.66,2.39,-7.31,-14.3,13.64,1.81,0.93,-6.4,1.82,3.05,-3.01,-0.1,-2.01,0.78,-0.81,1.48,-1.5,-0.29,-0.29
15,EBT Excluding Unusual Items,87.31,56.8,141.73,63.97,113.73,76.74,193.03,200.05,185.28,184.91,134.06,98.96,85.58,45.33,50.88,36.7,41.02,39.65,16.17,16.17
16,Gain (Loss) on Sale of Investments,-0.07,0.07,-0.07,0.07,-,-,-,-,-,-,-,-,0.05,-0.05,-,-,-0.16,-,-0.03,-0.03
17,Gain (Loss) on Sale of Assets,0.19,-0.22,0.08,-0.05,-0.04,-0.01,-0.01,-0.02,0.01,-0.03,0.03,-,-0.02,0,-0.02,-,-,-,-,-
18,Asset Writedown,0.4,-0.85,0.38,0.07,-0.04,-0.14,-0.28,0.45,0.11,-0.05,-1.35,1.3,0.99,-1,0.3,-0.3,0.53,0.8,-,-
19,Other Unusual Items,-0.01,-3.21,3.25,-0.03,9.51,-0,0,-,9.5,-0.26,0.26,-,6.12,-0.2,0.2,-,5.34,-,-,-
20,Pretax Income,87.82,52.59,145.37,64.03,123.17,76.59,192.75,200.48,194.9,184.57,132.99,100.25,92.72,44.08,51.36,36.4,46.72,40.46,16.13,16.13
21,Income Tax Expense,-13.93,-4.72,23.96,-2.34,22.73,10.44,21.02,25.38,23.55,25.24,18.67,13.01,12.58,1.15,4.39,4.7,7.99,3.37,1.99,1.99
22,Earnings From Continuing Operations,101.75,57.31,121.41,66.37,100.44,66.15,171.72,175.1,171.35,159.33,114.33,87.25,80.14,42.93,46.98,31.7,38.73,37.09,14.15,14.15
23,Minority Interest in Earnings,-0.53,0.68,-1.09,0.94,-4.03,0.81,0.44,1.22,-0.91,0.98,0.23,-,-,-,-,-,-,-,-,-
24,Net Income,101.22,57.99,120.32,67.3,96.41,66.96,172.16,176.32,170.44,160.31,114.56,87.25,80.14,42.93,46.98,31.7,38.73,37.09,14.15,14.15
