,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,94933,94933,43299,39703,79351,57642,42120,44190,84281,45622,48434,36432,55823,-,-,-
1,Short-Term Investments,74920,74920,96600,99900,89050,88080,86270,84940,89550,110450,118900,118400,101050,-,-,-
2,Cash & Short-Term Investments,169853,169853,139899,139603,168401,145722,128390,129130,173831,156072,167334,154832,156873,-,-,-
3,Cash Growth,0.86%,16.56%,8.96%,8.11%,-3.12%,-6.63%,-23.27%,-16.60%,10.81%,-,-,-,-,-,-,-
4,Accounts Receivable,62391,62391,74492,60012,54221,48429,55701,68755,64817,63588,88480,82841,60743,-,-,-
5,Other Receivables,5640,5640,5891,4191,7883,2724,8801,7136,8417,3071,12338,5529,7208,-,-,-
6,Receivables,68031,68031,80383,64204,62104,51153,64502,75891,73235,66658,100818,88370,67951,-,-,-
7,Inventory,112834,112834,113992,102437,104433,106536,98298,104997,105075,108353,102571,93279,94446,-,-,-
8,Prepaid Expenses,269.93,269.93,188.97,470.78,770.37,796.17,992.88,441.68,684.24,182.41,530.02,576.26,176.67,-,-,-
9,Other Current Assets,57370,57370,13720,15949,10985,11730,11679,36958,6113,10209,7078,9538,3913,-,-,-
10,Total Current Assets,408358,408358,348182,322664,346693,315939,303861,347418,358938,341475,378330,346595,323360,-,-,-
11,"Property, Plant & Equipment",241298,241298,158433,135889,134677,136814,120810,90069,92379,87223,85936,80661,81855,-,-,-
12,Other Intangible Assets,264.69,264.69,230,230,230,230,230,230,230,230,230,230,230,-,-,-
13,Other Long-Term Assets,381.07,381.07,130.17,410.62,156.04,295.08,382.46,487.71,535.79,846.95,549.87,838.21,1117,-,-,-
14,Total Assets,650302,650302,506975,459193,481756,453278,425283,438205,452082,429775,465046,428325,406563,-,-,-
15,Accounts Payable,51197,51197,14343,12376,15384,10922,11017,8495,12081,7215,12712,15056,18121,-,-,-
16,Accrued Expenses,18725,24660,10951,10247,16220,9997,10014,9704,18594,9668,13700,11795,16378,-,-,-
17,Short-Term Debt,136771,136771,57981,42646,53136,42358,20143,54769,39040,28804,54816,40490,33201,-,-,-
18,Current Income Taxes Payable,5935,-,7211,5910,5737,8864,7617,3774,4828,14939,9413,9011,4730,-,-,-
19,Other Current Liabilities,38185,38185,9269,9951,37111,8331,7515,7352,38289,6407,8517,13235,31219,-,-,-
20,Total Current Liabilities,250813,250813,99754,81130,127588,80473,56305,84093,112831,67034,99158,89587,103649,-,-,-
21,Other Long-Term Liabilities,264.12,264.12,339.12,339.12,339.12,339.12,171,221,227,212,212,206,206,-,-,-
22,Total Liabilities,251077,251077,100093,81470,127927,80812,56476,84314,113058,67246,99370,89793,103855,-,-,-
23,Common Stock,338972,338972,322832,322832,322832,322832,278304,278304,278304,278304,278304,253004,253004,-,-,-
24,Retained Earnings,60252,60252,84050,54892,30997,49634,90503,73906,59040,82545,85692,83847,48024,-,-,-
25,Comprehensive Income & Other,-,-,-,-,-,-,-,1680,1680,1680,1680,1680,1680,-,-,-
26,Shareholders' Equity,399224,399224,406882,377724,353829,372466,368807,353890,339024,362529,365676,338532,302708,-,-,-
27,Total Liabilities & Equity,650302,650302,506975,459193,481756,453278,425283,438205,452082,429775,465046,428325,406563,-,-,-
28,Total Debt,136771,136771,57981,42646,53136,42358,20143,54769,39040,28804,54816,40490,33201,-,-,-
29,Net Cash (Debt),33082,33082,81918,96957,115265,103364,108247,74361,134791,127268,112518,114342,123672,-,-,-
30,Net Cash Growth,-71.30%,-67.99%,-24.32%,30.39%,-14.49%,-18.78%,-3.80%,-34.97%,8.99%,-,-,-,-,-,-,-
31,Net Cash Per Share,975.96,975.53,2416.10,2861.93,3398.95,3047.99,3196.12,2192.99,3976.51,3753.78,3320.16,3373.34,2867.34,-,-,-
32,Filing Date Shares Outstanding,33.9,33.91,33.9,33.88,33.9,33.9,33.87,33.91,33.9,33.9,33.89,33.9,43.13,30.58,28.24,28.23
33,Total Common Shares Outstanding,33.9,33.91,33.9,33.88,33.9,33.9,33.87,33.91,33.9,33.9,33.89,33.9,43.13,30.58,28.24,28.23
34,Working Capital,157545,157545,248428,241533,219105,235466,247556,263324,246107,274441,279172,257008,219711,-,-,-
35,Book Value Per Share,11777.50,11772.34,12000.67,11149.47,10438.25,10988.06,10889.46,10436.58,10002.72,10692.82,10790.33,9987.38,7018.26,-,-,-
36,Tangible Book Value,398960,398960,406652,377494,353599,372236,368577,353660,338794,362299,365446,338302,302478,-,-,-
37,Tangible Book Value Per Share,11769.69,11764.53,11993.89,11142.68,10431.47,10981.28,10882.67,10429.80,9995.93,10686.04,10783.54,9980.60,7012.93,-,-,-
38,Construction In Progress,171437,171437,86406,60408,68677,68497,47628,19465,17015,18706,16971,39469,37357,-,-,-
