,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,190942,198611,193958,170709,170593,148372,147537,127860,143949,161492,204684,188742,145289,64681,166406,135313
1,Revenue Growth (YoY),11.93%,33.86%,31.46%,33.51%,18.51%,-8.12%,-27.92%,-32.26%,-0.92%,149.67%,23.00%,39.49%,-,-,-,-
2,Cost of Revenue,144533,147234,139721,127365,133399,110229,115021,96257,113618,116015,145424,131360,110158,51310,131916,97079
3,Gross Profit,46408,51377,54237,43344,37194,38143,32517,31603,30331,45476,59260,57382,35131,13372,34490,38234
4,"Selling, General & Admin",26739,22194,22143,14491,21441,14404,18043,14263,22597,19919,25881,15622,23298,10695,18922,15429
5,Operating Expenses,26739,22194,22143,14491,21441,14404,18043,14263,22597,19919,25881,15622,23298,10695,18922,15429
6,Operating Income,19669,29183,32094,28854,15753,23738,14474,17340,7734,25557,33379,41760,11833,2677,15568,22805
7,Interest Expense,-445.23,-246.03,-833.34,-650.57,-470.98,-298.86,-438.52,-505.99,-274.45,-287.76,-281.15,-172.04,-126.93,-186.99,-259.17,-261.84
8,Interest & Investment Income,2783,-,5648,1864,5266,1786,4684,1726,6804,1763,5592,1063,3648,973.2,3047,1099
9,Currency Exchange Gain (Loss),1813,2555,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Non Operating Income (Expenses),52.54,1539,-263.35,260.07,-2311,143.99,23.13,91.72,-488.67,3191,8233,2155,4072,-2981,2690,3246
11,EBT Excluding Unusual Items,23872,33031,36646,30327,18237,25370,18742,18651,13775,30224,46923,44806,19426,482.65,21045,26888
12,Gain (Loss) on Sale of Assets,454.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Pretax Income,24349,33031,36646,30327,18237,25370,18742,18651,13775,30224,46923,44806,19426,482.65,21045,26888
14,Income Tax Expense,4972,6247,7487,6193,4091,5119,3838,3785,2977,6118,9472,8983,4318,106.03,4228,5393
15,Net Income,19377,26784,29158,24134,14146,20250,14904,14866,10798,24106,37451,35824,15107,376.62,16818,21495
16,Net Income to Common,19377,26784,29158,24134,14146,20250,14904,14866,10798,24106,37451,35824,15107,376.62,16818,21495
17,Net Income Growth,36.98%,32.26%,95.64%,62.34%,31.01%,-15.99%,-60.20%,-58.50%,-28.53%,6300.59%,122.69%,66.66%,-,-,-,-
18,Shares Outstanding (Basic),34,34,34,34,34,34,34,34,34,34,34,34,43,31,28,28
19,Shares Outstanding (Diluted),34,34,34,34,34,34,34,34,34,34,34,34,43,31,28,28
20,Shares Change (YoY),-0.04%,-0.00%,0.11%,-0.09%,0.05%,0.02%,-0.06%,0.04%,-21.41%,10.87%,20.02%,20.05%,-,-,-,-
21,EPS (Basic),571.64,789.81,860.00,712.38,417.14,597.14,440.07,438.42,318.56,711.00,1105.09,1056.87,350.26,12.32,595.61,761.31
22,EPS (Diluted),571.64,789.81,860.00,712.38,417.14,597.14,440.07,438.42,318.56,711.00,1105.09,1056.87,350.26,12.32,595.61,761.31
23,EPS Growth,37.04%,32.26%,95.43%,62.49%,30.95%,-16.01%,-60.18%,-58.52%,-9.05%,5673.32%,85.54%,38.82%,-,-,-,-
24,Free Cash Flow,52077,-,31598,619.41,49515,51273,45514,-28869,33469,63111,41755,-4944,-55610,57321,42143,-5041
25,Free Cash Flow Per Share,1536.33,-,931.96,18.28,1460.09,1511.92,1343.86,-851.36,987.39,1861.46,1232.11,-145.85,-1289.31,1874.39,1492.53,-178.55
26,Dividend Per Share,1000.000,-,-,-,952.381,-,476.190,-,-,-,821.018,-,-,-,-,-
27,Dividend Growth,5.00%,-,-,-,-,-,-42.00%,-,-,-,-,-,-,-,-,-
28,Gross Margin,24.30%,25.87%,27.96%,25.39%,21.80%,25.71%,22.04%,24.72%,21.07%,28.16%,28.95%,30.40%,24.18%,20.67%,20.73%,28.26%
29,Operating Margin,10.30%,14.69%,16.55%,16.90%,9.23%,16.00%,9.81%,13.56%,5.37%,15.83%,16.31%,22.13%,8.14%,4.14%,9.36%,16.85%
30,Profit Margin,10.15%,13.49%,15.03%,14.14%,8.29%,13.65%,10.10%,11.63%,7.50%,14.93%,18.30%,18.98%,10.40%,0.58%,10.11%,15.89%
31,Free Cash Flow Margin,27.27%,-,16.29%,0.36%,29.02%,34.56%,30.85%,-22.58%,23.25%,39.08%,20.40%,-2.62%,-38.28%,88.62%,25.33%,-3.73%
32,EBITDA,20022,-,-,-,20013,27998,18733,21600,11994,-,-,-,-,-,-,-
33,EBITDA Margin,10.49%,-,-,-,11.73%,18.87%,12.70%,16.89%,8.33%,-,-,-,-,-,-,-
34,D&A For EBITDA,353.43,-,-,-,4260,4260,4260,4260,4260,-,-,-,-,-,-,-
35,EBIT,19669,29183,32094,28854,15753,23738,14474,17340,7734,25557,33379,41760,11833,2677,15568,22805
36,EBIT Margin,10.30%,14.69%,16.55%,16.90%,9.23%,16.00%,9.81%,13.56%,5.37%,15.83%,16.31%,22.13%,8.14%,4.14%,9.36%,16.85%
37,Effective Tax Rate,20.42%,18.91%,20.43%,20.42%,22.43%,20.18%,20.48%,20.29%,21.61%,20.24%,20.19%,20.05%,22.23%,21.97%,20.09%,20.06%
38,Revenue as Reported,190942,198611,193958,170709,170593,148372,147537,127860,143949,161492,204684,188742,145289,64681,166406,135313
39,Advertising Expenses,1115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
