,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,1447411,1372837,1233859,983023,968495,1000779,965267,1097631,1035291,1015810,1132698,962932,1001897,991777,1012017,917142,858108
1,Market Cap Growth,37.18%,37.18%,27.83%,-10.44%,-6.45%,-1.48%,-14.78%,13.99%,3.33%,2.42%,11.92%,4.99%,16.76%,-,-,-,-
2,Enterprise Value,1414329,1290919,1151941,886066,853230,897414,857020,1023270,900501,888542,1020180,848590,-,-,-,-,-
3,Last Close Price,42700.00,40500.00,35522.89,27644.94,27236.40,27236.40,26269.95,29430.28,27758.79,27236.44,29423.89,24352.18,25080.94,24510.92,25011.14,22379.43,20938.92
4,PE Ratio,13.55,13.80,13.10,11.21,13.19,15.60,15.87,16.97,11.87,9.39,10.07,10.85,14.71,18.44,26.16,23.94,39.92
5,Forward PE,-,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63
6,PS Ratio,1.90,1.82,1.68,1.44,1.52,1.68,1.70,1.89,1.62,1.45,1.62,1.60,1.77,1.94,2.76,3.04,6.34
7,PB Ratio,3.63,3.44,3.09,2.42,2.56,2.83,2.59,2.98,2.93,3.00,3.12,2.63,2.96,3.28,-,-,-
8,P/TBV Ratio,3.44,3.44,3.09,2.42,2.57,2.83,2.59,2.98,2.93,3.00,3.13,2.63,2.96,3.28,-,-,-
9,P/FCF Ratio,-,16.29,-,7.39,6.59,8.52,9.52,9.69,-,7.62,25.56,25.00,-,-,10.72,24.72,-
10,P/OCF Ratio,-,15.01,-,7.04,6.33,8.10,9.05,9.23,-,7.14,15.33,14.32,-,-,10.30,22.71,-
11,EV/Sales Ratio,1.86,1.71,1.57,1.30,1.34,1.51,1.51,1.76,1.41,1.27,1.46,1.41,-,-,-,-,-
12,EV/EBITDA Ratio,-,64.47,-,-,-,10.16,10.67,19.56,26.81,74.08,-,-,-,-,-,-,-
13,EV/EBIT Ratio,11.85,11.76,10.88,8.82,10.30,12.59,13.54,15.72,10.72,8.19,9.07,9.47,-,-,-,-,-
14,EV/FCF Ratio,-,15.31,-,6.66,5.81,7.64,8.45,9.04,-,6.66,23.02,22.03,-,-,-,-,-
15,Debt / Equity Ratio,0.34,0.34,0.34,0.14,0.11,0.15,0.11,0.05,0.15,0.12,0.08,0.15,0.12,0.11,-,-,-
16,Debt / EBITDA Ratio,-,1.71,-,-,-,0.66,0.38,0.27,0.63,0.81,-,-,-,-,-,-,-
17,Debt / FCF Ratio,-,1.62,-,0.44,0.29,0.45,0.42,0.18,-,0.29,0.65,1.42,-,-,-,-,-
18,Asset Turnover,-,1.37,1.61,1.45,1.46,1.35,1.37,-,1.31,1.44,1.83,-,-,-,-,-,
19,Inventory Turnover,5.17,-,5.19,5.16,4.93,5.06,4.31,4.53,-,4.26,4.40,5.94,-,-,-,-,-
20,Quick Ratio,0.95,0.95,0.95,2.21,2.51,1.81,2.45,3.43,2.44,2.19,3.32,2.70,2.71,2.17,-,-,-
21,Current Ratio,1.63,1.63,1.63,3.49,3.98,2.72,3.93,5.40,4.13,3.18,5.09,3.82,3.87,3.12,-,-,-
22,Return on Equity (ROE),-,26.58%,29.73%,26.39%,15.58%,21.85%,16.50%,-,12.31%,26.48%,42.54%,-,-,-,-,-,
23,Return on Assets (ROA),-,12.61%,16.61%,15.33%,8.42%,13.51%,8.38%,-,4.38%,14.28%,18.68%,-,-,-,-,-,
24,Return on Capital (ROIC),-,14.58%,18.13%,17.44%,9.58%,14.77%,9.07%,-,5.03%,15.74%,20.87%,-,-,-,-,-,
25,Return on Capital Employed (ROCE),29.87%,27.49%,26.50%,24.66%,21.91%,20.13%,16.98%,17.64%,23.72%,31.96%,31.02%,24.50%,21.21%,17.46%,-,-,-
26,Earnings Yield,7.38%,7.24%,7.64%,8.92%,7.58%,6.41%,6.30%,5.89%,8.42%,10.65%,9.93%,9.22%,6.80%,5.42%,3.82%,4.18%,2.50%
27,FCF Yield,6.14%,-,13.53%,15.17%,11.73%,10.50%,10.32%,10.57%,13.13%,3.91%,4.00%,3.88%,3.91%,9.33%,4.05%,-0.59%,
28,Dividend Yield,4.22%,2.47%,-,-,-,5.25%,-,1.62%,-,-,-,3.37%,-,-,-,-,-
29,Payout Ratio,0.00%,0.17%,-,-,-,-,75.73%,-,-,-,109.69%,25.68%,-,286.85%,-,-,-
30,Buyback Yield / Dilution,-0.02%,0.04%,0.00%,-0.11%,0.09%,-0.05%,-0.02%,0.06%,-0.04%,21.41%,-10.87%,-20.02%,-20.05%,-,-,-,-
31,Total Shareholder Return,4.20%,2.51%,0.00%,-0.11%,0.09%,5.20%,-0.02%,1.68%,-0.04%,21.41%,-10.87%,-16.65%,-20.05%,-,-,-,-
