,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,25.97,17.31,19.93,29.11,31.77,14.34,14.49,21.78,17.45,23.04
1,Cash & Short-Term Investments,25.97,17.31,19.93,29.11,31.77,14.34,14.49,21.78,17.45,23.04
2,Cash Growth,30.31%,-40.54%,-37.26%,102.94%,119.32%,-34.15%,-16.99%,-5.49%,-56.53%,-43.79%
3,Accounts Receivable,144.09,135.56,114.55,102.34,78.38,104.26,121.93,135.3,140.71,152.69
4,Other Receivables,0.58,0.53,1.12,1.71,65.93,-,24.06,17.02,20.99,14.2
5,Receivables,144.67,136.09,115.68,104.06,144.31,104.26,145.99,152.32,161.71,166.89
6,Inventory,14.48,14.48,15.13,14.04,13.61,12.84,13.82,4.29,4.17,7.2
7,Prepaid Expenses,0.56,0.86,6.9,3.75,1.78,3.39,2.33,4.24,2.86,4.13
8,Restricted Cash,2,2.01,2,-,-,11.24,-,19.22,-,20.69
9,Other Current Assets,38.92,84.85,49.12,48.37,-,52.11,11.24,-,20.69,-
10,Total Current Assets,226.6,255.6,208.75,199.32,191.47,198.17,187.87,201.84,206.88,221.96
11,"Property, Plant & Equipment",86.73,97.21,104.17,106.94,111,80.54,80.91,69.98,51.9,48.39
12,Other Long-Term Assets,1.67,3.5,3.38,5.63,3.31,9.59,4.59,3.87,2.68,2.61
13,Total Assets,315.01,356.32,316.3,311.89,305.78,288.3,273.36,275.7,261.45,272.96
14,Accounts Payable,29.48,41.56,32.9,20.97,18.03,22.84,48.1,46.67,50.5,57.16
15,Short-Term Debt,76.68,105.94,76.3,85.04,76.21,63.1,23.36,19.46,17.85,8.8
16,Current Portion of Leases,4.53,4.98,4.14,7.07,10.37,7.17,6.35,5.34,1.31,1.27
17,Other Current Liabilities,19.55,18.94,17.93,16.54,17.87,22.75,28.09,41.32,36.45,34.25
18,Total Current Liabilities,130.24,171.41,131.27,129.62,122.48,115.86,105.91,112.79,106.11,101.47
19,Long-Term Debt,-,-,1.59,3.14,-,-,-,-,-,-
20,Long-Term Leases,3.04,3.52,1.16,2.03,10.75,6.18,6.99,7.84,1.28,1.94
21,Total Liabilities,133.28,174.93,134.01,134.79,133.23,122.04,112.9,120.63,107.39,103.42
22,Common Stock,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85
23,Additional Paid-In Capital,98.11,98.11,98.11,98.11,98.11,98.11,98.11,98.11,98.11,98.11
24,Retained Earnings,63.07,62.73,63.63,58.44,53.89,47.6,41.8,36.41,35.4,50.89
25,Comprehensive Income & Other,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7
26,Shareholders' Equity,181.73,181.38,182.29,177.1,172.55,166.26,160.46,155.07,154.06,169.55
27,Total Liabilities & Equity,315.01,356.32,316.3,311.89,305.78,288.3,273.36,275.7,261.45,272.96
28,Total Debt,84.24,114.43,83.19,97.28,97.33,76.45,36.71,32.63,20.44,12.01
29,Net Cash (Debt),-58.27,-97.13,-63.26,-68.17,-65.57,-62.1,-22.22,-10.85,-2.99,11.04
30,Net Cash Growth,-,-,-,-,-,-,-,-,-,-68.92%
31,Net Cash Per Share,-0.09,-0.14,-0.09,-0.10,-0.10,-0.09,-0.03,-0.02,-0.00,0.02
32,Filing Date Shares Outstanding,684.75,684.75,684.75,684.75,684.75,684.75,684.75,684.75,684.75,684.75
33,Total Common Shares Outstanding,684.75,684.75,684.75,684.75,684.75,684.75,684.75,684.75,684.75,684.75
34,Working Capital,96.36,84.19,77.48,69.69,68.99,82.31,81.96,89.05,100.77,120.48
35,Book Value Per Share,0.27,0.26,0.27,0.26,0.25,0.24,0.23,0.23,0.22,0.25
36,Tangible Book Value,181.73,181.38,182.29,177.1,172.55,166.26,160.46,155.07,154.06,169.55
37,Tangible Book Value Per Share,0.27,0.26,0.27,0.26,0.25,0.24,0.23,0.23,0.22,0.25
38,Land,-,-,-,-,-,-,-,-,-,4.22
39,Machinery,-,185.83,-,163.96,-,113.9,-,100.32,-,76.37
40,Order Backlog,351.9,-,-,-,-,-,-,-,-,-
