,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,39,66,70,116,84,86,157,134,109,163,127
1,Market Cap Growth,-42.94%,-42.94%,-16.39%,36.00%,-46.96%,-35.90%,44.65%,-18.07%,-14.05%,-4.80%,-27.45%
2,Enterprise Value,97,164,133,185,149,148,180,144,112,152,103
3,Last Close Price,0.06,0.10,0.10,0.17,0.12,0.13,0.23,0.20,0.16,0.24,0.18
4,PE Ratio,-,-119.25,-,11.95,7.71,7.08,14.07,20.87,-7.52,-,95.18
5,PS Ratio,0.12,0.21,0.19,0.33,0.27,0.34,0.74,0.50,0.39,0.49,0.36
6,PB Ratio,0.21,0.37,0.39,0.64,0.47,0.50,0.95,0.83,0.70,1.06,0.75
7,P/TBV Ratio,0.37,0.37,0.39,0.64,0.47,0.50,0.95,0.83,0.70,1.06,0.75
8,P/FCF Ratio,1.96,3.34,-,44.26,-,-,-,-,-,-,-
9,P/OCF Ratio,3.51,3.51,-,3.74,2.25,390.84,-,8.88,12.06,-,-
10,EV/Sales Ratio,0.31,0.52,0.37,0.53,0.47,0.59,0.84,0.54,0.40,0.46,0.29
11,EV/EBITDA Ratio,2.96,6.15,4.18,4.84,4.48,5.38,6.67,14.50,-,-,21.68
12,EV/EBIT Ratio,18.24,30.66,13.65,12.75,12.30,13.62,15.62,-38.97,-,-,-
13,EV/FCF Ratio,4.89,8.22,-,70.18,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.46,0.46,0.63,0.46,0.55,0.56,0.46,0.23,0.21,0.13,0.07
15,Debt / FCF Ratio,4.24,4.24,-,31.63,-,-,-,-,-,-,-
16,Return on Capital Employed (ROCE),2.89%,2.89%,5.27%,7.83%,6.65%,5.91%,6.67%,-2.21%,-,-,-
17,Earnings Yield,-1.43%,-0.84%,6.14%,8.37%,12.97%,14.12%,7.11%,4.79%,-13.30%,-9.36%,1.05%
18,FCF Yield,50.96%,29.95%,-20.37%,2.26%,-11.49%,-51.79%,-33.68%,-13.42%,-16.60%,-36.62%,-32.03%
