,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,55,28,37,51,73,113,109,178,240,48,96,Upgrade
1,Market Cap Growth,-45.31%,-45.31%,-48.73%,-55.16%,-32.73%,-36.67%,-54.79%,266.96%,151.63%,-58.16%,-42.27%,Upgrade
2,Enterprise Value,507,508,485,480,459,474,443,606,671,473,498,Upgrade
3,Last Close Price,0.14,0.07,0.16,0.22,0.38,0.56,0.56,0.92,1.24,0.45,0.89,Upgrade
4,PS Ratio,0.09,0.09,0.10,0.12,0.17,0.24,0.23,0.37,0.56,0.33,-,Upgrade
5,PB Ratio,-0.11,-0.11,-0.17,-0.28,-0.45,-0.86,-1.15,-2.29,-5.07,-0.48,-1.45,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-,12.25,-9.28,-,2.76,-,Upgrade
7,P/OCF Ratio,-,-1.85,-,-,-,-,6.67,-15.13,-,2.66,-,Upgrade
8,EV/Sales Ratio,1.58,1.58,1.29,1.18,1.06,1.01,0.96,1.27,1.56,3.18,-,Upgrade
9,EV/EBITDA Ratio,-,-,-,-,-,57.92,-65.86,-,-358.19,-,-,Upgrade
10,EV/EBIT Ratio,-,-,-,-,-,-,-28.42,-,-,-,-,Upgrade
11,EV/FCF Ratio,-15.75,-,-,-,-,-,49.94,-31.62,-,26.90,-,Upgrade
12,Debt / Equity Ratio,-1.92,-1.92,-2.29,-2.71,-2.87,-3.41,-4.59,-5.35,-9.78,-4.72,-7.28,Upgrade
13,Debt / FCF Ratio,-,-,-,-,-,-,48.86,-21.65,-,26.92,-,Upgrade
14,Return on Capital Employed (ROCE),-,-,-,-,-,-,-17.19%,-,-,-,-,Upgrade
15,Earnings Yield,-173.64%,-344.80%,-200.72%,-110.76%,-76.69%,-39.25%,-49.01%,-25.51%,-18.98%,-62.37%,-,Upgrade
16,FCF Yield,-58.70%,-89.43%,-155.03%,-95.12%,-30.45%,-7.76%,8.16%,-10.78%,-2.66%,36.28%,-,Upgrade
17,Buyback Yield / Dilution,-21.79%,-35.15%,-19.92%,-19.20%,-,-,-0.19%,-90.27%,-,-19.55%,-,Upgrade
18,Total Shareholder Return,-21.79%,-35.15%,-19.92%,-19.20%,-,-,-0.19%,-90.27%,-,-19.55%,-,Upgrade
