,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Cash & Equivalents,36454,45910,48463,50377,-,54752,-,70861,69687,64395,-,82511,2436,3985,11519,58280,-,20055,77030,53748,Upgrade
1,Short-Term Investments,783.55,747.57,747.57,747.57,-,702.6,-,600,600,600,-,11600,45800,45800,50800,-,-,64400,-,-,Upgrade
2,Cash & Short-Term Investments,37237,46657,49210,51125,55455,55455,-,71461,70287,64995,-,94111,48236,49785,62319,58280,-,84455,77030,53748,Upgrade
3,Cash Growth,-32.85%,-15.86%,-,-28.46%,-21.10%,-14.68%,-,-24.07%,45.71%,30.55%,-,61.48%,-,-41.05%,-19.10%,8.43%,-,-2.72%,-16.70%,-28.69%,Upgrade
4,Accounts Receivable,5575,3861,3861,3861,-,6756,-,7122,4227,4227,-,4411,4411,4411,4530,4903,-,4568,8356,31057,Upgrade
5,Other Receivables,28324,26908,26966,26415,-,28819,-,24665,23597,32160,-,28995,28010,28206,28423,33046,-,67222,52589,49263,Upgrade
6,Receivables,33899,30769,30827,30275,-,35575,-,31788,27823,36386,-,33406,32421,32617,32953,37950,-,71790,60945,80320,Upgrade
7,Inventory,259998,257906,254762,233973,-,161526,-,157358,156404,155464,-,45965,53321,53306,53303,96934,-,97752,111161,120081,Upgrade
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,365.12,-,511.75,538.77,448.13,580.07,700.14,-,762.5,118.37,95.64,Upgrade
9,Other Current Assets,5599,5786,5875,6058,-,6067,-,5495,5809,5467,-,5726,4713,4560,4697,4974,-,6092,6803,6388,Upgrade
10,Total Current Assets,336733,341118,340674,321432,-,258623,-,266102,260324,262677,-,179719,139230,140716,153852,198838,-,260851,256057,260633,Upgrade
11,"Property, Plant & Equipment",43094,43989,45782,66320,-,65042,-,66800,67674,64333,-,50575,48102,48507,48085,37874,-,59985,37568,34366,Upgrade
12,Long-Term Investments,134164,134164,134162,134106,-,134103,-,134043,134043,133442,-,52382,118511,118511,118511,98811,-,7225,7217,7217,Upgrade
13,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24188,24188,24188,Upgrade
14,Other Intangible Assets,330,330,330,330,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35340,35340,Upgrade
15,Other Long-Term Assets,17093,19888,20314,20476,-,18435,-,18614,20763,20581,-,17429,12860,12827,12958,-,-,16482,3087,3087,Upgrade
16,Total Assets,531414,539488,541262,542664,-,476203,-,485560,482803,481032,-,300105,318703,320561,333406,335522,-,368731,363459,364832,Upgrade
17,Accounts Payable,439.63,6111,6784,8835,-,7691,-,6650,6666,6485,-,6304,6260,6440,6560,9287,-,6987,8914,9631,Upgrade
18,Accrued Expenses,2265,2209,2204,2556,-,2819,-,3515,3777,4340,-,4361,5249,5627,4615,4726,-,4080,4502,4499,Upgrade
19,Short-Term Debt,-,-,22050,22050,-,22050,-,7350,7350,7350,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Current Income Taxes Payable,468.26,116.69,76.08,236.07,-,155.2,-,639.21,124.34,66.58,-,1125,43.95,50.31,227.1,1990,-,722.07,570.1,683.86,Upgrade
21,Current Unearned Revenue,220.89,387.38,471.82,273.5,-,126.15,-,-,-,-,-,-,42.75,85.5,128.25,30928,-,8633,773.09,14472,Upgrade
22,Other Current Liabilities,224835,223091,220313,217691,-,145437,-,159760,159350,159590,-,4177,28919,28972,38940,19926,-,40384,39823,34489,Upgrade
23,Total Current Liabilities,228228,231915,251899,251642,-,178278,-,177915,177268,177832,-,15967,40515,41176,50470,66857,-,60805,54583,63775,Upgrade
24,Long-Term Debt,22050,22050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
25,Other Long-Term Liabilities,706,649,649,649,-,641.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Total Liabilities,250984,254614,252548,252291,-,178920,-,177915,177268,177832,-,15967,40515,41176,50470,66857,-,60805,54583,63775,Upgrade
27,Common Stock,200000,200000,200000,200000,-,200000,-,200000,200000,200000,-,200000,200000,200000,200000,200000,-,200000,200000,200000,Upgrade
28,Additional Paid-In Capital,22123,22123,22123,22123,-,22123,-,22123,22123,22123,-,22123,22123,22123,22123,22123,-,22123,22123,22123,Upgrade
29,Retained Earnings,79824,84274,88118,89755,-,96671,-,107040,104935,103204,-,84141,78192,79390,82940,68670,-,89956,90906,85511,Upgrade
30,Treasury Stock,-22128,-22128,-22128,-22128,-,-22128,-,-22128,-22128,-22128,-,-22128,-22128,-22128,-22128,-22128,-,-22128,-22128,-22128,Upgrade
31,Total Common Equity,279820,284270,288114,289750,296667,296667,-,307035,304930,303200,-,284137,278188,279385,282936,268666,-,289951,290901,285506,Upgrade
32,Minority Interest,609.26,604.18,600.19,622.39,-,616.45,-,609.46,605.18,0.58,-,1.57,-,-,-,-,-,17975,17975,15550,Upgrade
33,Shareholders' Equity,280429,284874,288714,290373,297283,297283,-,307645,305535,303200,-,284138,278188,279385,282936,268666,-,307926,308876,301056,Upgrade
34,Total Liabilities & Equity,531414,539488,541262,542664,-,476203,-,485560,482803,481032,-,300105,318703,320561,333406,335522,-,368731,363459,364832,Upgrade
35,Total Debt,22050,22050,22050,22050,22050,22050,-,7350,7350,7350,-,-,-,-,-,-,-,-,-,-,Upgrade
36,Net Cash (Debt),15187,24607,27160,29075,33405,33405,-,64111,62937,57645,-,94111,48236,49785,62319,58280,-,84455,77030,53748,Upgrade
37,Net Cash Growth,-54.53%,-26.33%,-,-54.65%,-46.92%,-42.05%,-,-31.88%,30.48%,15.79%,-,61.48%,-,-41.05%,-19.10%,8.43%,-,-2.72%,-16.70%,175.23%,Upgrade
38,Net Cash Per Share,864.30,-,-,-,-,-,-,-,-,-,-,-,-,2489.25,-,-,-,-,-,-,Upgrade
39,Filing Date Shares Outstanding,17.57,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,Upgrade
40,Total Common Shares Outstanding,17.57,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,Upgrade
41,Working Capital,108505,109202,88775,69790,-,80345,-,88187,83056,84845,-,163752,98715,99540,103382,131981,-,200046,201475,196858,Upgrade
42,Book Value Per Share,15924.19,-,-,-,-,-,-,-,-,-,-,-,-,13969.25,-,-,-,-,-,-,Upgrade
43,Tangible Book Value,279490,283940,287784,289420,296667,296667,-,307035,304930,303200,-,284137,278188,279385,282936,268666,-,265763,231373,225978,Upgrade
44,Tangible Book Value Per Share,15905.41,-,-,-,-,-,-,-,-,-,-,-,-,13969.25,-,-,-,-,-,-,Upgrade
45,Construction In Progress,282.36,282.36,282.36,19854,-,19854,-,19854,19854,19854,-,19854,19854,19854,19854,19854,-,45357,22664,23262,Upgrade
