,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,34503,29419,28597,28257,27601,31813,33681,31681,35041,38317,36469,-,-,-,-,-
1,Market Cap Growth,-7.52%,-7.52%,-15.09%,-10.81%,-21.23%,-16.97%,-7.65%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,32014,26930,25825,26031,25537,29749,31121,29404,31790,35066,36153,-,-,-,-,-
3,Last Close Price,57.89,49.36,47.51,46.94,45.85,52.85,55.54,52.24,57.78,63.18,59.87,-,-,-,-,-
4,PE Ratio,71.47,60.70,61.83,52.12,45.16,52.48,59.21,55.87,65.37,73.62,76.29,-,-,-,-,-
5,Forward PE,51.97,46.21,41.90,40.00,35.20,42.12,43.92,43.68,48.26,56.80,61.60,-,-,-,-,-
6,PS Ratio,13.37,11.35,11.19,9.58,7.75,8.92,9.29,8.69,9.86,11.07,10.41,-,-,-,-,-
7,PB Ratio,5.74,4.90,4.76,4.52,4.51,5.30,5.77,5.33,6.09,6.80,6.62,-,-,-,-,-
8,P/TBV Ratio,4.98,4.98,4.84,4.60,4.59,5.40,5.87,5.42,6.15,6.87,6.69,-,-,-,-,-
9,P/FCF Ratio,-,-,-,60.27,-,176.84,-,-111.67,-,-,189.88,-,-,-,-,-
10,P/OCF Ratio,-,-,-,26.70,-,37.92,-,126.46,-,-,51.56,-,-,-,-,-
11,EV/Sales Ratio,12.36,10.39,10.11,8.83,7.17,8.34,8.58,8.07,8.95,10.13,10.32,-,-,-,-,-
12,EV/EBITDA Ratio,47.01,39.05,37.90,40.75,30.96,38.59,43.10,42.28,47.24,52.44,65.83,-,-,-,-,-
13,EV/EBIT Ratio,62.27,52.38,51.05,-,37.40,45.93,50.37,49.40,54.04,59.63,76.49,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,55.52,-,165.37,-,-103.65,-,-,188.24,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,-,0.06,0.08,-,0.17
16,Debt / EBITDA Ratio,0.17,0.14,0.12,0.62,0.18,0.14,0.19,0.18,0.31,0.22,0.21,-,0.31,0.73,-,0.92
17,Debt / FCF Ratio,-,-,-,0.29,-,0.74,-,-0.61,-,-,0.76,-,-,0.24,-,-
18,Asset Turnover,-,0.25,0.30,0.33,0.34,0.41,0.56,0.33,0.37,-,-,0.47,-,-,-,
19,Inventory Turnover,-,-,2.85,4.11,3.27,3.07,2.72,3.21,1.76,2.16,-,-,1.63,-,-,-
20,Quick Ratio,-,-,2.95,3.36,2.93,2.48,2.13,2.23,2.05,2.23,1.93,-,1.14,1.24,-,-
21,Current Ratio,-,-,3.15,3.60,3.18,2.77,2.41,2.57,2.50,2.64,2.31,-,1.64,1.64,-,-
22,Return on Equity (ROE),11.87%,4.04%,8.01%,7.97%,10.55%,9.60%,13.18%,8.14%,8.52%,-,-,15.40%,-,-,-,
23,Return on Assets (ROA),-,6.40%,-0.41%,4.48%,4.69%,5.12%,5.32%,3.34%,3.88%,-,-,5.54%,-,-,-,
24,Return on Capital (ROIC),7.02%,8.25%,-0.52%,6.02%,6.74%,7.54%,7.78%,4.87%,5.83%,-,-,10.23%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,8.26%,-,10.92%,10.57%,10.28%,9.69%,9.89%,10.09%,8.30%,-,13.04%,9.44%,-,-
26,Earnings Yield,1.40%,1.65%,1.62%,1.92%,2.21%,1.91%,1.69%,1.79%,1.53%,1.36%,1.31%,-,-,-,-,-
27,FCF Yield,-,2.35%,1.66%,0.74%,0.57%,-2.80%,-0.90%,-2.77%,-1.80%,0.53%,-,-,-,-,-,
28,Dividend Yield,0.88%,-,-,1.09%,-,-,-,1.45%,-,-,0.56%,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,160.17%,-,-,-,168.44%,-,-,-,-,3.26%,3.00%
30,Buyback Yield / Dilution,-0.68%,-1.47%,-,0.75%,-0.75%,0.62%,-3.22%,-11.23%,-11.55%,-11.11%,-7.30%,-2.26%,-,-,-,-
31,Total Shareholder Return,0.20%,-1.47%,-,1.84%,-0.75%,0.62%,-3.22%,-9.78%,-11.55%,-11.11%,-6.74%,-2.26%,-,-,-,-
