,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,2486,2787,2141,2331,2217,2381,1845,2338,3398,-,918.33,1026,-,-
1,Trading Asset Securities,-,120.24,120.14,220.09,400.58,-,350.98,601.26,502.84,-,-,-,-,-,-
2,Cash & Short-Term Investments,2606,2606,2907,2361,2731,2217,2732,2446,2841,3398,-,918.33,1026,-,581.84
3,Cash Growth,-4.59%,17.55%,6.42%,-3.48%,-3.85%,-34.76%,-,166.35%,176.93%,-,-,-,-,-,-
4,Accounts Receivable,-,3047,2756,3317,3080,4047,3398,3276,2780,2738,-,1777,1814,-,-
5,Other Receivables,-,0.88,1.08,9.26,0.68,0.96,0.46,0.4,0.04,0.91,-,1.46,0.14,-,-
6,Receivables,-,3048,2757,3326,3081,4048,3398,3277,2780,2739,-,1778,1814,-,-
7,Inventory,-,365.67,383.04,474.49,616.71,804.31,913.11,1215,955.06,1187,-,1172,858.4,-,-
8,Other Current Assets,-,8.64,24.21,18.19,72.31,16.22,17.29,33.3,66.49,18.47,-,18.89,38.7,-,-
9,Total Current Assets,-,6028,6072,6180,6501,7085,7060,6971,6642,7342,-,3888,3737,-,-
10,"Property, Plant & Equipment",-,1730,1699,1711,1667,1643,1611,1590,1538,1399,-,1145,1147,-,-
11,Other Intangible Assets,-,98.69,100.54,102,103.85,103.21,101.39,56.84,58.03,55.65,-,51.87,46.91,-,-
12,Long-Term Deferred Tax Assets,-,67.31,66.23,64.55,59.09,93.09,86.3,78.69,76.11,54.59,-,49.32,48.63,-,-
13,Long-Term Deferred Charges,-,0.89,1,1.1,1.21,-,-,-,-,-,-,-,-,-,-
14,Other Long-Term Assets,-,114.53,131.21,133.99,139.23,26.46,30.97,35.4,35.99,21.64,-,109.35,71.56,-,-
15,Total Assets,-,8039,8070,8193,8471,8951,8890,8732,8350,8873,-,5244,5051,-,-
16,Accounts Payable,-,1454,1471,1801,2052,2477,2400,2678,2161,2810,-,1952,1317,-,-
17,Accrued Expenses,-,118.46,93.17,55.58,146.13,107.58,110.07,44.97,115.07,83.79,-,35.04,86.27,-,-
18,Current Portion of Leases,-,35.24,35.29,35.42,35.4,35.2,35.17,35.02,34.99,-,-,-,34.08,-,-
19,Current Income Taxes Payable,-,-,-,21.91,13.67,60.28,21.5,17.96,-,24.61,-,28.48,19.94,-,-
20,Current Unearned Revenue,-,3.94,20.71,25,5.66,7.86,9.08,8.41,8.06,17.44,-,279.23,583.64,-,-
21,Other Current Liabilities,-,305.2,64.79,3.75,90.47,251.56,174.8,1.89,201.56,240.2,-,70.98,241.78,-,-
22,Total Current Liabilities,-,1917,1685,1943,2343,2939,2750,2786,2520,3176,-,2366,2283,-,-
23,Long-Term Leases,-,81.35,100.38,99.73,98.38,117.33,136.69,134.15,132.44,146.91,-,164.35,162.35,-,-
