,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,777.49,529.77,590.62,693.2,726.91,904.59,1224,697.53,799.16,925.18,1132,604.65,842.48,533.89,359.47
1,Other Revenue,-,-18.78,18.78,-,14.01,-,-,-,-,-,-,-,-,-,-
2,Revenue,777.49,510.98,609.41,693.2,740.91,904.59,1224,697.53,799.16,925.18,1132,604.65,842.48,533.89,359.47
3,Revenue Growth (YoY),4.94%,-43.51%,-50.21%,-0.62%,-7.29%,-2.23%,8.17%,15.36%,-5.14%,73.29%,214.77%,-,-,-,-
4,Cost of Revenue,923.29,266.68,440.78,446.19,545.63,583.57,855.14,476.03,579.71,640.57,778.53,412.59,713.2,286.13,226.43
5,Gross Profit,-145.79,244.3,168.62,247.01,195.28,321.03,368.79,221.5,219.45,284.62,352.98,192.06,129.27,247.76,133.04
6,"Selling, General & Admin",-104.15,35.62,32.74,35.8,37.81,40.66,36.45,23.16,26.67,24.78,22.26,18.84,22.06,17.98,12.45
7,Research & Development,-256.78,76.94,101.04,78.79,88.65,83.98,99.78,79.17,85.89,83.05,106.63,69.51,74.28,66.97,42.99
8,Other Operating Expenses,30.25,-4.59,-23.91,-1.75,-18.94,-5.09,-3.99,-9.9,17.26,-5.27,3.6,-3.62,17.8,-3.04,-2.53
9,Operating Expenses,-317.63,38.06,181.81,97.77,31.71,138.42,181.43,107.37,85.74,124.59,172.62,78.07,111,85.21,52.63
