,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,2821,2270,1628,2939,3698,4340,-,-
1,Market Cap Growth,-22.77%,-22.77%,-55.99%,-32.29%,-,-,-,-
2,Enterprise Value,1685,955,597,1892,2530,3699,-,-
3,Last Close Price,3.12,2.43,1.64,2.96,3.54,4.16,-,-
4,PE Ratio,7.19,5.79,4.38,8.70,9.74,14.26,-,-
5,Forward PE,6.76,5.80,3.78,5.50,6.08,7.53,-,-
6,PS Ratio,0.92,0.74,0.55,1.01,1.34,1.92,-,-
7,PB Ratio,1.66,1.29,0.94,1.99,2.40,3.19,-,-
8,P/TBV Ratio,2.11,2.11,1.24,2.69,3.26,4.60,-,-
9,P/FCF Ratio,5.47,4.40,3.53,45.25,-,8.99,-,-
10,P/OCF Ratio,4.08,4.08,3.28,22.01,21.23,8.26,-,-
11,PEG Ratio,0.08,0.08,0.08,0.08,0.08,0.10,-,-
12,EV/Sales Ratio,0.55,0.31,0.20,0.65,0.92,1.64,-,-
13,EV/EBITDA Ratio,3.03,1.76,1.20,4.09,4.96,9.08,-,-
14,EV/EBIT Ratio,3.36,1.91,1.28,4.36,5.21,9.47,-,-
15,EV/FCF Ratio,3.27,1.85,1.29,29.14,-,7.66,-,-
16,Debt / Equity Ratio,0.10,0.10,0.09,0.07,0.07,0.03,0.17,16.75
17,Debt / FCF Ratio,0.36,0.36,0.32,1.69,-,0.08,0.11,89.57
18,Return on Capital Employed (ROCE),26.08%,26.03%,24.75%,27.22%,29.19%,27.61%,103.05%,-
19,Earnings Yield,13.90%,17.28%,22.83%,11.50%,10.27%,7.01%,-,-
20,FCF Yield,18.26%,22.70%,28.32%,2.21%,2.88%,11.12%,-,-
21,Dividend Yield,5.38%,3.46%,-,-,-,-,-,-
22,Buyback Yield / Dilution,0.03%,-,0.06%,-4.59%,-13.09%,-8.06%,-,-
23,Total Shareholder Return,5.41%,3.46%,0.06%,-4.59%,-13.09%,-8.06%,-,-
