,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,1286,1252,1076,1019,1044,553.62,-
1,Short-Term Investments,-,103.29,-,24.19,-,11.69,-
2,Cash & Short-Term Investments,1286,1355,1076,1043,1044,565.31,209.26
3,Cash Growth,19.53%,29.93%,3.04%,84.53%,398.79%,-,-
4,Accounts Receivable,1247,900.3,1030,778.56,673,414.48,-
5,Other Receivables,-,616.71,-,497.93,-,192.69,-
6,Receivables,1247,1517,1030,1276,673,607.17,-
7,Inventory,4.61,4.26,4.83,4.39,4.52,4.52,-
8,Prepaid Expenses,18.53,22.76,11.55,27.28,3.68,7.51,-
9,Restricted Cash,5.53,2.02,1.17,1.65,1.6,1.28,-
10,Other Current Assets,897.98,96.81,808.48,89.35,436.12,62.91,-
11,Total Current Assets,3459,2998,2932,2442,2163,1249,-
12,"Property, Plant & Equipment",277.81,251.99,211.56,213.04,93.6,96.56,-
13,Goodwill,479.87,249.12,249.12,249.12,249.12,-,-
14,Other Intangible Assets,99.03,101.75,88.26,91.71,92.59,6.39,-
15,Long-Term Deferred Tax Assets,22.65,8.11,9.27,6.11,4.85,4.71,-
16,Other Long-Term Assets,3.94,4.64,1.23,1.24,2.84,2.69,-
17,Total Assets,4342,3614,3491,3004,2606,1359,-
18,Accounts Payable,708.25,602.85,594.8,456.08,327.39,170.94,-
19,Accrued Expenses,-,127.52,-,124.08,-,93.67,-
20,Current Portion of Leases,38.57,22.33,19.57,15.66,10.77,8.97,-
21,Current Income Taxes Payable,45.15,40.32,25.99,26.19,30.34,4.36,-
22,Current Unearned Revenue,644.7,486.84,478.37,370.37,368.87,313.94,-
23,Other Current Liabilities,1116,628.98,895.26,540.21,660.42,536.17,-
24,Total Current Liabilities,2553,1909,2014,1533,1398,1128,-
25,Long-Term Leases,131.75,113.32,82.08,84.88,23.11,25.34,-
26,Long-Term Deferred Tax Liabilities,21.9,23.63,25.22,25.84,23.78,1.69,-
27,Total Liabilities,2706,2046,2121,1643,1445,1155,-
28,Common Stock,839.53,839.53,839.53,839.53,839.53,66.95,-
29,Retained Earnings,760.64,721.01,529.53,520.4,353.55,184.39,-
30,Comprehensive Income & Other,-22.39,-18.75,-18.83,-16.75,-45.09,-55.94,-
31,Total Common Equity,1578,1542,1350,1343,1148,195.4,65.04
32,Minority Interest,58.02,26.22,19.74,17.05,13.01,8.58,-
33,Shareholders' Equity,1636,1568,1370,1360,1161,203.98,65.41
34,Total Liabilities & Equity,4342,3614,3491,3004,2606,1359,-
35,Total Debt,170.32,135.64,101.65,100.54,33.88,34.31,1096
36,Net Cash (Debt),1115,1220,973.86,942.61,1010,530.99,-886.42
37,Net Cash Growth,14.52%,29.39%,-3.57%,77.52%,-,-,-
38,Net Cash Per Share,1.23,1.35,1.08,1.04,1.17,0.66,-1.11
39,Filing Date Shares Outstanding,904.19,904.19,904.19,904.19,904.19,800,800
40,Total Common Shares Outstanding,904.19,904.19,904.19,904.19,904.19,800,800
41,Working Capital,906.14,1089,917.82,909.71,764.89,120.66,-
42,Book Value Per Share,1.74,1.71,1.49,1.49,1.27,0.24,0.16
43,Tangible Book Value,998.87,1191,1013,1002,806.28,189.01,58.61
44,Tangible Book Value Per Share,1.10,1.32,1.12,1.11,0.89,0.24,0.15
45,Machinery,-,78,-,69.82,-,60.08,-
46,Leasehold Improvements,-,80.86,-,62.74,-,21.25,-
