,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,1491,1351,1353,1339,1097,829.76,685.77
1,Revenue Growth (YoY),10.20%,0.89%,23.38%,61.39%,59.95%,-,-
2,Cost of Revenue,1125,961.88,995.99,961.36,740.85,584.81,461.15
3,Gross Profit,366.45,389.19,357.36,377.79,356.04,244.95,224.61
4,"Selling, General & Admin",103.34,151.56,158.92,157.72,134.87,121.61,102.43
5,Other Operating Expenses,32.86,2.13,11.89,4.55,7.26,3.7,3.78
6,Operating Expenses,136.21,153.69,170.82,162.26,142.13,125.32,106.2
7,Operating Income,230.24,235.5,186.54,215.52,213.91,119.64,118.41
8,Interest Expense,-4.05,-2.38,-2.12,-1.02,-0.57,-2,-31.71
9,Interest & Investment Income,6.35,6.94,6.15,7.35,4.72,3.56,32.28
10,Currency Exchange Gain (Loss),-,-1.75,-,-26.38,-,-,-
11,Other Non Operating Income (Expenses),2.53,10.24,5.03,11.46,4.19,5.74,3.93
12,EBT Excluding Unusual Items,235.07,248.56,195.59,206.93,222.26,126.94,122.91
13,Merger & Restructuring Charges,-,0.96,-,-0.96,-,-,-
14,Gain (Loss) on Sale of Assets,-,0.01,-,-0.27,-,-0.51,-
15,Asset Writedown,-,-0.34,2.01,18.36,-,-1.21,-
16,Pretax Income,235.07,249.19,197.6,224.06,222.26,125.22,122.91
17,Income Tax Expense,54.12,54.77,49.08,53.16,51.73,34.16,34.97
18,Earnings From Continuing Operations,180.96,194.43,148.52,170.9,170.53,91.07,87.94
19,Minority Interest in Earnings,-7.52,-2.94,-2.69,-4.05,-1.37,-0.35,-0.69
20,Net Income,173.44,191.49,145.83,166.85,169.15,90.72,87.26
21,Net Income to Common,173.44,191.49,145.83,166.85,169.15,90.72,87.26
22,Net Income Growth,18.93%,14.77%,-13.79%,83.92%,93.85%,-,-
23,Shares Outstanding (Basic),904,904,904,905,864,800,800
24,Shares Outstanding (Diluted),904,904,904,905,864,800,800
25,Shares Change (YoY),-,-0.06%,4.59%,13.09%,8.06%,-,-
26,EPS (Basic),0.19,0.21,0.16,0.18,0.20,0.11,0.11
27,EPS (Diluted),0.19,0.21,0.16,0.18,0.20,0.11,0.11
28,EPS Growth,18.93%,14.84%,-17.57%,62.63%,79.39%,-,-
29,Free Cash Flow,138.45,341.09,77.36,-17.26,111.48,300.69,12.23
30,Free Cash Flow Per Share,0.15,0.38,0.09,-0.02,0.13,0.38,0.02
31,Dividend Per Share,0.078,-,-,-,-,-,-
32,Operating Margin,15.44%,17.43%,13.78%,16.09%,19.50%,14.42%,17.27%
33,Profit Margin,11.63%,14.17%,10.78%,12.46%,15.42%,10.93%,12.72%
34,Free Cash Flow Margin,9.28%,25.25%,5.72%,-1.29%,10.16%,36.24%,1.78%
35,EBITDA,255.09,250.89,200.39,227.34,224.08,123.81,123.87
36,D&A For EBITDA,24.85,15.39,13.85,11.82,10.18,4.17,5.46
37,EBIT,230.24,235.5,186.54,215.52,213.91,119.64,118.41
