,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,222.64,119.27,93.14,43.67,175.11,105.74,77.62,36.44,151.21,87.03,68.7,24.05,136.97,72.82,45.8,45.8
1,Other Revenue,-,-13.09,13.09,-,18.65,-6.8,6.8,-,13.19,-5.63,5.63,-,10.23,-4.61,2.31,2.31
2,Revenue,222.64,106.18,106.23,43.67,193.76,98.93,84.42,36.44,164.4,81.4,74.32,24.05,147.19,68.21,48.1,48.1
3,Revenue Growth (YoY),14.91%,7.32%,25.83%,19.83%,17.86%,21.54%,13.59%,51.54%,11.69%,19.34%,54.51%,-50.01%,-,-,-,-
4,Cost of Revenue,-162.1,65.7,67.32,29.07,130.83,65.53,55.23,22.26,108.94,49.99,45.88,14.76,91.98,39.35,28.31,28.31
5,Gross Profit,384.74,40.48,38.9,14.59,62.93,33.41,29.19,14.18,55.46,31.42,28.45,9.29,55.21,28.86,19.79,19.79
6,"Selling, General & Admin",-52.93,18.32,18.38,16.22,17.53,16.02,16.22,11.86,14.81,11.83,12.5,11.86,13.16,10.56,11.51,11.51
7,Research & Development,-36.82,13.31,12.61,10.9,10.75,9.23,10.38,9.97,13.92,7.92,7.45,5.56,6.46,6.66,5.55,5.55
8,Other Operating Expenses,438.6,-11.79,3.8,-6.25,6.84,-6.44,-2.81,-2.32,5.77,-5.82,-1.17,-2.66,4.39,-6.71,-0.42,-0.42
9,Operating Expenses,345.28,23.25,38.93,16.9,45.21,20.38,26.4,19.13,43.84,13.72,20.27,13.78,28.93,11.42,16.2,16.2
10,Operating Income,39.46,17.23,-0.03,-2.31,17.72,13.02,2.79,-4.95,11.62,17.7,8.17,-4.49,26.28,17.44,3.59,3.59
11,Interest Expense,-4.24,-0.03,-0.02,-0.03,-,-0.14,-0.07,-0,-0.02,-0.16,-0.19,-0.25,-0.25,-0.13,-0.06,-0.06
12,Interest & Investment Income,0.08,0.44,2.44,1.36,3.94,1.52,4.05,2.08,3.04,0.38,0.31,0.1,0.4,0.17,0.2,0.2
13,Currency Exchange Gain (Loss),-,-0.02,0.02,-,-0.01,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),0.85,-0.14,-0.09,-0.01,-0.61,0.56,-1.06,-0.07,0.2,-0,-0.04,-0.05,-0.07,0.02,-0.04,-0.04
15,EBT Excluding Unusual Items,36.15,17.48,2.32,-0.99,21.03,14.97,5.71,-2.94,14.84,17.91,8.25,-4.69,26.36,17.5,3.7,3.7
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-0.12,-,-,-
17,Gain (Loss) on Sale of Assets,0.1,-0.1,-0,-,-0,0,0.04,-0.02,0.32,-,-,-,-,-,-,-
18,Asset Writedown,-0.02,0.02,-0.01,0.01,0.04,-0.04,0.08,-0.08,-0.23,0.17,0.04,0.03,-0.15,0.15,-,-
19,Other Unusual Items,-0,-5.36,5.36,0,11.62,0.56,-0.56,-,13.65,0.22,-0.22,-,15.9,-5.35,2.67,2.67
20,Pretax Income,36.22,12.04,7.67,-0.98,32.69,15.48,5.28,-3.03,28.57,18.29,8.07,-4.66,41.98,12.3,6.37,6.37
21,Income Tax Expense,5.09,0.1,0.16,-1.7,3.59,0.61,-0.03,-1.81,1.81,1.69,0.36,-1.22,5.5,1.03,0.37,0.37
22,Earnings From Continuing Operations,31.13,11.94,7.51,0.72,29.1,14.87,5.31,-1.22,26.76,16.61,7.71,-3.44,36.48,11.27,6.01,6.01
23,Minority Interest in Earnings,-0.21,0.11,0.1,0,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,30.92,12.06,7.6,0.72,29.1,14.87,5.31,-1.22,26.76,16.61,7.71,-3.44,36.48,11.27,6.01,6.01
25,Net Income to Common,30.92,12.06,7.6,0.72,29.1,14.87,5.31,-1.22,26.76,16.61,7.71,-3.44,36.48,11.27,6.01,6.01
26,Net Income Growth,6.25%,-18.93%,43.09%,-,8.76%,-10.45%,-31.10%,-,-26.64%,47.36%,28.39%,-,-,-,-,-
27,Shares Outstanding (Basic),74,72,67,72,76,74,75,61,72,54,49,57,55,50,55,55
28,Shares Outstanding (Diluted),74,72,67,72,76,74,75,61,72,54,49,57,55,50,55,55
29,Shares Change (YoY),-2.72%,-3.01%,-11.17%,17.59%,6.25%,38.07%,52.26%,6.60%,31.25%,8.72%,-9.57%,5.05%,-,-,-,-
30,EPS (Basic),0.42,0.17,0.11,0.01,0.38,0.20,0.07,-0.02,0.37,0.31,0.16,-0.06,0.67,0.23,0.11,0.11
31,EPS (Diluted),0.42,0.17,0.11,0.01,0.38,0.20,0.07,-0.02,0.37,0.31,0.16,-0.06,0.67,0.23,0.11,0.11
32,EPS Growth,9.22%,-16.41%,61.09%,-,2.36%,-35.14%,-54.75%,-,-44.11%,35.54%,41.97%,-,-,-,-,-
33,Free Cash Flow,-,58.21,-60.3,-36.09,31.22,-12.93,-28.26,-75.98,30.11,11.47,5.73,-1.5,-6.51,11.19,-11.13,-11.13
34,Free Cash Flow Per Share,-,0.81,-0.90,-0.50,0.41,-0.17,-0.38,-1.24,0.42,0.21,0.12,-0.03,-0.12,0.23,-0.20,-0.20
35,Dividend Per Share,-,-,-,-,-,0.450,-,-,-,-,-,-,-,-,-,-
