,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2258,2016,1449,1345,1816,2767,2353,2439,1799,1675,1714,-,-,-,-,-,-
1,Market Cap Growth,-27.16%,-27.16%,-38.40%,-44.84%,0.95%,65.16%,37.30%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1783,1540,1038,881,1319,2270,1838,1895,1205,1081,1673,-,-,-,-,-,-
3,Last Close Price,31.52,28.13,20.34,18.88,25.49,38.83,32.65,33.84,24.97,23.24,23.78,-,-,-,-,-,-
4,PE Ratio,43.78,39.29,29.29,25.73,36.32,57.57,51.46,51.40,-,35.17,29.88,-,-,-,-,-,-
5,PS Ratio,4.69,4.21,3.22,3.04,4.32,6.69,6.12,6.65,5.05,4.87,5.24,-,-,-,-,-,-
6,PB Ratio,2.27,2.02,1.45,1.38,1.88,2.88,2.45,2.58,1.92,1.78,1.88,-,-,-,-,-,-
7,P/TBV Ratio,2.07,2.07,1.49,1.41,1.93,2.95,2.51,2.65,1.97,1.81,1.91,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-208.14,-,-,-32.20,-,-,-,36.58,186.63,-,-,-,-,-,-
9,P/OCF Ratio,-,-,34.50,-,-,75.03,121.49,-,-,30.09,56.56,-,-,-,-,-,-
10,EV/Sales Ratio,3.72,3.22,2.31,1.99,3.14,5.49,4.78,5.17,3.38,3.14,5.12,-,-,-,-,-,-
11,EV/EBITDA Ratio,27.15,23.41,23.58,21.91,30.49,55.34,52.07,47.68,-,23.89,28.03,-,-,-,-,-,-
12,EV/EBIT Ratio,32.80,28.33,31.84,-,-,79.41,81.72,69.78,-,32.77,35.11,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-149.09,-,-,-26.41,-,-,-,23.61,182.23,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,-,0.08,0.08,-,0.03,0.03
15,Debt / EBITDA Ratio,0.03,0.01,0.02,0.16,1.42,0.08,0.04,0.13,-,0.05,0.08,-,-,0.23,-,0.38,0.38
16,Debt / FCF Ratio,-,-,-0.24,-,-,-0.08,-,-,-,0.07,0.73,-,-,-,-,-,-
17,Asset Turnover,-,0.30,0.31,0.13,0.56,0.29,0.26,0.12,0.52,-,-,-,-,-,0.33,-,
18,Inventory Turnover,-,-,0.92,0.98,0.46,2.03,1.00,0.97,0.46,2.19,-,-,-,-,-,0.78,-
19,Quick Ratio,-,-,2.00,2.15,2.10,2.20,2.10,2.40,2.77,3.05,2.67,-,-,1.26,-,1.05,1.05
20,Current Ratio,-,-,2.75,2.97,2.83,2.81,2.86,3.14,3.51,3.65,3.41,-,-,1.89,-,1.73,1.73
21,Return on Equity (ROE),12.48%,4.84%,3.09%,0.30%,12.12%,6.25%,2.26%,-0.52%,11.56%,-,-,-3.81%,-,-,7.70%,-,
22,Return on Assets (ROA),-,3.09%,-0.00%,-0.42%,3.22%,2.43%,0.54%,-0.98%,2.30%,-,-,-,-,-,1.54%,-,
23,Return on Capital (ROIC),9.87%,4.35%,-0.01%,-0.60%,4.59%,3.41%,0.74%,-1.31%,3.12%,-,-,-2.89%,-,-,2.79%,-,
24,Return on Capital Employed (ROCE),-,-,3.19%,-,-,2.89%,2.27%,2.80%,-,3.40%,5.04%,-,-,12.67%,-,2.03%,1.02%
25,Earnings Yield,2.27%,2.55%,3.41%,3.89%,2.75%,1.74%,1.94%,1.95%,2.77%,2.84%,3.35%,-,-,-,-,-,-
26,FCF Yield,-,-0.48%,-5.81%,-2.54%,-3.11%,-3.70%,-2.57%,-1.59%,2.73%,0.54%,-,-,-,-,-,-,
27,Dividend Yield,1.38%,-,-,-,-,-,1.38%,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,110.19%,-,-,-,0.00%,0.51%,1.25%,-,0.39%,0.92%,1.07%,1.07%
29,Buyback Yield / Dilution,0.68%,2.72%,3.01%,11.17%,-17.59%,-6.25%,-38.07%,-52.26%,-6.60%,-31.25%,-8.72%,9.57%,-5.05%,-,-,-,-
30,Total Shareholder Return,2.06%,2.72%,3.01%,11.17%,-17.59%,-6.25%,-36.69%,-52.26%,-6.60%,-31.25%,-8.72%,9.57%,-5.05%,-,-,-,-
