,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,478.47,414.79,464.1,503.94,499.84,518.63,547.3,617.44,600.71,-,-,73.07,-,75.96,75.96
1,Trading Asset Securities,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,478.47,478.47,414.79,469.1,503.94,499.84,518.63,547.3,617.44,600.71,-,73.07,73.07,-,75.96,75.96
3,Cash Growth,-5.05%,-4.27%,-20.02%,-14.29%,-18.38%,-16.79%,-,649.04%,745.04%,-,-,-3.81%,-,-,-,-
4,Accounts Receivable,-,332.37,342.09,319.75,340.85,304.21,289.29,273.04,279.49,227.68,-,-,219.37,-,164.21,164.21
5,Other Receivables,-,4.28,0.34,4.46,4.42,5.28,3.77,3.3,2.66,3.12,-,-,1.18,-,0,0
6,Receivables,-,336.65,342.43,324.21,345.27,309.49,293.06,276.34,282.15,230.8,-,-,220.55,-,164.22,164.22
7,Inventory,-,292.48,279.46,268.65,235.29,279.4,243.55,210.4,176.64,221.99,-,-,144.07,-,145.36,145.36
8,Prepaid Expenses,-,5.93,2.77,0.76,0.01,6.01,4.04,1.78,0.01,-,-,-,-,-,-,-
9,Other Current Assets,-,4.42,6.7,5.13,2.39,4.15,3.62,9.03,2.61,7.78,-,-,3.24,-,9.61,9.61
10,Total Current Assets,-,1118,1046,1068,1087,1099,1063,1045,1079,1061,-,-,440.92,-,395.14,395.14
11,"Property, Plant & Equipment",-,270.61,262.07,260.87,248.15,198.09,178.67,154.67,155.36,157.11,-,-,159.95,-,152.25,152.25
12,Other Intangible Assets,-,21.65,21.82,22.18,22.6,22.91,23.1,23.63,13.54,13.44,-,-,14.54,-,15.3,15.3
13,Long-Term Deferred Tax Assets,-,12.56,12.69,12.87,11.54,9.68,10.04,9.91,8.25,7.13,-,-,7.95,-,8.33,8.33
14,Long-Term Deferred Charges,-,1.08,1.23,1.38,1.53,1.67,1.82,1.97,2.12,2.26,-,-,1.91,-,-,-
15,Other Long-Term Assets,-,5.92,11.55,6.64,6.43,44.26,33.12,29.55,7.03,15.62,-,-,10.16,-,11.09,11.09
16,Total Assets,-,1430,1356,1372,1377,1375,1310,1265,1265,1257,-,-,635.42,-,582.11,582.11
17,Accounts Payable,-,259.49,215.7,258.51,280.89,245.01,203.91,190.94,195.07,191.54,-,-,129.72,-,116.49,116.49
18,Accrued Expenses,-,7.04,4.88,1.65,10.04,5.66,5.12,2.13,10.37,5.22,-,-,8.14,-,3.83,3.83
19,Short-Term Debt,-,-,-,0.76,3.93,-,-,-,-,-,-,-,18.52,-,10.02,10.02
20,Current Portion of Leases,-,1.1,1.08,1.08,1.06,1.16,1.03,1.02,0.52,1.82,-,-,1.76,-,-,-
21,Current Income Taxes Payable,-,0.72,-,2.62,5.42,0.97,0.01,0.47,1.74,0.61,-,-,3.98,-,-,-
22,Current Unearned Revenue,-,94.45,83.49,68.43,45.26,75.58,65.54,54.93,35.47,62.71,-,-,36.11,-,60.43,60.43
23,Other Current Liabilities,-,44.28,46.61,44.92,40.21,56.19,63.07,48.38,52.07,49.65,-,-,35.29,-,37.83,37.83
24,Total Current Liabilities,-,407.07,351.77,377.95,386.81,384.58,338.68,297.87,295.24,311.55,-,-,233.52,-,228.59,228.59
25,Long-Term Leases,-,0.57,1.13,1.12,1.68,1.55,2.22,2.19,2.74,4.93,-,-,6.83,-,-,-
26,Long-Term Unearned Revenue,-,24.08,25.01,26.03,27.22,28.61,24.03,25.2,26.46,27.79,-,-,33.94,-,41.46,41.46
27,Long-Term Deferred Tax Liabilities,-,0.51,0.54,0.57,0.59,0.67,0.64,0.55,0.7,0.01,-,-,0.01,-,0.01,0.01
28,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-0
29,Total Liabilities,-,432.23,378.46,405.67,416.31,415.4,365.57,325.81,325.14,344.28,-,-,274.3,-,270.06,270.06
30,Common Stock,-,71.65,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,-,-,53.45,-,53.45,53.45
31,Additional Paid-In Capital,-,728.54,720.39,716.97,713.9,710.19,709.05,709.05,709.05,708.38,-,-,195.64,-,194.31,194.31
32,Retained Earnings,-,196.06,184,176.4,175.68,178.65,163.77,158.46,159.68,132.92,-,-,112.05,-,64.3,64.3
33,Total Common Equity,996.25,996.25,975.65,964.63,960.84,960.09,944.08,938.77,939.99,912.57,-,361.13,361.13,-,312.05,312.05
34,Minority Interest,-,1.29,1.4,1.5,-,-,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,997.54,997.54,977.06,966.13,960.84,960.09,944.08,938.77,939.99,912.57,-,361.13,361.13,-,312.05,312.05
36,Total Liabilities & Equity,-,1430,1356,1372,1377,1375,1310,1265,1265,1257,-,-,635.42,-,582.11,582.11
37,Total Debt,1.66,1.66,2.22,2.95,6.67,2.71,3.25,3.22,3.26,6.75,-,27.1,27.1,-,10.02,10.02
38,Net Cash (Debt),476.81,476.81,412.58,466.15,497.27,497.13,515.37,544.08,614.18,593.96,-,45.96,45.96,-,65.94,65.94
39,Net Cash Growth,-4.11%,-4.09%,-19.95%,-14.32%,-19.04%,-16.30%,-,1083.72%,1236.24%,-,-,-30.29%,-,-,-,-
