,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,275.23,351.52,332.02,149.04,317.69,333.34,-
1,Short-Term Investments,-,-,24.82,374.28,4.79,50.41,-
2,Trading Asset Securities,4.13,15.11,13.98,34.23,-,-,-
3,Cash & Short-Term Investments,279.35,366.63,370.82,557.54,322.48,383.75,-
4,Cash Growth,-24.67%,-34.24%,14.99%,45.29%,-,-,-
5,Accounts Receivable,17.97,15.12,31.63,28.92,50.1,48.16,-
6,Other Receivables,-,-,-,0.49,0.88,0.92,-
7,Receivables,21.1,20.25,31.63,29.41,50.98,49.08,-
8,Inventory,192.01,196.56,232.47,246.72,249.92,258.22,-
9,Prepaid Expenses,17.79,32.44,-,-,-,-,-
10,Other Current Assets,-,-,13.28,9.19,14,16.22,-
11,Total Current Assets,510.25,615.87,648.19,842.85,637.38,707.27,-
12,"Property, Plant & Equipment",62.8,48.98,44.97,45.9,50.49,51.56,-
13,Long-Term Investments,30,28,28,28,-,-,-
14,Other Intangible Assets,3.44,1.14,3.3,4.96,6.68,6.07,-
15,Long-Term Accounts Receivable,-,0.28,3.08,0.75,-,1.32,-
16,Long-Term Deferred Tax Assets,16.19,15.51,14.32,26.68,36.68,32.55,-
17,Other Long-Term Assets,16.07,14.03,13.03,13.22,14.54,14.14,-
18,Total Assets,638.74,723.83,754.89,962.36,745.77,812.9,-
19,Accounts Payable,50.78,36.3,20.65,88.12,84.38,68.3,-
20,Accrued Expenses,16.44,23.08,21.25,24.28,28.18,62.37,-
21,Short-Term Debt,34.65,55.31,55.31,-,85.52,117.56,-
22,Current Portion of Leases,3,2.2,0.33,0.32,2.22,1.32,-
23,Current Income Taxes Payable,8.94,8.92,8.85,8.85,8.38,7.02,-
24,Current Unearned Revenue,56.8,69.86,82.78,96.04,104.88,119.24,-
25,Other Current Liabilities,12.75,14.57,7.43,12.66,16.98,16.14,-
26,Total Current Liabilities,183.35,210.23,196.6,230.26,330.54,391.94,-
27,Long-Term Leases,6.55,2.2,0.32,0.49,1.23,1.94,-
28,Long-Term Unearned Revenue,15.58,17.26,5.33,32.03,28.6,39.72,-
29,Other Long-Term Liabilities,-,-,-,-,168.15,120.37,-
30,Total Liabilities,205.47,229.69,202.25,262.78,528.52,553.96,-
31,Common Stock,0.3,0.3,0.3,0.3,0,0,-
32,Additional Paid-In Capital,433.36,433.36,433.36,433.36,-,-,-
33,Retained Earnings,17.22,62.29,96.03,133.74,86.23,128.53,-
34,Treasury Stock,-146.99,-131.2,-109.06,-,-,-,-
35,Comprehensive Income & Other,130.41,130.41,130.41,130.41,130.41,130.41,-
36,Total Common Equity,434.3,495.16,551.04,697.81,216.64,258.94,-
37,Minority Interest,-1.03,-1.02,1.6,1.77,0.61,-,-
38,Shareholders' Equity,433.27,494.14,552.64,699.58,217.25,258.94,-
39,Total Liabilities & Equity,638.74,723.83,754.89,962.36,745.77,812.9,-
40,Total Debt,44.19,59.71,55.96,0.81,88.97,120.81,-
41,Net Cash (Debt),235.16,306.92,314.86,556.73,233.51,262.94,-
42,Net Cash Growth,-25.31%,-44.87%,34.84%,111.74%,-,-,-
43,Net Cash Per Share,0.71,0.92,0.90,1.51,0.83,0.88,-
44,Filing Date Shares Outstanding,332.64,334.7,337.54,352,300,300,281.09
45,Total Common Shares Outstanding,332.64,334.7,337.54,352,300,300,281.09
46,Working Capital,326.91,405.64,451.6,612.59,306.84,315.32,-
47,Book Value Per Share,1.31,1.48,1.63,1.98,0.72,0.86,-
48,Tangible Book Value,430.86,494.02,547.74,692.85,209.96,252.86,-
49,Tangible Book Value Per Share,1.30,1.48,1.62,1.97,0.70,0.84,-
50,Buildings,-,39.87,-,39.4,-,39.4,-
51,Machinery,-,31.45,-,29.55,-,28.59,-
52,Leasehold Improvements,-,1.57,-,-,-,-,-
