,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,2343,2360,2596,2700,2791,-,-,-
1,Market Cap Growth,-12.60%,-12.60%,-7.01%,-,-,-,-,-
2,Enterprise Value,2089,2020,2257,2072,2519,-,-,-
3,Last Close Price,7.00,7.05,7.69,7.67,7.93,-,-,-
4,PE Ratio,-,-,-,-,474.01,-,-,-
5,Forward PE,-,19.42,19.42,20.71,22.94,-,-,-
6,PS Ratio,5.46,5.51,6.56,5.30,4.08,-,-,-
7,PB Ratio,4.99,5.07,4.77,4.52,3.53,-,-,-
8,P/TBV Ratio,5.10,5.10,4.77,4.56,3.56,-,-,-
9,P/FCF Ratio,70.53,-,-35.53,-,-,-,-,-
10,P/OCF Ratio,63.99,-,-37.79,-,-,-,-,-
11,EV/Sales Ratio,4.88,4.72,5.70,4.07,3.68,-,-,-
12,EV/FCF Ratio,62.89,-,-30.90,-,-,-,-,-
13,Debt / Equity Ratio,0.10,0.10,0.12,0.10,0.00,0.41,0.47,-
14,Debt / FCF Ratio,1.43,-,-0.90,-,-,-,-2.78,-
15,Earnings Yield,-3.61%,-3.59%,-3.03%,0.39%,0.21%,-,-,-
16,FCF Yield,1.42%,1.41%,-2.81%,-5.77%,-1.12%,-,-,-
17,Buyback Yield / Dilution,6.85%,4.74%,8.86%,-24.23%,-22.61%,3.52%,-,-
18,Total Shareholder Return,6.85%,4.74%,8.86%,-24.23%,-22.61%,3.52%,-,-
