,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,165.06,233.43,125.94,345.44,259.77,457.97,355.21
1,Revenue Growth (YoY),31.07%,-32.42%,-51.52%,-24.57%,-26.87%,-,-
2,Cost of Revenue,129.96,189.64,77.31,277.73,193.27,376.87,267.14
3,Gross Profit,35.1,43.79,48.63,67.71,66.51,81.1,88.07
4,"Selling, General & Admin",49.92,65.53,52.53,84.96,65.85,60.16,56.91
5,Research & Development,26.49,17.55,25.48,21.73,16.19,25.1,18.77
6,Other Operating Expenses,11.16,4.59,8.29,8.37,13.79,9.58,10.67
7,Operating Expenses,87.57,91.33,86.3,116.73,95.84,94.83,86.36
8,Operating Income,-52.46,-47.53,-37.67,-49.02,-29.33,-13.73,1.71
9,Interest Expense,-0.94,-0.95,-0.23,-0.04,-0.1,-0.05,-0.04
10,Interest & Investment Income,6.72,6.98,6.13,6.03,2.58,2.84,2.86
11,Currency Exchange Gain (Loss),1.66,-5.5,11.99,14.67,3.29,-1.81,-
12,Other Non Operating Income (Expenses),-0.74,30.17,-5.81,65.5,-22.95,57.55,23.5
13,EBT Excluding Unusual Items,-45.76,-16.84,-25.6,37.14,-46.52,44.8,28.03
14,Gain (Loss) on Sale of Investments,-,-19.12,-,20.11,-,-,-
15,Gain (Loss) on Sale of Assets,-,0.24,-,-,-,-,-
16,Legal Settlements,-,-,-,-,-,-0.8,-
17,Pretax Income,-45.76,-35.71,-25.6,57.25,-46.52,44,28.03
18,Income Tax Expense,-0.55,-1.12,12.35,10.01,-4.13,-9.06,-1.06
19,Earnings From Continuing Operations,-45.2,-34.59,-37.95,47.24,-42.39,53.06,29.09
20,Minority Interest in Earnings,0.13,0.85,0.24,0.26,0.09,-,-
21,Net Income,-45.07,-33.74,-37.71,47.51,-42.3,53.06,29.09
22,Net Income to Common,-45.07,-33.74,-37.71,47.51,-42.3,53.06,29.09
23,Net Income Growth,-,-,-,-10.46%,-,-,-
24,Shares Outstanding (Basic),333,335,349,348,281,281,281
25,Shares Outstanding (Diluted),333,335,349,368,281,300,291
26,Shares Change (YoY),-4.74%,-8.86%,24.23%,22.61%,-3.52%,-,-
27,EPS (Basic),-0.14,-0.10,-0.11,0.14,-0.15,0.19,0.10
28,EPS (Diluted),-0.14,-0.10,-0.11,0.12,-0.15,0.10,0.09
29,EPS Growth,-,-,-,25.23%,-,-,-
30,Free Cash Flow,-23.44,54.35,-120.66,-23.53,-4.11,24.8,-68.25
31,Free Cash Flow Per Share,-0.07,0.16,-0.35,-0.06,-0.01,0.08,-0.23
32,Operating Margin,-31.78%,-20.36%,-29.91%,-14.19%,-11.29%,-3.00%,0.48%
33,Profit Margin,-27.30%,-14.45%,-29.94%,13.75%,-16.28%,11.58%,8.19%
34,Free Cash Flow Margin,-14.20%,23.28%,-95.81%,-6.81%,-1.58%,5.41%,-19.21%
35,EBITDA,-48.92,-44.56,-32.76,-45.07,-23.85,-8.7,10.7
36,D&A For EBITDA,3.54,2.97,4.91,3.95,5.49,5.03,8.99
37,EBIT,-52.46,-47.53,-37.67,-49.02,-29.33,-13.73,1.71
