,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,7558,6012,5437,6507,10214,5701,5938,6219,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,5.45%,5.45%,-8.43%,4.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6479,4993,4278,5194,8901,4417,4625,5968,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,53.42,42.49,38.43,45.46,71.35,39.82,41.94,43.39,-,-,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,136.71,109.73,79.02,-,79.29,47.03,34.80,33.05,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,2.48,1.99,2.03,2.48,3.94,2.28,2.35,2.41,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,3.69,2.93,2.67,3.15,4.93,2.81,2.97,3.06,-,-,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,3.01,3.01,2.75,3.24,5.05,2.88,3.04,3.14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-27.32,-,-,2681.40,-,-435.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-84.28,-,-,66.74,40.88,34.61,26.35,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.15,1.66,1.59,1.98,3.43,1.77,1.83,2.31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,605.09,214.77,97.51,-,-,53.30,35.81,39.05,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-2761.25,-,-,-,64.39,39.99,42.70,-,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-29.44,-22.69,-,-,2336.72,-,-339.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.13,0.13,0.04,0.05,0.01,0.00,0.13,0.14,0.28,0.27,-,0.11,-,-,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,15.10,2.82,1.57,-,0.47,0.04,2.27,2.10,-,0.64,-,0.46,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-1.26,-,-,4.86,-,-19.03,-,-1.15,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,1.30,1.07,0.65,1.04,0.99,1.03,0.76,1.45,-,-,-,1.87,2.37,1.92,2.38,1.42,1.57,-,-,-,
18,Inventory Turnover,3.79,4.58,3.57,2.43,4.48,3.75,4.26,2.42,3.95,-,-,-,1.89,2.37,2.17,2.45,1.10,1.46,-,-,-
19,Quick Ratio,1.49,1.49,1.84,1.71,2.26,2.40,2.89,2.92,1.22,1.16,-,-,0.89,0.89,0.87,0.87,0.82,0.82,1.59,-,-
20,Current Ratio,2.21,2.21,2.80,2.73,3.00,3.40,3.96,4.01,2.24,2.16,-,-,2.16,2.16,2.17,2.17,3.10,3.10,2.92,-,-
21,Return on Equity (ROE),2.85%,2.77%,-1.65%,6.60%,5.76%,7.94%,6.99%,11.77%,-,-,-,72.88%,92.49%,50.69%,58.05%,41.18%,45.99%,-,-,-,
22,Return on Assets (ROA),1.59%,-0.06%,-1.37%,-0.44%,3.75%,1.58%,3.18%,-3.04%,-,-,-,28.50%,36.03%,22.82%,28.28%,20.31%,22.37%,-,-,-,
23,Return on Capital (ROIC),2.24%,-0.09%,-1.89%,-0.60%,4.86%,1.99%,4.26%,-4.59%,-,-,-,49.61%,62.97%,40.13%,45.95%,29.35%,32.78%,-,-,-,
24,Return on Capital Employed (ROCE),-,-0.09%,-,-,-,3.35%,5.14%,6.10%,-,16.79%,-,-,58.18%,43.38%,49.63%,30.61%,20.86%,10.47%,-,-,-
25,Earnings Yield,0.72%,0.91%,1.27%,1.46%,1.26%,2.13%,2.87%,3.03%,-,-,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-2.91%,-3.66%,-5.32%,-2.53%,0.04%,-0.12%,-0.23%,0.44%,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.60%,-,-,-,0.46%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,86.31%,-,335.91%,-,0.06%,3.58%,180.25%,8.21%,11.11%,1.83%,2.02%,2.58%,46.37%,46.37%,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-10.69%,13.07%,-12.65%,-17.44%,-33.86%,-39.13%,-30.33%,-11.11%,-695.11%,-706.20%,-760.38%,-762.33%,-5.40%,-5.40%,1.66%,-730.22%,-754.67%,-,-,-,-
30,Total Shareholder Return,-10.09%,13.07%,-12.65%,-17.44%,-33.40%,-39.13%,-30.33%,-11.11%,-695.11%,-706.20%,-760.38%,-762.33%,-5.40%,-5.40%,1.66%,-730.22%,-754.67%,-,-,-,-
