,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Operating Revenue,1083,732.53,478.92,563.17,752.64,675.94,443.26,497.87,757.42,756.24,615.39,36.97,36.97,22.07,22.07,10.04,10.04,6.57,2.96,2.96
1,Other Revenue,-63.03,63.03,-,158.54,-63.8,63.8,-,127.02,-40.52,40.52,-,-,-,-,-,-,-,-,-,-
2,Revenue,1020,795.56,478.92,721.7,688.84,739.74,443.26,624.88,716.9,796.76,615.39,36.97,36.97,22.07,22.07,10.04,10.04,6.57,2.96,2.96
3,Revenue Growth (YoY),48.09%,7.55%,8.04%,15.49%,-3.92%,-7.16%,-27.97%,1590.25%,1839.15%,3510.27%,2688.47%,268.28%,268.28%,235.74%,645.46%,239.09%,-,-,-,-
4,Cost of Revenue,878.23,679.88,390.94,620.15,560.81,635.26,340.44,544.37,540,654.88,512.56,18.52,18.52,12.53,12.53,4.9,4.9,3.82,1.69,1.69
5,Gross Profit,141.87,115.68,87.98,101.55,128.03,104.48,102.82,80.51,176.9,141.88,102.83,18.45,18.45,9.54,9.54,5.14,5.14,2.75,1.27,1.27
6,"Selling, General & Admin",51.29,55.12,50.62,59.17,41.61,47.23,47.84,50.53,53.3,56.75,39.45,9.29,9.29,5.22,5.22,2.82,2.82,3.36,1,1
7,Research & Development,57.33,55.09,52.68,54.76,44.24,41.09,35.34,30.79,41.51,45.33,31.67,-,-,-,-,-,-,-,-,-
8,Other Operating Expenses,0.54,1.73,1.44,-10.58,-0.63,-1.48,-9.32,21.49,-10.62,-0.86,-7.94,0.16,0.16,0.13,0.13,0.03,0.03,0.03,0.01,0.01
9,Operating Expenses,121.96,116.42,104.04,106.46,86.23,86.3,73.19,101.54,88.04,99.59,62.48,9.45,9.45,5.35,5.35,2.85,2.85,3.53,1.01,1.01
10,Operating Income,19.91,-0.74,-16.06,-4.91,41.8,18.18,29.63,-21.03,88.86,42.29,40.36,9,9,4.19,4.19,2.29,2.29,-0.78,0.26,0.26
11,Interest Expense,-1.75,-1.53,-,-0.43,-0.29,-0.2,-,-0.41,-0.72,-,-1.88,-,-,-,-,-,-,-,-,-
12,Interest & Investment Income,7.55,9.35,3.53,13.02,9.13,7.84,2.62,1.86,1.25,2.86,-,-,-,-,-,-,-,-,-,-
13,Currency Exchange Gain (Loss),4.73,-4.73,-,-1.25,-1.06,1.06,-,28.37,-13.85,13.85,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-5.53,-1.51,-,-1.41,1.38,-1.54,0.48,-30.33,29.82,-1.17,1,0.82,0.82,0.32,0.32,0.1,0.1,0.49,0,0
15,EBT Excluding Unusual Items,24.92,0.83,-12.53,5.02,50.96,25.35,32.73,-21.53,105.36,57.83,39.48,9.82,9.82,4.51,4.51,2.39,2.39,-0.29,0.26,0.26
16,Gain (Loss) on Sale of Investments,-0.43,0.75,0.35,-2.9,0.01,2.88,-,-,-,-,-,-0.04,-0.04,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.04,0.04,0,0.33,-0,-0,0.04,0,-0.04,0.29,-,-,-,-,-,-,-,-,-,-
18,Asset Writedown,-13.62,5.94,-5.94,18.95,-18.97,7.62,-7.62,17.85,-17.85,2.85,-2.85,-0.16,-0.16,-0.85,-0.85,-0.04,-0.04,0.15,-0.09,-0.09
19,Other Unusual Items,0.59,2.3,2.42,4.59,-2.56,2.56,-,26.88,-0.43,0.43,-,-,-,-,-,-,-,-0.03,-,-
20,Pretax Income,11.41,9.86,-15.7,26,29.44,38.42,25.16,23.2,87.05,61.39,36.62,9.63,9.63,3.66,3.66,2.36,2.36,-0.17,0.18,0.18
21,Income Tax Expense,-3.14,-4.34,-7.17,-7.86,0.41,-1.64,-0.58,-3.26,7.3,3.08,1.46,1.36,1.36,0.35,0.35,0.35,0.35,-0.21,0.02,0.02
22,Earnings From Continuing Operations,14.55,14.2,-8.53,33.86,29.03,40.06,25.74,26.46,79.74,58.31,35.16,8.27,8.27,3.31,3.31,2.01,2.01,0.05,0.16,0.16
23,Minority Interest in Earnings,0.63,-0.14,0.3,-0.08,0.17,0.07,-0.05,-0.25,-1.17,-0.6,-0.48,-,-,-,-,-,-,-,-,-
24,Net Income,15.18,14.05,-8.23,33.78,29.2,40.13,25.69,26.21,78.58,57.71,34.69,8.27,8.27,3.31,3.31,2.01,2.01,0.05,0.16,0.16
25,Net Income to Common,15.18,14.05,-8.23,33.78,29.2,40.13,25.69,26.21,78.58,57.71,34.69,8.27,8.27,3.31,3.31,2.01,2.01,0.05,0.16,0.16
26,Net Income Growth,-48.01%,-64.99%,-,28.91%,-62.84%,-30.46%,-25.93%,217.05%,850.59%,1642.97%,947.68%,311.71%,311.71%,7082.16%,1950.04%,1143.15%,-,-,-,-
27,Shares Outstanding (Basic),129,154,137,141,148,137,112,100,99,102,99,13,13,12,12,13,13,12,1,1
28,Shares Outstanding (Diluted),129,154,137,141,148,137,117,105,107,105,105,13,13,12,12,13,13,12,1,1
29,Shares Change (YoY),-13.07%,12.65%,17.44%,33.86%,39.13%,30.33%,11.11%,695.11%,706.20%,760.38%,762.33%,5.40%,5.40%,-1.66%,730.22%,754.67%,-,-,-,-
30,EPS (Basic),0.12,0.09,-0.06,0.24,0.20,0.29,0.23,0.26,0.79,0.57,0.35,0.63,0.63,0.27,0.27,0.16,0.16,0.00,0.11,0.11
31,EPS (Diluted),0.12,0.09,-0.06,0.24,0.20,0.29,0.22,0.25,0.74,0.55,0.33,0.63,0.63,0.27,0.27,0.16,0.16,0.00,0.11,0.11
32,EPS Growth,-40.19%,-68.92%,-,-3.70%,-73.29%,-46.64%,-33.33%,-60.13%,17.91%,102.58%,21.49%,290.63%,290.63%,7203.55%,146.93%,45.45%,-,-,-,-
33,Free Cash Flow,44.15,-97.18,-183.74,16.71,-24.99,27.71,-15.61,5.8,-31.53,69.02,-268.58,5.48,5.48,2.29,2.29,-3.02,-3.02,-9,0.1,0.1
34,Free Cash Flow Per Share,0.34,-0.63,-1.34,0.12,-0.17,0.20,-0.13,0.06,-0.30,0.66,-2.56,0.41,0.41,0.19,0.19,-0.24,-0.24,-0.73,0.07,0.07
35,Dividend Per Share,-,-,-,0.330,-,-,-,0.500,-,-,-,-,-,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-34.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,13.91%,14.54%,18.37%,14.07%,18.59%,14.12%,23.20%,12.88%,24.68%,17.81%,16.71%,49.91%,49.91%,43.24%,43.24%,51.20%,51.20%,41.87%,42.97%,42.97%
38,Operating Margin,1.95%,-0.09%,-3.35%,-0.68%,6.07%,2.46%,6.68%,-3.36%,12.39%,5.31%,6.56%,24.35%,24.35%,19.00%,19.00%,22.81%,22.81%,-11.81%,8.92%,8.92%
39,Profit Margin,1.49%,1.77%,-1.72%,4.68%,4.24%,5.43%,5.80%,4.19%,10.96%,7.24%,5.64%,22.36%,22.36%,15.00%,15.00%,20.00%,20.00%,0.70%,5.46%,5.46%
40,Free Cash Flow Margin,4.33%,-12.22%,-38.37%,2.32%,-3.63%,3.75%,-3.52%,0.93%,-4.40%,8.66%,-43.64%,14.83%,14.83%,10.38%,10.38%,-30.12%,-30.12%,-136.89%,3.31%,3.31%
41,EBITDA,24.52,10.47,-11.45,-0.3,45.15,22.41,32.98,-17.68,91.46,46.06,42.96,9.21,9.21,4.34,4.34,2.39,2.39,-0.69,0.28,0.28
42,EBITDA Margin,2.40%,1.32%,-2.39%,-0.04%,6.55%,3.03%,7.44%,-2.83%,12.76%,5.78%,6.98%,24.92%,24.92%,19.65%,19.65%,23.85%,23.85%,-10.47%,9.57%,9.57%
43,D&A For EBITDA,4.61,11.22,4.61,4.61,3.35,4.23,3.35,3.35,2.61,3.77,2.61,0.21,0.21,0.14,0.14,0.1,0.1,0.09,0.02,0.02
44,EBIT,19.91,-0.74,-16.06,-4.91,41.8,18.18,29.63,-21.03,88.86,42.29,40.36,9,9,4.19,4.19,2.29,2.29,-0.78,0.26,0.26
45,EBIT Margin,1.95%,-0.09%,-3.35%,-0.68%,6.07%,2.46%,6.68%,-3.36%,12.39%,5.31%,6.56%,24.35%,24.35%,19.00%,19.00%,22.81%,22.81%,-11.81%,8.92%,8.92%
46,Effective Tax Rate,-,-,-,-,1.38%,-,-,-,8.39%,5.02%,3.99%,14.15%,14.15%,9.49%,9.49%,14.77%,14.77%,-,8.72%,8.72%
47,Revenue as Reported,1020,795.56,478.92,721.7,688.84,739.74,443.26,624.88,716.9,796.76,615.39,36.97,36.97,22.07,22.07,10.04,10.04,20.74,2.96,2.96
