,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,1083,783.26,1095,1358,564.79,709.65,1595,497.36,491.65,-,-,19.79,19.79,8.43,8.43,3.8,3.8,9.78,-,-
1,Trading Asset Securities,274.71,316.44,166.85,-,757,837.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1358,1100,1262,1358,1322,1547,1595,497.36,491.65,-,564.97,19.79,19.79,8.43,8.43,3.8,3.8,9.78,-,0.61
3,Cash Growth,2.74%,-28.90%,-20.85%,173.10%,168.85%,-,182.26%,2413.47%,2384.62%,-,6600.55%,420.49%,420.49%,-13.80%,-,518.34%,-,-,-,-
4,Accounts Receivable,463.05,309.2,246.63,278.63,251.09,161.43,195.79,229.85,227.62,-,-,10.03,10.03,8.68,8.68,3.19,3.19,2.16,-,-
5,Other Receivables,13.73,112.92,12.96,87.49,15.77,53.69,11.92,15.25,10.27,-,-,0.21,0.21,0.18,0.18,0.12,0.12,0.12,-,-
6,Receivables,476.78,422.12,259.59,366.12,266.86,215.12,207.71,245.1,237.89,-,-,10.24,10.24,8.87,8.87,3.32,3.32,2.27,-,-
7,Inventory,769.96,762.63,759.95,526.04,582.09,613.67,580.56,546.06,555.42,-,-,39.25,39.25,23.13,23.13,17.84,17.84,9.04,-,-
8,Prepaid Expenses,-,-,-,0.28,-,-,-,-,-,-,-,2.93,2.93,2.26,2.26,1.92,1.92,0.71,-,-
9,Other Current Assets,124.4,33.33,143.93,35.53,74.08,38.5,96.56,73.41,74.77,-,-,0.31,0.31,0.35,0.35,-,-,0.26,-,-
