,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,362,440,568,724,846,928,987,1014,1019,997,1068,Upgrade
1,Market Cap Growth,-39.27%,-39.27%,-32.87%,-21.98%,-14.32%,-8.53%,-3.08%,1.68%,-4.58%,-15.66%,-12.48%,Upgrade
2,Enterprise Value,5143,4705,4744,4501,4217,4048,3843,3596,3253,3639,3506,Upgrade
3,Last Close Price,0.40,0.48,0.61,0.77,0.88,0.95,0.96,0.97,0.94,0.91,0.93,Upgrade
4,PE Ratio,8.57,10.42,13.82,15.14,17.31,19.20,10.81,9.91,8.76,7.34,8.84,Upgrade
5,PS Ratio,0.65,0.78,0.98,1.43,1.69,1.58,1.42,1.41,0.71,0.72,1.58,Upgrade
6,PB Ratio,0.14,0.17,0.22,0.29,0.33,0.37,0.38,0.39,0.40,0.40,0.44,Upgrade
7,P/TBV Ratio,0.17,0.17,0.22,0.29,0.33,0.37,0.38,0.39,0.40,0.40,0.44,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-22.28,-,-,1.62,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-22.95,-,-,1.61,-,-,Upgrade
10,EV/Sales Ratio,9.18,8.40,8.20,8.92,8.41,6.90,5.53,5.01,2.25,2.62,5.20,Upgrade
11,EV/EBITDA Ratio,420.55,-,234.87,-267.02,-,-,-,-,-,60.74,-,Upgrade
12,EV/EBIT Ratio,969.61,-,339.27,-193.53,-,-,-,-,-,78.20,-,Upgrade
13,EV/FCF Ratio,-26.59,-,-,-,-,-97.21,-,-,5.19,-,-,Upgrade
14,Debt / Equity Ratio,2.10,2.10,1.94,1.97,1.93,1.88,1.80,1.71,1.62,1.85,1.69,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,-113.27,-,-,6.61,-,-,Upgrade
16,Return on Capital Employed (ROCE),0.07%,-,0.23%,-0.36%,-,-,-,-,-,0.84%,-,Upgrade
17,Earnings Yield,11.68%,9.60%,7.24%,6.61%,5.78%,5.21%,9.25%,10.09%,11.41%,13.62%,11.32%,Upgrade
18,FCF Yield,-53.47%,-44.00%,-40.39%,-57.85%,-10.47%,-4.49%,-42.40%,50.42%,61.55%,-57.09%,-37.66%,Upgrade
19,Dividend Yield,3.04%,-,-,-,2.62%,3.68%,3.64%,3.63%,3.73%,3.86%,3.78%,Upgrade
20,Buyback Yield / Dilution,0.38%,0.31%,0.46%,2.81%,4.36%,2.39%,1.22%,2.34%,3.29%,2.14%,1.24%,Upgrade
21,Total Shareholder Return,3.42%,0.31%,0.46%,2.81%,6.98%,6.07%,4.86%,5.97%,7.02%,6.00%,5.03%,Upgrade
