,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,413.11,476.73,391.03,413.73,510.47,671.44,526.57,500.35,528.19
1,Revenue Growth (YoY),5.65%,15.23%,-23.40%,-38.38%,-3.06%,34.19%,-0.31%,-,-
2,Cost of Revenue,120.22,187.81,153.44,63.23,86.44,151.08,119.69,180.41,217.76
3,Gross Profit,292.89,288.92,237.59,350.5,424.03,520.37,406.88,319.95,310.43
4,"Selling, General & Admin",179.89,182.7,162.87,213.68,184.48,198.43,143.72,102.15,83.5
5,Research & Development,177.67,176.85,188.95,190.97,160.15,157.3,120.11,55.13,48.6
6,Other Operating Expenses,-3.93,-2.1,-21.37,-26.64,-2.71,-2.15,-2.53,-1.24,-2.58
7,Operating Expenses,461.72,481.05,362.14,381.91,342.32,353.77,260.99,157.29,129.58
8,Operating Income,-168.83,-192.12,-124.55,-31.41,81.72,166.6,145.9,162.66,180.85
9,Interest Expense,-7.12,-4.58,-3.73,-12.17,-18.11,-59.65,-75.5,-61.98,-78.43
10,Interest & Investment Income,46.27,60.69,65.5,74.9,29.03,14.94,7.18,12.59,8.84
11,Earnings From Equity Investments,-22.19,-36.15,-38.85,-41.48,-19.41,-19.35,7.2,0.25,7.27
12,Currency Exchange Gain (Loss),-15.36,4.79,-1.79,-7,-0.27,8.17,35.97,4.7,1.79
13,Other Non Operating Income (Expenses),-0.13,0.99,-0.55,2.58,-1.04,1.07,-13088,-508.64,-354.42
14,EBT Excluding Unusual Items,-167.36,-166.38,-103.97,-14.58,71.92,111.78,-12967,-390.41,-234.09
15,Gain (Loss) on Sale of Investments,-48.49,-70.56,-82.98,-20.77,-18.62,-30.52,-14.89,-5.68,-33.69
16,Other Unusual Items,-,-,-,-,-,-,-14.25,-10.57,-
17,Pretax Income,-215.85,-236.94,-186.95,-35.35,53.3,81.26,-12997,-406.66,-267.78
18,Income Tax Expense,25.67,34.71,-15.29,21.7,18.1,39,36.41,20.32,20.72
19,Earnings From Continuing Operations,-241.52,-271.64,-171.66,-57.05,35.2,42.27,-13033,-426.98,-288.5
20,Minority Interest in Earnings,0.72,0.7,1.36,0.55,7.85,-0.75,-0.37,-1.34,-0.23
21,Net Income,-240.8,-270.94,-170.3,-56.5,43.05,41.52,-13033,-428.32,-288.73
22,Net Income to Common,-240.8,-270.94,-170.3,-56.5,43.05,41.52,-13033,-428.32,-288.73
23,Shares Outstanding (Basic),2103,2121,2121,2126,2136,2159,1179,31,370
24,Shares Outstanding (Diluted),2103,2121,2121,2126,2250,2159,1179,31,370
25,Shares Change (YoY),-0.87%,-0.21%,-5.72%,-1.57%,90.87%,6899.49%,218.37%,-,-
26,EPS (Basic),-0.11,-0.13,-0.08,-0.03,0.02,0.02,-11.06,-13.88,-0.78
27,EPS (Diluted),-0.11,-0.13,-0.08,-0.03,0.02,0.02,-11.06,-13.88,-0.78
28,Free Cash Flow,91.78,40.42,-498.94,1678,11.11,832.7,-1721,-2311,134.62
29,Free Cash Flow Per Share,0.04,0.02,-0.24,0.79,0.00,0.39,-1.46,-74.92,0.36
30,Operating Margin,-40.87%,-40.30%,-31.85%,-7.59%,16.01%,24.81%,27.71%,32.51%,34.24%
31,Profit Margin,-58.29%,-56.83%,-43.55%,-13.66%,8.43%,6.18%,-2475.12%,-85.60%,-54.67%
32,Free Cash Flow Margin,22.22%,8.48%,-127.60%,405.67%,2.18%,124.02%,-326.86%,-461.95%,25.49%
33,EBITDA,-162.37,-185.15,-117.73,-24.44,88.43,173.33,149.77,166.02,183.45
34,D&A For EBITDA,6.46,6.97,6.82,6.96,6.71,6.73,3.87,3.36,2.6
35,EBIT,-168.83,-192.12,-124.55,-31.41,81.72,166.6,145.9,162.66,180.85
