,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,2842,4300,3351,6354,9292,17780,16795,40676,-,-
1,Market Cap Growth,-32.33%,-32.33%,-63.93%,-64.26%,-44.68%,-56.29%,-,-,-,-
2,Enterprise Value,-2700,-1475,-3177,-1031,2640,9874,10112,42321,-,-
3,Last Close Price,1.44,2.07,1.51,2.66,3.59,6.84,6.43,15.36,-,-
4,PE Ratio,-,-,-,-,-,179.48,-1.05,-,-,-
5,Forward PE,-,-,18.97,17.00,21.52,32.85,31.64,89.99,-,-
6,PS Ratio,3.18,4.50,3.51,7.31,8.89,12.84,11.42,32.93,-,-
7,PB Ratio,0.31,0.47,0.33,0.63,0.83,1.53,1.41,3.43,-,-
8,P/TBV Ratio,0.49,0.49,0.35,0.65,0.85,1.57,1.44,3.49,-,-
9,P/FCF Ratio,20.01,30.27,-6.63,-,4.86,17.99,-15.40,-,-,-
10,P/OCF Ratio,14.69,14.69,-9.38,-,4.42,14.83,-18.71,-,-,-
11,PEG Ratio,0.87,0.87,0.87,0.87,0.87,0.87,0.87,1.38,-,-
12,EV/Sales Ratio,-,-,-,-,2.53,7.13,6.88,34.27,-,-
13,EV/EBITDA Ratio,-,-,-,-,-,32.20,25.50,111.43,-,-
14,EV/EBIT Ratio,-,-,-,-,-,33.95,26.36,114.04,-,-
15,EV/FCF Ratio,-19.01,-,-,-,1.38,9.99,-9.27,-,-,-
16,Debt / Equity Ratio,0.04,0.04,0.01,0.07,0.01,0.18,0.13,0.16,-0.83,-
17,Debt / FCF Ratio,2.75,2.75,-0.27,-,0.04,2.16,-1.41,-,-,-
18,Return on Capital Employed (ROCE),-,-,-,-,-,2.49%,3.19%,3.11%,-,-
19,Earnings Yield,-19.35%,-12.79%,-14.51%,-3.86%,-0.16%,0.56%,-94.95%,-39.80%,-,-
20,FCF Yield,5.00%,3.30%,-15.07%,20.06%,20.56%,5.56%,-6.49%,-11.92%,-,-
21,Buyback Yield / Dilution,0.54%,0.87%,0.21%,5.72%,1.57%,-90.87%,-6899.49%,-218.37%,-,-
22,Total Shareholder Return,7.49%,0.87%,0.21%,5.72%,1.57%,-90.87%,-6899.49%,-218.37%,-,-
