,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,4923,4719,5833,5731,5285,4928,4433,587.34,-
1,Short-Term Investments,418.8,437.88,643.44,658.74,2033,2384,2359,658.49,-
2,Trading Asset Securities,176.69,206.75,187.73,200.68,183.76,392.49,393.43,134.22,-
3,Cash & Short-Term Investments,5519,5364,6664,6591,7502,7704,7185,1380,-
4,Cash Growth,-17.19%,-18.62%,-11.17%,-14.45%,4.41%,458.28%,-,-,-
5,Accounts Receivable,257.79,302.03,257.75,352.66,284.6,254.08,243.19,225.18,-
6,Other Receivables,2135,2010,2030,1504,1479,581.96,1062,2591,-
7,Receivables,2457,2408,2380,1939,1794,866.04,1305,2817,-
8,Prepaid Expenses,14.84,14.89,15.21,13.9,22.24,26.1,22.05,60.61,-
9,Restricted Cash,163,130.63,133.31,159.87,712.36,667.47,1302,394.38,-
10,Other Current Assets,494.99,929.21,991.37,2395,3494,1956,1752,1101,-
11,Total Current Assets,8648,8846,10184,11099,13525,11220,11566,5753,-
12,"Property, Plant & Equipment",116.54,114.5,55.86,69.92,79.7,92.42,101.21,68.05,-
13,Long-Term Investments,330.61,335.24,405.4,394.91,338.82,232.15,115.1,111.3,-
14,Other Intangible Assets,306.07,312.04,296.27,288.13,245.77,198.09,138.89,106.23,-
15,Long-Term Deferred Tax Assets,88.3,101.76,113.25,67.69,63.96,59.5,56.82,60.83,-
16,Long-Term Deferred Charges,25.1,20.6,14.34,5.13,6.02,6.48,10.88,7.37,-
17,Other Long-Term Assets,3.41,-,-,-,-,-,-,-,-
18,Total Assets,9518,9731,11069,11924,14259,11808,12019,6137,-
19,Accounts Payable,4.14,3.21,2.39,5.61,2,1.14,1.76,2.15,-
20,Accrued Expenses,71.68,96.41,58.01,93.83,56.73,81.3,40.5,48.94,-
21,Current Portion of Long-Term Debt,270.47,34.02,581.77,10.01,1754,1177,1531,2697,-
22,Current Portion of Leases,18.68,9.64,19.17,19.45,18.36,18.48,19.36,10.92,-
23,Current Income Taxes Payable,56.01,56.92,62.25,50.69,47.06,60.06,40.5,33.87,-
24,Current Unearned Revenue,14.7,10.57,7.28,7.24,4.16,7.25,3.48,0.71,-
25,Other Current Liabilities,523.9,326.2,916.42,1751,2412,679.29,463.98,6615,-
26,Total Current Liabilities,959.58,536.97,1647,1938,4294,2025,2100,9409,-
27,Long-Term Debt,-,-,-,-,13.22,13.21,13.04,13.16,-
28,Long-Term Leases,74.98,80.76,23.76,29.98,39.25,48.06,58.38,38.07,-
29,Long-Term Unearned Revenue,0.56,-,-,-,0.26,0.29,0.34,0.45,-
30,Total Liabilities,1035,617.73,1671,1968,4347,2086,2172,9460,-
31,Common Stock,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.03,-
32,Additional Paid-In Capital,8481,8927,8927,9453,9493,9504,7543,-,-
33,Retained Earnings,-492.11,-251.31,19.63,189.93,246.43,203.39,-16370,-3336,-
34,Treasury Stock,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-
35,Comprehensive Income & Other,497.71,439.88,452.89,313.83,173.69,6.95,18667,6.34,-
36,Total Common Equity,8487,9116,9400,9957,9913,9715,9840,-3330,-
37,Minority Interest,-3.43,-2.78,-1.91,-0.77,-0.51,7.53,6.78,6.41,-
38,Shareholders' Equity,8483,9113,9398,9957,9912,9722,9847,-3323,-
39,Total Liabilities & Equity,9518,9731,11069,11924,14259,11808,12019,6137,-
40,Total Debt,364.13,124.42,624.7,59.45,1825,1257,1621,2759,-
41,Net Cash (Debt),5154,5239,6039,6531,5678,6448,5564,-1379,-
42,Net Cash Growth,-14.65%,-19.78%,6.37%,1.30%,2.05%,-,-,-,-
43,Net Cash Per Share,2.45,2.47,2.85,3.07,2.52,2.99,4.72,-44.70,-
44,Filing Date Shares Outstanding,1981,2121,2121,2126,2136,2301,1179,30.85,370.22
45,Total Common Shares Outstanding,1981,2121,2121,2126,2136,2301,1179,30.85,370.22
46,Working Capital,7689,8309,8536,9161,9231,9195,9466,-3656,-
47,Book Value Per Share,4.28,4.30,4.43,4.68,4.64,4.22,8.35,-107.93,-
48,Tangible Book Value,8181,8804,9103,9669,9667,9516,9701,-3436,-
49,Tangible Book Value Per Share,4.13,4.15,4.29,4.55,4.53,4.14,8.23,-111.38,-
50,Machinery,-,43.88,-,42.24,-,33.21,-,18.51,-
51,Leasehold Improvements,-,33.45,-,18.27,-,18.13,-,12.65,-
