,field_name,name,en_name,type,order,unit,com_type_code
0,BSA1,TỔNG TÀI SẢN NGẮN HẠN,CURRENT ASSETS,Chỉ tiêu cân đối kế toán,12,tỷ,BH
1,BSA2,Tiền và tương đương tiền,Cash and cash equivalents,Chỉ tiêu cân đối kế toán,13,tỷ,BH
2,BSA5,Giá trị thuần đầu tư ngắn hạn,Net Short-term investment,Chỉ tiêu cân đối kế toán,14,tỷ,BH
3,BSA8,Các khoản phải thu,Accounts Receivables,Chỉ tiêu cân đối kế toán,15,tỷ,BH
4,BSA15,Hàng tồn kho ròng,Net Inventories,Chỉ tiêu cân đối kế toán,16,tỷ,BH
5,BSA18,Tài sản lưu động khác,Other current assets,Chỉ tiêu cân đối kế toán,17,tỷ,BH
6,BSA23,TỔNG TÀI SẢN DÀI HẠN,NON-CURRENT ASSETS,Chỉ tiêu cân đối kế toán,18,tỷ,BH
7,BSA24,Phải thu dài hạn,Long-term receivables,Chỉ tiêu cân đối kế toán,19,tỷ,BH
8,BSA29,Tài sản cổ định,Fixed assets,Chỉ tiêu cân đối kế toán,20,tỷ,BH
9,BSA40,Giá trị ròng tài sản đầu tư,Investment in properties,Chỉ tiêu cân đối kế toán,21,tỷ,BH
10,BSA43,Đầu tư dài hạn,Long-term investment,Chỉ tiêu cân đối kế toán,22,tỷ,BH
11,BSA49,Tài sản dài hạn khác,Other non-current assets,Chỉ tiêu cân đối kế toán,24,tỷ,BH
12,BSA53,TỔNG TÀI SẢN,TOTAL ASSETS,Chỉ tiêu cân đối kế toán,25,tỷ,BH
13,BSA54,NỢ PHẢI TRẢ,LIABILITIES,Chỉ tiêu cân đối kế toán,26,tỷ,BH
14,BSA55,Nợ ngắn hạn,Current liabilities,Chỉ tiêu cân đối kế toán,27,tỷ,BH
15,BSA67,Nợ dài hạn,Long-term liabilities,Chỉ tiêu cân đối kế toán,28,tỷ,BH
16,BSA78,VỐN CHỦ SỞ HỮU,OWNER'S EQUITY,Chỉ tiêu cân đối kế toán,29,tỷ,BH
17,BSA79,Vốn và các quỹ,Capital and Reserves,Chỉ tiêu cân đối kế toán,30,tỷ,BH
18,BSA89,Các quỹ khác,Other Reserves,Chỉ tiêu cân đối kế toán,31,tỷ,BH
19,BSA90,Lãi chưa phân phối,Undistributed earnings,Chỉ tiêu cân đối kế toán,32,tỷ,BH
20,BSA94,Vốn Ngân sách nhà nước và quỹ khác,Budget sources and other funds,Chỉ tiêu cân đối kế toán,33,tỷ,BH
21,BSA95,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,MINORITY INTERESTS,Chỉ tiêu cân đối kế toán,34,tỷ,BH
22,BSA96,TỔNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES,Chỉ tiêu cân đối kế toán,35,tỷ,BH
23,BSA1,TỔNG TÀI SẢN NGẮN HẠN,CURRENT ASSETS,Chỉ tiêu cân đối kế toán,9,tỷ,CK
24,BSA2,Tiền và tương đương tiền,Cash and cash equivalents,Chỉ tiêu cân đối kế toán,10,tỷ,CK
25,BSA5,Giá trị thuần đầu tư ngắn hạn,Net Short-term investment,Chỉ tiêu cân đối kế toán,11,tỷ,CK
26,BSA8,Các khoản phải thu,Accounts Receivables,Chỉ tiêu cân đối kế toán,12,tỷ,CK
27,BSA15,Hàng tồn kho ròng,Net Inventories,Chỉ tiêu cân đối kế toán,13,tỷ,CK
28,BSA18,Tài sản lưu động khác,Other current assets,Chỉ tiêu cân đối kế toán,14,tỷ,CK
29,BSA23,TỔNG TÀI SẢN DÀI HẠN,NON-CURRENT ASSETS,Chỉ tiêu cân đối kế toán,15,tỷ,CK
30,BSA24,Phải thu dài hạn,Long-term receivables,Chỉ tiêu cân đối kế toán,16,tỷ,CK
31,BSA29,Tài sản cổ định,Fixed assets,Chỉ tiêu cân đối kế toán,17,tỷ,CK
32,BSA40,Giá trị ròng tài sản đầu tư,Investment in properties,Chỉ tiêu cân đối kế toán,18,tỷ,CK
33,BSA43,Đầu tư dài hạn,Long-term investment,Chỉ tiêu cân đối kế toán,19,tỷ,CK
34,BSA209,Lợi thế thương mại,Goodwill,Chỉ tiêu cân đối kế toán,20,tỷ,CK
35,BSA49,Tài sản dài hạn khác,Other non-current assets,Chỉ tiêu cân đối kế toán,21,tỷ,CK
36,BSA53,TỔNG TÀI SẢN,TOTAL ASSETS,Chỉ tiêu cân đối kế toán,22,tỷ,CK
37,BSA54,NỢ PHẢI TRẢ,LIABILITIES,Chỉ tiêu cân đối kế toán,23,tỷ,CK
38,BSA55,Nợ ngắn hạn,Current liabilities,Chỉ tiêu cân đối kế toán,24,tỷ,CK
39,BSA67,Nợ dài hạn,Long-term liabilities,Chỉ tiêu cân đối kế toán,25,tỷ,CK
40,BSA78,VỐN CHỦ SỞ HỮU,OWNER'S EQUITY,Chỉ tiêu cân đối kế toán,26,tỷ,CK
41,BSA79,Vốn và các quỹ,Capital and Reserves,Chỉ tiêu cân đối kế toán,27,tỷ,CK
42,BSA89,Các quỹ khác,Other Reserves,Chỉ tiêu cân đối kế toán,28,tỷ,CK
43,BSA90,Lãi chưa phân phối,Undistributed earnings,Chỉ tiêu cân đối kế toán,29,tỷ,CK
44,BSA92,Vốn Ngân sách nhà nước và quỹ khác,Budget sources and other funds,Chỉ tiêu cân đối kế toán,30,tỷ,CK
45,BSA95,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,MINORITY INTERESTS,Chỉ tiêu cân đối kế toán,31,tỷ,CK
46,BSA96,TỔNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES,Chỉ tiêu cân đối kế toán,32,tỷ,CK
47,BSA1,TỔNG TÀI SẢN NGẮN HẠN,CURRENT ASSETS,Chỉ tiêu cân đối kế toán,1,tỷ,CT
48,BSA2,Tiền và tương đương tiền,Cash and cash equivalents,Chỉ tiêu cân đối kế toán,2,tỷ,CT
49,BSA5,Giá trị thuần đầu tư ngắn hạn,Net Short-term investment,Chỉ tiêu cân đối kế toán,3,tỷ,CT
50,BSA8,Các khoản phải thu,Accounts Receivables,Chỉ tiêu cân đối kế toán,4,tỷ,CT
51,BSA15,Hàng tồn kho ròng,Net Inventories,Chỉ tiêu cân đối kế toán,5,tỷ,CT
52,BSA18,Tài sản lưu động khác,Other current assets,Chỉ tiêu cân đối kế toán,6,tỷ,CT
53,BSA23,TỔNG TÀI SẢN DÀI HẠN,NON-CURRENT ASSETS,Chỉ tiêu cân đối kế toán,7,tỷ,CT
54,BSA162,Phải thu dài hạn,Long-term receivables,Chỉ tiêu cân đối kế toán,8,tỷ,CT
55,BSA29,Tài sản cổ định,Fixed assets,Chỉ tiêu cân đối kế toán,9,tỷ,CT
56,BSA40,Giá trị ròng tài sản đầu tư,Investment in properties,Chỉ tiêu cân đối kế toán,10,tỷ,CT
57,BSA43,Đầu tư dài hạn,Long-term investment,Chỉ tiêu cân đối kế toán,11,tỷ,CT
58,BSA48,Lợi thế thương mại,Goodwill,Chỉ tiêu cân đối kế toán,12,tỷ,CT
59,BSA49,Tài sản dài hạn khác,Other non-current assets,Chỉ tiêu cân đối kế toán,13,tỷ,CT
60,BSA53,TỔNG TÀI SẢN,TOTAL ASSETS,Chỉ tiêu cân đối kế toán,14,tỷ,CT
61,BSA54,NỢ PHẢI TRẢ,LIABILITIES,Chỉ tiêu cân đối kế toán,15,tỷ,CT
62,BSA55,Nợ ngắn hạn,Current liabilities,Chỉ tiêu cân đối kế toán,16,tỷ,CT
63,BSA67,Nợ dài hạn,Long-term liabilities,Chỉ tiêu cân đối kế toán,17,tỷ,CT
64,BSA78,VỐN CHỦ SỞ HỮU,OWNER'S EQUITY,Chỉ tiêu cân đối kế toán,18,tỷ,CT
65,BSA79,Vốn và các quỹ,Capital and Reserves,Chỉ tiêu cân đối kế toán,19,tỷ,CT
66,BSA82,Các quỹ khác,Other Reserves,Chỉ tiêu cân đối kế toán,20,tỷ,CT
67,BSA90,Lãi chưa phân phối,Undistributed earnings,Chỉ tiêu cân đối kế toán,21,tỷ,CT
68,BSA92,Vốn Ngân sách nhà nước và quỹ khác,Budget sources and other funds,Chỉ tiêu cân đối kế toán,22,tỷ,CT
69,BSA210,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,MINORITY INTERESTS,Chỉ tiêu cân đối kế toán,23,tỷ,CT
