,Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
0,600000.SS,PU DEV BANK,Financial Services,Banks - Regional,2022,1.56,23.77579859,0.005878581,12.31601429,0.41,4.306847316,0.192901588,0.282584906,0.061023875,197208000000.0,8704650000000.0,6.718681812
1,600004.SS,BAIYUN AIRPORT,Industrials,Airports & Air Services,2022,-0.45,7.263429341,-0.039761443,1.547556112,0.0,-33.09382757,0.086768225,2.050301821,0.0,35245720609.0,26940788268.0,14.8922224
2,600006.SS,DONGFENG,Consumer Cyclical,Auto Manufacturers,2022,0.1425,4.098078401,0.01611912,2.085216521,0.0558,38.71481377,0.010438951,1.346206788,0.010114447,11033721924.0,17686076889.0,5.516860962
3,600007.SS,CHINA WORLD TRADE,Real Estate,Real Estate Services,2022,1.11,9.079354865,0.086991936,1.402046194,0.6,12.98653113,0.166355977,1.587673328,0.041623166,14519991114.0,12827290298.0,14.41504955
4,600008.SS,BEIJING CAPITAL ECO-ENVIRONMENT PROTECTION,Industrials,Conglomerates,2022,0.4298,3.722448654,0.030078642,2.724462989,0.1,6.075328092,0.39915283,0.701467302,0.03829692,19167572745.0,104895000000.0,2.611176014
5,600009.SS,SH AIRPORT,Industrials,Airports & Air Services,2022,-1.26,15.91638271,-0.044189532,1.665093151,0.0,-45.50358909,0.299532608,3.602233201,0.0,142676000000.0,67775098796.0,57.33452225
6,600011.SS,HUANENG INT'L,Utilities,Utilities - Independent Power Producers,2022,-0.61,9.868925528,-0.014697635,3.971786698,0.0,-12.20855635,0.597911995,0.754612987,0.0,81902281387.0,502606000000.0,7.447219372
7,600012.SS,WANTONG EXPRESSWAY,Industrials,Infrastructure Operations,2022,0.8712,10.23062144,0.067830449,1.577494218,0.55,7.604110449,0.314411384,0.647536522,0.083022615,7721751513.0,21303368819.0,6.624701023
8,600015.SS,HUAXIA BANK,Financial Services,Banks - Regional,2022,1.43,20.13565843,0.006418956,12.06279498,0.338,3.191314044,0.180305356,0.226641662,0.074064675,72628906930.0,3900170000000.0,4.563579082
9,600016.SS,MINSHENG BANK,Financial Services,Banks - Regional,2022,0.71,16.91744194,0.004860886,11.83992696,0.213,4.193801611,0.103886573,0.176007647,0.071534142,105592000000.0,7255670000000.0,2.977599144
10,600017.SS,RIZHAO PORT,Industrials,Marine Shipping,2022,0.23,5.035989476,0.019364205,2.113870191,0.04,11.80877271,0.344012005,0.539321565,0.014727444,8353520040.0,36575412626.0,2.716017723
11,600018.SS,SHANG PORT GP,Industrials,Marine Shipping,2022,0.7423,4.824770348,0.094740121,1.500422004,0.18996,6.799230867,0.23307267,1.046074467,0.037637686,117503000000.0,181802000000.0,5.047069073
12,600019.SS,BAO IRON,Basic Materials,Steel,2022,0.55,8.852451133,0.030601094,1.844800725,0.43,9.348404624,0.119848594,0.580813434,0.083631188,113040000000.0,398249000000.0,5.141622543
13,600020.SS,ZHONGYUAN EXPRESSWAY,Industrials,Infrastructure Operations,2022,0.0185,5.606157418,0.00281871,3.937326615,0.1,153.0934025,0.663033973,0.505199504,0.035307893,6365064072.0,49729880467.0,2.832227945
14,600021.SS,SEP,Utilities,Utilities - Renewable,2022,0.0733,7.629947011,0.002063241,3.656356608,0.0,133.3591883,0.522832887,1.281165975,0.0,27534278065.0,161978000000.0,9.7752285
15,600022.SS,SHANDONG IRON AND STEEL,Basic Materials,Steel,2022,0.0517,2.04150481,0.008014523,2.171290791,0.06,28.03441634,0.188020695,0.70995636,0.04139703,15506619707.0,69080480874.0,1.449379325
16,600023.SS,ZHENENG ELEC POWER,Utilities,Utilities - Independent Power Producers,2022,-0.14,4.565432347,-0.015109802,1.791738536,0.0,-24.12752424,0.334307181,0.739875906,0.0,45292624203.0,120924000000.0,3.377853394
17,600025.SS,HUANENG HYDROPOWER,Utilities,Utilities - Renewable,2022,0.37,3.988177639,0.03983008,2.418357812,0.17,17.09595113,0.514632866,1.586063233,0.026875338,113859000000.0,181631000000.0,6.325501919
18,600026.SS,COSCO SHIPPING ENERGY,Energy,Oil & Gas Midstream,2022,0.3064,9.085660638,0.021404429,2.033032644,0.0,37.31594384,0.442719318,1.258423097,0.0,39729261559.0,68250453000.0,11.43360519
19,600027.SS,HUADIAN INTERNATIONAL,Utilities,Utilities - Regulated Electric,2022,-0.08,6.990592963,0.000520827,3.170107548,0.25,-68.39424968,0.560529385,0.782700409,0.045690976,46564610001.0,223260000000.0,5.471539974
20,600028.SS,SINOPEC,Energy,Oil & Gas Integrated,2022,0.547,8.100189097,0.034304894,2.076672464,0.47,7.148622813,0.182818493,0.482741407,0.120195484,380207000000.0,1951120000000.0,3.910296679
21,600030.SS,CITIC SECURITIES,Financial Services,Capital Markets,2022,1.42,20.74653354,0.016290209,5.064802551,0.54,13.28213651,0.138261393,0.909098082,0.028631063,230109000000.0,1308600000000.0,18.86063385
22,600031.SS,SANY HEAVY INDUS,Industrials,Farm & Heavy Construction Machinery,2022,0.5076,7.675604335,0.026996926,2.404486762,0.45,30.36469526,0.220793446,2.008065899,0.029195907,130626000000.0,158921000000.0,15.41311932
23,600032.SS,ZHEJIANG NEW ENERGY,Utilities,Utilities - Renewable,2022,0.373,3.587480622,0.01662852,3.263680893,0.045,30.08662472,0.5636523,3.128187216,0.004009869,26986066145.0,46657017007.0,11.22231102
24,600033.SS,FUJIAN EXPRESSWAY,Industrials,Infrastructure Operations,2022,0.3062,3.930197407,0.050630366,1.259760348,0.15,8.619331519,0.116693502,0.671528434,0.056834558,7243128028.0,16598597643.0,2.639239311
25,600035.SS,CHUTIAN EXPRESS,Industrials,Infrastructure Operations,2022,0.45,4.652119418,0.040037819,2.138206591,0.14,6.957206726,0.423253478,0.672971337,0.044717819,5040871762.0,18049097346.0,3.130743027
26,600036.SS,CMB,Financial Services,Banks - Regional,2022,5.26,45.83390328,0.013612111,10.62513964,1.522,6.331115259,0.043777971,0.726572774,0.045703419,686977000000.0,10138900000000.0,33.30166626
27,600037.SS,GEHUA NETWORK,Communication Services,Broadcasting,2022,0.2385,9.413265231,0.020540727,1.233295164,0.046,33.6991556,0.026203192,0.85382154,0.005723352,11186081615.0,16157639174.0,8.037248611
28,600038.SS,AVICOPTER,Industrials,Aerospace & Defense,2022,0.6581,11.8963153,0.013983998,2.758272392,0.465,69.84492164,0.051449449,3.863796628,0.010116405,37686334588.0,27741370496.0,45.96494293
29,600039.SS,SRBG,Industrials,Engineering & Construction,2022,1.4,4.796991062,0.053820901,4.528949106,0.335714,4.806292057,0.273794985,1.402714492,0.04989204,58623129652.0,208328000000.0,6.72880888
30,600048.SS,POLY DEVELOPMENTS,Real Estate,Real Estate - Development,2022,1.53,16.3927355,0.012451235,4.567304144,0.58,9.114423141,0.262631191,0.850685806,0.041591767,166928000000.0,1471350000000.0,13.94506741
31,600050.SS,CHINA UNICOM,Communication Services,Telecom Services,2022,0.234,4.854324507,0.011322532,1.85641928,0.1054,18.07467754,0.080073266,0.87127973,0.024920353,134500000000.0,644687000000.0,4.229474545
32,600051.SS,NINGBO UNITED,Industrials,Industrial Distribution,2022,0.48,10.46735451,0.02338326,1.764539073,0.1,15.10303617,0.117697073,0.6925778,0.013794136,2253711304.0,6412782200.0,7.249457359
33,600052.SS,DONGWANG TIMES,Real Estate,Real Estate - Development,2022,-0.27,3.466082118,-0.060093475,1.19618487,0.0,-19.97799344,0.040654601,1.556240748,0.0,4553637029.0,3538412773.0,5.394058228
34,600053.SS,JIUDING INVESTMENT,Financial Services,Asset Management,2022,0.4017,6.745795547,0.050102862,1.167942439,0.0,36.34560604,0.00597539,2.164315512,0.0,6329711466.0,3475733586.0,14.60002995
