,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4742,3132,2749,2382,3271,3362,3927,2524,2301,2887,3609,-,-,-,-,-,-,-,-
1,Market Cap Growth,-4.23%,-6.83%,-29.99%,-5.63%,42.12%,16.47%,8.83%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3897,2247,1831,1408,2297,2332,3244,1840,1253,1858,3530,-,-,-,-,-,-,-,-
3,Last Close Price,51.25,33.85,29.14,24.83,34.09,35.05,40.54,26.05,23.75,29.80,36.74,-,-,-,-,-,-,-,-
4,PE Ratio,48.81,54.28,32.71,46.76,-,44.83,65.87,38.31,21.10,25.53,26.58,-,-,-,-,-,-,-,-
5,PS Ratio,4.25,3.11,2.79,2.71,3.53,3.68,4.44,2.98,2.70,3.45,4.32,-,-,-,-,-,-,-,-
6,PB Ratio,3.40,2.24,1.92,1.66,-,2.36,2.75,1.77,1.66,2.09,2.57,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.34,2.34,2.00,1.73,-,2.39,2.78,1.80,1.67,2.10,2.58,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,93.47,175.07,420.09,-,37.25,30.01,16.68,34.48,-,-,-,-,-,-,-,-,-
