,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,755.12,636.15,499.47,-,652.17,632.84,718.69,758.22,592.13,1123,174.39,-,152.73,-,126.26,126.26,73.82,73.82
1,Short-Term Investments,-,-,-,-,-,-,-,-,539.23,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,121.53,286.83,457.73,-,385.23,465.76,389.89,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,876.66,922.98,957.2,-,1037,1099,1109,758.22,1131,1123,174.39,-,152.73,126.26,126.26,126.26,73.82,73.82
4,Cash Growth,-15.49%,-15.99%,-13.65%,-,-8.30%,-2.20%,535.70%,-,640.76%,789.69%,38.12%,-,106.89%,71.03%,-,-,-,-
5,Accounts Receivable,145,191.4,181.49,-,157.61,138.66,154.53,106.52,128.5,162.78,179.89,-,120.91,-,121.72,121.72,87.27,87.27
6,Other Receivables,37.58,32.17,21.5,-,24.76,21.64,19.4,20.24,17.57,21.5,23.74,-,20.19,-,6.8,6.8,5.48,5.48
7,Receivables,182.58,223.57,202.99,-,182.36,160.3,173.93,126.75,146.07,184.28,203.63,-,141.09,-,128.52,128.52,92.75,92.75
8,Inventory,96.27,87.06,103.25,-,102.14,118.85,144.71,130.92,84.23,79.43,64.63,-,65.14,-,62.94,62.94,28.22,28.22
9,Prepaid Expenses,-,0.89,-,-,1.18,-,-,-,2.58,-,2.62,-,0.27,-,0.05,0.05,0.05,0.05
