,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,263.72,317.92,226.32,199.38,241.92,212.81,272.39,186.16,214.05,174.02,277.66,171.96,211.56,218.35,222.22,222.22,102.13,102.13
1,Revenue Growth (YoY),9.01%,49.39%,-16.91%,7.10%,13.02%,22.29%,-1.90%,8.26%,1.18%,-20.30%,24.95%,-22.62%,107.14%,113.80%,-,-,-,-
2,Cost of Revenue,131.44,147.88,115.96,134.96,130.1,132.97,148.95,119.32,132.55,105.99,136.81,102.95,102.9,122.54,113.84,113.84,53.6,53.6
3,Gross Profit,132.29,170.03,110.36,64.42,111.82,79.84,123.44,66.84,81.5,68.04,140.85,69,108.66,95.81,108.38,108.38,48.53,48.53
4,"Selling, General & Admin",121.53,110.66,88.05,71.71,72.64,68.25,76.82,54.53,57.78,50.02,49.67,44.37,52.51,46.85,37.53,36.02,23.44,23.44
5,Research & Development,10.96,11.52,12.73,12.86,12.95,10.92,14.81,11.24,11.64,8.95,10.1,9.61,10.35,9.97,10.23,10.23,9.38,9.38
6,Other Operating Expenses,-1.24,1.09,0.65,0.88,0.21,-0.78,1.89,-2.35,-1.99,-0.1,2.19,-1.15,0.59,0.11,0.79,0.79,0.06,0.06
7,Operating Expenses,131.51,125.25,97.64,85.88,85.96,78.4,96.4,62.07,67.21,56.36,60.76,55.58,63.38,57.3,47.95,48.59,32.93,32.93
8,Operating Income,0.77,44.78,12.72,-21.46,25.86,1.45,27.04,4.78,14.29,11.68,80.09,13.42,45.28,38.51,60.42,59.79,15.6,15.6
9,Interest Expense,-0.32,-1,-0.01,-1.65,-,-0.17,-2.44,-0.28,-0.11,-0.2,-1.19,-0.18,-0.06,-0.07,-0.09,-0.09,-0.01,-0.01
10,Interest & Investment Income,8.93,11.53,9.12,7.79,9.14,7.55,7.06,7.99,9.27,-,0.26,0.25,0.29,0.31,0.21,0.21,0.43,0.43
11,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,0.01,-0.01,-,-,-,-
12,Currency Exchange Gain (Loss),0.15,-0.15,-,-0.79,0.79,-,-2.58,1.15,-1.15,-,-0.5,-0.01,0.01,-,-0.23,-0.23,-,-
13,Other Non Operating Income (Expenses),-0.48,-0.8,-0.03,3.59,-2.56,-0.68,-1.01,1.32,-1.38,7.59,-2.83,0.46,-1.57,-0.15,-2.22,-0.08,-0.04,-0.04
14,EBT Excluding Unusual Items,9.06,54.37,21.81,-12.53,33.24,8.15,28.07,14.96,20.92,19.07,75.83,13.93,43.96,38.59,58.1,59.61,15.98,15.98
15,Gain (Loss) on Sale of Investments,-0.27,-1.24,2.06,0.99,-0.57,0.8,0.89,-,-,-,0.23,-0.16,-0.07,-,-0.03,-0.03,-,-
16,Gain (Loss) on Sale of Assets,-0.07,0.21,0.68,-0,-,0,0.21,0,-0.12,0,-,-,-,-,-,-,-,-
17,Asset Writedown,-0.28,-1.23,1.23,-5.61,-0.8,0.8,1.31,-1.31,0.63,-0.63,2.64,-2.64,0.26,-0.27,-0,-0,-0,-0
18,Other Unusual Items,-0.85,0.36,0.45,-,-,-,3.61,-6.32,-,-,2.88,-,-,-,0.46,0.46,0,0
19,Pretax Income,7.59,52.47,26.23,-17.14,31.87,9.76,34.1,7.32,21.43,18.44,81.57,11.14,44.15,38.33,58.52,60.03,15.98,15.98
20,Income Tax Expense,2.67,11.02,4,0.17,0.53,1.48,4.95,1.61,2.92,2.53,9.29,1.49,4.81,8.62,9.52,9.52,2.73,2.73
21,Earnings From Continuing Operations,4.93,41.45,22.23,-17.31,31.34,8.28,29.15,5.7,18.5,15.91,72.29,9.65,39.34,29.7,49,50.51,13.25,13.25
