,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,661.41,661.41,645.51,645.51
1,Cost of Revenue,528.64,528.64,522,522
2,Gross Profit,132.77,132.77,123.5,123.5
3,"Selling, General & Admin",501.05,501.05,132.14,132.14
4,Other Operating Expenses,-1.18,-1.18,-0.9,-0.9
5,Operating Expenses,499.9,499.9,131.3,131.3
6,Operating Income,-367.13,-367.13,-7.8,-7.8
7,Interest Expense,-0.56,-0.56,-0.35,-0.35
8,Currency Exchange Gain (Loss),-6,-6,-32.6,-32.6
9,Other Non Operating Income (Expenses),-35.66,-35.66,-36.17,-36.17
10,Pretax Income,-409.35,-409.35,-76.92,-76.92
11,Income Tax Expense,0.01,0.01,0.03,0.03
12,Net Income,-409.36,-409.36,-76.95,-76.95
13,Net Income to Common,-409.36,-409.36,-76.95,-76.95
14,Shares Outstanding (Basic),646,646,557,557
15,Shares Outstanding (Diluted),646,646,557,557
16,EPS (Basic),-0.63,-0.63,-0.14,-0.14
17,EPS (Diluted),-0.63,-0.63,-0.14,-0.14
18,Free Cash Flow,14.4,14.4,13.8,13.8
19,Free Cash Flow Per Share,0.02,0.02,0.02,0.02
20,Gross Margin,20.07%,20.07%,19.13%,19.13%
21,Operating Margin,-55.51%,-55.51%,-1.21%,-1.21%
22,Profit Margin,-61.89%,-61.89%,-11.92%,-11.92%
23,Free Cash Flow Margin,2.18%,2.18%,2.14%,2.14%
24,EBITDA,-365.9,-365.9,-6.74,-6.74
25,EBITDA Margin,-55.32%,-55.32%,-1.04%,-1.04%
26,D&A For EBITDA,1.23,1.23,1.06,1.06
27,EBIT,-367.13,-367.13,-7.8,-7.8
28,EBIT Margin,-55.51%,-55.51%,-1.21%,-1.21%
