,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,138.42,138.42,-,-
1,Cash & Short-Term Investments,138.42,138.42,-,134.91
2,Accounts Receivable,27.86,27.86,-,-
3,Other Receivables,97.16,97.16,-,-
4,Receivables,125.02,125.02,-,-
5,Inventory,140.42,140.42,-,-
6,Prepaid Expenses,9.71,9.71,-,-
7,Other Current Assets,99.16,99.16,-,-
8,Total Current Assets,512.73,512.73,-,-
9,"Property, Plant & Equipment",56.97,56.97,-,-
10,Other Intangible Assets,2.45,2.45,-,-
11,Other Long-Term Assets,0.08,0.08,-,-
12,Total Assets,572.22,572.22,-,-
13,Accounts Payable,338.57,338.57,-,-
14,Accrued Expenses,64.1,64.1,-,-
15,Short-Term Debt,10.01,10.01,-,-
16,Current Portion of Leases,17.25,17.25,-,-
17,Current Income Taxes Payable,0.02,0.02,-,-
18,Current Unearned Revenue,23.42,23.42,-,-
19,Other Current Liabilities,79.28,79.28,-,-
20,Total Current Liabilities,532.64,532.64,-,-
21,Long-Term Debt,1995.0,1995.0,-,-
22,Long-Term Leases,32.99,32.99,-,-
23,Total Liabilities,2561.0,2561.0,-,-
24,Common Stock,0.1,0.1,-,-
25,Additional Paid-In Capital,764.6,764.6,-,-
26,Retained Earnings,-1980.0,-1980.0,-,-
27,Comprehensive Income & Other,-773.63,-773.63,-,-
28,Shareholders' Equity,-1989.0,-1989.0,-,-1710
29,Total Liabilities & Equity,572.22,572.22,-,-
30,Total Debt,2055.0,2055.0,-,1775
31,Net Cash (Debt),-1917.0,-1917.0,-,-1640
32,Net Cash Per Share,-2.97,-2.97,-,-2.94
33,Filing Date Shares Outstanding,744.8,744.8,557.4,557.4
34,Total Common Shares Outstanding,744.8,744.8,557.4,557.4
35,Working Capital,-19.91,-19.91,-,-
36,Book Value Per Share,-2.67,-2.67,-,-
37,Tangible Book Value,-1991.0,-1991.0,-,-1712
38,Tangible Book Value Per Share,-2.67,-2.67,-,-
39,Machinery,13.99,13.99,-,-
40,Leasehold Improvements,10.3,10.3,-,-
