,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,778,893,1009,1210,1571,1585,1895,2262,2132,1758,1729,Upgrade
1,Market Cap Growth,-26.19%,-26.19%,-35.78%,-23.64%,-17.11%,-29.94%,-11.15%,28.69%,23.33%,-27.16%,-40.74%,Upgrade
2,Enterprise Value,6398,6401,5722,5798,5635,5511,5934,6310,6199,5641,5154,Upgrade
3,Last Close Price,1.08,1.24,1.33,1.60,1.93,1.95,2.22,2.65,2.40,1.98,1.86,Upgrade
4,PE Ratio,-,-,-,9.42,10.24,18.95,-,14.89,17.55,-10.43,-,Upgrade
5,PS Ratio,1.02,1.17,0.93,1.14,1.50,1.41,1.71,1.99,1.67,1.74,2.71,Upgrade
6,PB Ratio,0.07,0.08,0.09,0.11,0.13,0.14,0.15,0.18,0.17,0.15,0.15,Upgrade
7,P/TBV Ratio,0.08,0.08,0.09,0.11,0.13,0.14,0.15,0.19,0.18,0.15,0.15,Upgrade
8,P/FCF Ratio,128.14,147.12,-,2.72,9.67,5.91,4.80,5.97,9.15,11.46,6.19,Upgrade
9,P/OCF Ratio,69.08,69.08,-,2.70,9.60,5.86,4.77,5.71,8.40,10.68,6.03,Upgrade
10,EV/Sales Ratio,8.41,8.42,5.27,5.45,5.37,4.89,5.36,5.56,4.86,5.57,8.07,Upgrade
11,EV/EBITDA Ratio,17.04,19.79,11.95,12.59,13.52,13.42,13.99,13.04,13.43,19.95,20.78,Upgrade
12,EV/EBIT Ratio,18.77,20.20,12.11,12.75,13.71,13.63,14.20,13.22,13.61,20.19,21.22,Upgrade
13,EV/FCF Ratio,1053.76,1054.24,-,13.02,34.71,20.54,15.02,16.65,26.60,36.79,18.45,Upgrade
14,Debt / Equity Ratio,0.56,0.56,0.58,0.55,0.52,0.49,0.45,0.44,0.47,0.49,0.51,Upgrade
15,Debt / FCF Ratio,1079.75,1079.75,-,14.22,37.89,21.03,14.10,14.42,24.57,37.76,21.05,Upgrade
16,Return on Capital Employed (ROCE),1.76%,1.76%,2.72%,2.47%,2.31%,2.48%,2.55%,2.79%,2.53%,1.69%,1.44%,Upgrade
17,Earnings Yield,-15.89%,-13.84%,0.45%,10.61%,9.77%,5.28%,4.84%,6.72%,5.70%,-9.59%,-2.08%,Upgrade
18,FCF Yield,0.78%,0.68%,8.08%,36.80%,10.34%,16.93%,20.85%,16.75%,10.93%,8.72%,16.15%,Upgrade
19,Total Shareholder Return,5.79%,-,-,-,-,-,-,-,-,-,-,Upgrade
