,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,414.62,593.2,1118,1131,900.84,892.88,981.46,491.41,-,-,-,136.5,136.5
1,Short-Term Investments,-,141.49,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,255.95,155.1,-,-,222,204.37,188.89,-,-,-,-,199.02,199.02
3,Cash & Short-Term Investments,670.57,889.8,1118,1131,1123,1097,1170,491.41,-,-,403.48,335.52,335.52
4,Cash Growth,-40.28%,-18.91%,-4.44%,130.12%,-,-,190.06%,46.46%,-,-,-,-,-
5,Accounts Receivable,41.18,31.55,62.15,57.22,36.19,53.91,42.48,48.56,-,-,-,73.32,73.32
6,Other Receivables,156.94,16.78,12.57,10.21,14.13,12.56,5.2,9.83,-,-,-,4.85,4.85
7,Receivables,198.13,48.34,74.72,67.43,50.32,66.47,47.67,58.39,-,-,-,78.17,78.17
8,Inventory,122.39,119.05,101.99,115.13,113.01,100.37,107.45,129.1,-,-,-,95.34,95.34
9,Other Current Assets,4.77,6.96,5.27,5.51,13.17,5.14,26.58,7.4,-,-,-,27.08,27.08
10,Total Current Assets,995.87,1064,1300,1319,1299,1269,1352,686.29,-,-,-,536.11,536.11
11,"Property, Plant & Equipment",237.1,240.19,234.23,222.81,185.17,173.55,174.05,158.52,-,-,-,98.08,98.08
12,Long-Term Investments,-,146.37,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,52.56,53.14,53.71,54.28,54.72,55.28,52.86,53.18,-,-,-,55.09,55.09
14,Long-Term Deferred Tax Assets,2.64,2.32,2.39,1.68,1.93,1.76,1.17,1.31,-,-,-,1.7,1.7
15,Long-Term Deferred Charges,2.75,3.14,1.22,1.56,1.99,2.37,1.55,1.93,-,-,-,0.83,0.83
16,Other Long-Term Assets,238.81,0.27,0.39,6.25,8.04,6.08,1.92,2.16,-,-,-,0.9,0.9
17,Total Assets,1530,1510,1592,1605,1551,1508,1584,903.39,-,-,-,692.71,692.71
18,Accounts Payable,62.39,30.17,75.69,86.39,57.62,34.58,67.96,52.64,-,-,-,33.52,33.52
19,Accrued Expenses,7.07,4.38,4.16,14.1,18.46,10.1,0.51,19.4,-,-,-,6.49,6.49
20,Current Portion of Leases,0.92,0.89,0.88,0.4,0.39,0.16,-,-,-,-,-,-,-
21,Current Income Taxes Payable,6.6,3,8.9,9.95,-,7.18,10.07,29.88,-,-,-,20.13,20.13
22,Current Unearned Revenue,37.01,35.89,27.98,41.84,46.53,38.44,42.07,69.34,-,-,-,103.89,103.89
23,Other Current Liabilities,2.16,35.09,3.38,3.27,5.69,22.94,15.96,4.65,-,-,-,95.58,95.58
24,Total Current Liabilities,116.15,109.4,120.98,155.94,128.7,113.41,136.58,175.91,-,-,-,259.62,259.62
25,Long-Term Leases,0.95,1.43,1.42,0.91,0.9,1.11,1.26,1.25,-,-,-,-,-
26,Long-Term Unearned Revenue,0.51,0.15,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,1.14,0.8,0.98,0.91,0.71,0.68,0.04,0.29,-,-,-,0.05,0.05
28,Total Liabilities,118.76,111.78,123.38,157.76,130.3,115.2,137.89,177.46,-,-,-,259.67,259.67
