,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2180,2133,1792,2208,2537,2712,2964,3248,-,-,-,-,-,-
1,Market Cap Growth,-21.34%,-21.34%,-39.55%,-32.03%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1511,1246,676,1078,1415,1616,1795,2845,-,-,-,-,-,-
3,Last Close Price,33.71,32.99,27.71,32.82,37.72,40.32,44.07,47.02,-,-,-,-,-,-
4,PE Ratio,30.93,30.47,21.10,21.48,22.28,23.39,23.66,15.01,-,-,-,-,-,-
5,PS Ratio,7.80,7.68,6.14,6.21,6.58,6.75,6.67,6.61,-,-,-,-,-,-
6,PB Ratio,1.54,1.51,1.28,1.50,1.75,1.91,2.13,2.25,-,-,-,-,-,-
7,P/TBV Ratio,1.57,1.57,1.33,1.56,1.82,1.99,2.22,2.33,-,-,-,-,-,-
8,P/FCF Ratio,225.10,220.29,74.33,-,86.81,53.24,45.76,-,-,-,-,-,-,-
9,P/OCF Ratio,29.89,29.89,18.09,13.53,26.55,24.00,26.28,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.44,4.49,2.32,3.03,3.67,4.02,4.04,5.79,-,-,-,-,-,-
11,EV/EBITDA Ratio,26.31,21.72,9.52,13.97,15.10,14.90,14.78,19.38,-,-,-,-,-,-
12,EV/EBIT Ratio,33.24,27.40,11.42,16.31,17.10,16.55,16.25,20.93,-,-,-,-,-,-
13,EV/FCF Ratio,156.05,128.65,28.03,-,48.43,31.73,27.72,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-
15,Debt / EBITDA Ratio,0.03,0.03,0.06,0.03,0.02,0.01,0.02,0.01,0.01,-,-,-,-,-
16,Debt / FCF Ratio,0.19,0.19,0.10,-,0.04,0.03,0.02,-,0.01,-,-,-,-,-
17,Asset Turnover,0.15,0.10,0.21,0.25,0.19,0.27,0.36,-,-,-,-,0.78,-,
18,Inventory Turnover,1.49,1.25,0.73,2.02,2.19,1.42,2.53,2.33,-,-,-,-,3.03,-
19,Quick Ratio,7.48,7.48,8.58,9.86,7.68,9.12,10.26,8.92,3.13,-,-,-,1.59,1.59
20,Current Ratio,8.57,8.57,9.73,10.75,8.46,10.10,11.19,9.90,3.90,-,-,-,2.06,2.06
21,Return on Equity (ROE),3.67%,2.59%,5.57%,7.68%,7.91%,7.65%,11.55%,-,-,-,-,40.20%,-,
22,Return on Assets (ROA),2.17%,0.82%,2.29%,1.99%,4.39%,1.94%,6.29%,-,-,-,-,16.21%,-,
23,Return on Capital (ROIC),2.34%,0.88%,2.51%,2.19%,4.77%,2.11%,7.20%,-,-,-,-,25.92%,-,
24,Return on Capital Employed (ROCE),3.22%,3.22%,4.23%,4.49%,5.71%,6.86%,7.92%,9.39%,19.96%,-,-,-,20.74%,10.37%
25,Earnings Yield,3.21%,3.28%,4.74%,4.66%,4.49%,4.28%,4.23%,6.66%,-,-,-,-,-,-
26,FCF Yield,0.44%,0.45%,1.35%,4.13%,1.15%,1.88%,2.19%,2.16%,-,-,-,-,-,-
27,Dividend Yield,3.71%,-,-,-,3.31%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,115.46%,-,871.63%,-,-,-,297.95%,-,-,-,-,134.82%,40.12%,40.12%
29,Buyback Yield / Dilution,-10.66%,1.56%,1.55%,-21.11%,-31.62%,-35.49%,-32.52%,-11.24%,0.23%,0.59%,-,-,-,-
30,Total Shareholder Return,-6.95%,1.56%,1.55%,-21.11%,-28.31%,-35.49%,-32.52%,-11.24%,0.23%,0.59%,-,-,-,-
