,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,59.4,37.61,83.3,91.31,74.51,100.44,113.27,105.01,119.95,144.8,118.43,134.24,134.24
1,Other Revenue,-2.07,2.07,-,6.09,-2.98,2.98,-,8.45,-5.68,5.68,-,-,-
2,Revenue,57.33,39.68,83.3,97.4,71.54,103.42,113.27,113.45,114.27,150.48,118.43,134.24,134.24
3,Revenue Growth (YoY),-19.85%,-61.63%,-26.46%,-14.15%,-37.40%,-31.27%,-4.35%,-15.49%,-14.88%,-,-,-,-
4,Cost of Revenue,37.62,20.05,54.81,62.58,37.98,65.61,68.92,68.81,61.23,96.52,65.98,72.18,72.18
5,Gross Profit,19.72,19.63,28.48,34.82,33.55,37.8,44.35,44.64,53.04,53.96,52.45,62.06,62.06
6,"Selling, General & Admin",7.54,8.87,8.12,9.57,6.74,16.65,6.38,7.98,7.85,10.85,5.37,8.71,8.71
7,Research & Development,4.07,5.26,4.68,6.96,6.84,6.81,5.41,5.1,5.93,6.9,6.52,7.22,7.22
8,Other Operating Expenses,-5.23,0.65,0.33,6.59,-7.31,0.99,0.79,3.21,-0.26,-0.94,0.69,1.31,1.31
9,Operating Expenses,6.55,14.56,13.84,22.22,6.66,25.81,13.04,17.19,13.3,16.57,11.81,17.16,17.16
10,Operating Income,13.17,5.07,14.64,12.59,26.89,11.99,31.31,27.45,39.74,37.39,40.64,44.9,44.9
11,Interest Expense,-0.02,-0.04,-,-0.02,-0.02,-0.04,-,-,-,-,-,-,-
12,Interest & Investment Income,5.16,5.1,8.67,11.26,7.7,7.14,3.68,4.06,0.96,3.69,0.39,0.21,0.21
13,Currency Exchange Gain (Loss),-0.54,0.54,-,1.42,-3.19,3.19,-,4.81,-2.6,2.6,-,-0.22,-0.22
14,Other Non Operating Income (Expenses),-1.15,-0.16,0.11,-9.53,2.44,8.13,-0.97,-59.33,59.58,0.29,-0.19,-0.02,-0.02
15,EBT Excluding Unusual Items,16.61,10.5,23.42,15.73,33.82,30.42,34.02,-23.01,97.68,43.97,40.83,44.87,44.87
16,Gain (Loss) on Sale of Investments,0.81,0.24,-,-3.05,0.19,1.47,1.39,-,-0.06,0.06,-,0.42,0.42
17,Gain (Loss) on Sale of Assets,-,-,0.13,0,0,-,-0,-0.06,-,40.88,-,0.08,0.08
18,Asset Writedown,-2.22,0.01,-0.01,2.24,-2.24,-0.21,0.21,1.37,-1.37,-0.38,0.18,-0,-0
19,Other Unusual Items,-0.08,0.21,-0.54,16.69,-,-,-,56.06,-53.48,53.48,-,4.72,4.72
20,Pretax Income,15.13,10.97,23,31.61,31.77,31.68,35.62,34.37,42.78,138,41.02,50.09,50.09
21,Income Tax Expense,2.23,1.7,2.7,4.07,3.94,4.55,4.25,4.73,5.64,19.78,5.04,6.56,6.56
22,Net Income,12.9,9.27,20.3,27.54,27.83,27.13,31.37,29.63,37.14,118.22,35.97,43.52,43.52
23,Net Income to Common,12.9,9.27,20.3,27.54,27.83,27.13,31.37,29.63,37.14,118.22,35.97,43.52,43.52
24,Net Income Growth,-53.65%,-65.82%,-35.27%,-7.07%,-25.07%,-77.05%,-12.81%,-31.91%,-14.67%,-,-,-,-
25,Shares Outstanding (Basic),64,63,65,64,65,64,54,49,48,48,49,49,49
26,Shares Outstanding (Diluted),64,63,65,64,65,64,54,49,48,48,49,49,49
27,Shares Change (YoY),-1.56%,-1.55%,21.11%,31.62%,35.49%,32.52%,11.24%,-0.23%,-0.59%,-,-,-,-
28,EPS (Basic),0.20,0.15,0.31,0.43,0.42,0.42,0.58,0.61,0.77,2.44,0.74,0.90,0.90
29,EPS (Diluted),0.20,0.15,0.31,0.43,0.42,0.42,0.58,0.61,0.77,2.44,0.74,0.90,0.90
30,EPS Growth,-52.92%,-65.28%,-46.55%,-29.40%,-44.70%,-82.68%,-21.62%,-31.75%,-14.16%,-,-,-,-
31,Free Cash Flow,11.64,10.9,-14.12,1.27,26.06,78.03,-76.14,22.99,39.89,83.45,-36.78,46.9,46.9
32,Free Cash Flow Per Share,0.18,0.17,-0.22,0.02,0.40,1.22,-1.41,0.47,0.83,1.73,-0.76,0.96,0.96
33,Dividend Per Share,-,-,-,1.250,-,-,-,1.250,-,-,-,-,-
34,Gross Margin,34.39%,49.47%,34.19%,35.75%,46.90%,36.55%,39.15%,39.35%,46.42%,35.86%,44.29%,46.23%,46.23%
35,Operating Margin,22.97%,12.77%,17.58%,12.93%,37.59%,11.60%,27.64%,24.20%,34.78%,24.85%,34.31%,33.45%,33.45%
