,Fiscal Quarter,Current,Q2 2020,Q1 2020,Q4 2019,Q2 2019,Q1 2019,Q4 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014",+20 Quarters
0,Market Capitalization,762290,378000,353800,377000,119790,105600,110000,69121,60633,61735,60081,39690,41895,44100,50715,36382,50715,38850,41475,43050,43575,Upgrade
1,Market Cap Growth,243.64%,257.95%,221.64%,445.42%,97.57%,71.05%,83.08%,74.15%,44.73%,39.99%,18.47%,9.09%,-17.39%,13.51%,22.28%,-15.49%,16.39%,-13.95%,-2.41%,-9.43%,25.24%,Upgrade
2,Enterprise Value,412593,412593,393647,375812,118602,112977,144062,143390,154198,121647,108023,87631,96271,98476,102276,87943,106279,82687,91162,92737,117594,Upgrade
3,Last Close Price,13200.00,9061.15,8773.50,9348.81,7119.48,6276.12,6537.63,7046.37,6181.03,6293.41,6124.83,4045.76,4270.53,4045.76,4652.62,3337.75,4652.62,3302.05,3525.17,3659.03,3703.66,Upgrade
4,PE Ratio,11.05,10.09,11.72,14.14,6.95,6.14,7.05,5.52,7.99,10.85,11.01,8.96,7.02,4.89,6.00,5.42,11.72,22.84,-,14.67,9.59,Upgrade
5,PS Ratio,0.94,0.88,0.97,0.88,0.43,0.34,0.35,0.28,0.24,0.32,0.34,0.20,0.19,0.15,0.17,0.13,0.20,0.18,0.16,0.16,0.17,Upgrade
6,PB Ratio,1.34,1.04,0.99,1.12,-,0.72,0.76,0.52,0.68,0.74,0.73,-,0.50,-,0.62,-,0.62,0.50,0.53,0.53,0.54,Upgrade
7,P/TBV Ratio,1.27,1.27,1.22,1.40,-,0.72,0.76,0.52,0.69,0.75,0.74,-,0.51,-,0.63,-,0.63,0.50,0.54,0.54,0.55,Upgrade
8,P/FCF Ratio,-,-,-,-,-,3.61,-,-,3.15,-,-,0.81,-,2.02,-,-,-51.42,-,1.07,1.42,2.04,Upgrade
9,P/OCF Ratio,-,-,-,-,-,3.32,-,-11.44,2.67,-,-,0.78,-,1.77,-,-,19.68,-,1.05,1.39,2.01,Upgrade
10,EV/Sales Ratio,0.91,0.97,1.08,0.88,0.42,0.36,0.45,0.58,0.61,0.63,0.61,0.45,0.44,0.34,0.35,0.32,0.42,0.37,0.36,0.34,0.45,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.02,-,-,9.34,Upgrade
12,EV/EBIT Ratio,8.31,8.93,10.72,11.57,7.07,6.36,8.34,10.56,11.79,11.27,11.11,10.11,9.02,6.46,7.02,6.72,10.23,12.36,16.01,12.69,13.54,Upgrade
13,EV/FCF Ratio,-,-,-,-,-,3.86,-,-,8.02,-,-,1.79,-,4.51,-,-,-107.75,-,2.35,3.06,5.51,Upgrade
14,Debt / Equity Ratio,0.20,0.20,0.17,0.24,-,0.17,0.22,0.52,0.98,1.14,0.75,-,0.68,-,0.67,-,0.73,0.76,0.60,0.69,0.69,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.92,-,-,3.50,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,0.87,-,-,4.54,-,-,-,-,-,-,-,-60.90,-,1.20,1.86,2.64,Upgrade
17,Asset Turnover,0.66,0.36,-,-,0.48,-,0.51,1.29,0.61,-,-,-,-,-,-,2.07,0.64,-,-,1.49,Upgrade,
