,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,301.52,117.04,8.9,11.75,1.04,0.05,-,-,-
1,Revenue Growth (YoY),3289.74%,896.23%,752.01%,21655.56%,-,-,-,-,-
2,Cost of Revenue,70.44,31.1,3.32,4.28,0.36,0.02,-,-,-
3,Gross Profit,231.08,85.94,5.58,7.47,0.68,0.03,-,-,-
4,"Selling, General & Admin",287.39,249.31,147.26,336.17,267.07,291.3,149.53,200.6,110.48
5,Research & Development,253.16,251.57,288.49,464.22,345.51,362.66,250.77,216.39,161.03
6,Other Operating Expenses,362.29,8.53,-2.38,0.92,-1.04,-2.89,-2.06,-0.14,-0.84
7,Operating Expenses,902.84,509.41,433.37,801.31,611.54,651.07,398.24,416.85,270.66
8,Operating Income,-671.76,-423.47,-427.8,-793.84,-610.86,-651.03,-398.24,-416.85,-270.66
9,Interest Expense,-,-7.95,-15.11,-2.58,-3.01,-,-15.6,-16.11,-17.76
10,Interest & Investment Income,34.23,43.36,64.3,24.53,13.95,28.89,10.79,1.76,0.28
11,Currency Exchange Gain (Loss),-,-38.97,10.9,-109.84,-45.34,-0.36,23.3,-0.38,-0.47
12,Other Non Operating Income (Expenses),5.12,2.27,0.55,0.2,-1.82,-3.1,-3.37,-4603,-334.93
13,EBT Excluding Unusual Items,-632.41,-424.76,-367.15,-881.53,-647.08,-625.61,-383.11,-5035,-623.53
14,Gain (Loss) on Sale of Investments,-,0.85,-,-0.78,-20.96,-,-,-,-
15,Gain (Loss) on Sale of Assets,-,-0.43,-1,1320,-,-,-,-,-
16,Asset Writedown,-,-,-51.97,-16.49,-,-,-,-,-
17,Other Unusual Items,-,3.49,-3.49,-,-,-,-,-,-
18,Pretax Income,-632.41,-420.85,-423.61,420.77,-668.04,-625.61,-383.11,-5035,-623.53
19,Income Tax Expense,-,-,-,0.01,-,-,-,-,-
20,Net Income,-632.41,-420.85,-423.61,420.76,-668.04,-625.61,-383.11,-5035,-623.53
21,Net Income to Common,-632.41,-420.85,-423.61,420.76,-668.04,-625.61,-383.11,-5035,-623.53
22,Shares Outstanding (Basic),-,324,302,300,296,293,294,146,25
23,Shares Outstanding (Diluted),-,324,302,300,296,293,294,146,25
24,Shares Change (YoY),-,8.20%,2.12%,2.22%,0.75%,100.96%,1079.54%,-,-
25,EPS (Basic),-,-1.30,-1.40,1.40,-2.26,-2.13,-1.31,-34.53,-25.06
26,EPS (Diluted),-,-1.30,-1.40,1.40,-2.26,-2.13,-1.31,-34.53,-25.06
27,Free Cash Flow,-,-373.59,-512.93,-855.43,-656.25,-437.54,-402.34,-257.87,-222.63
28,Free Cash Flow Per Share,-,-1.15,-1.70,-2.86,-2.22,-1.49,-1.37,-1.77,-8.95
29,Operating Margin,-222.79%,-361.83%,-4809.39%,-6757.26%,-58511.69%,-1205618.52%,-,-,-
30,Profit Margin,-209.74%,-359.59%,-4762.36%,3581.54%,-63988.70%,-1158538.89%,-,-,-
31,Free Cash Flow Margin,-,-319.21%,-5766.54%,-7281.49%,-62858.91%,-810264.81%,-,-,-
32,EBITDA,-648.55,-397.57,-407.27,-786.81,-604.09,-647.7,-395.36,-414.51,-268.52
33,D&A For EBITDA,23.21,25.9,20.52,7.04,6.78,3.33,2.88,2.35,2.14
34,EBIT,-671.76,-423.47,-427.8,-793.84,-610.86,-651.03,-398.24,-416.85,-270.66
