,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,-,523.06,798.75,490.79,1957,2640,3971,4481,-
1,Short-Term Investments,-,1827,1741,1161,1.23,-,1.42,2.08,-
2,Cash & Short-Term Investments,-,2350,2540,1651,1958,2640,3972,4483,73.47
3,Cash Growth,-,42.29%,29.73%,-37.45%,-50.71%,-41.11%,5307.20%,-,-
4,Accounts Receivable,-,49.86,0.82,5.21,0.66,0.05,-,-,-
5,Other Receivables,-,81.96,76.49,1681,14.97,19.52,8.5,10.91,-
6,Receivables,-,131.81,77.31,1687,15.62,19.57,8.5,10.91,-
7,Inventory,-,18.94,10.99,11.64,1.88,0.45,-,-,-
8,Other Current Assets,-,7.16,23.36,64.6,34.08,27.86,22.27,2.3,-
9,Total Current Assets,-,2508,2652,3414,2010,2688,4003,4496,-
10,"Property, Plant & Equipment",-,683.99,656.44,643.86,422,262.64,137.65,121.97,-
11,Long-Term Investments,-,48.93,69.86,89.24,212.29,830.4,1466,845.7,-
12,Other Intangible Assets,-,2524,2485,2378,2811,2471,2030,2006,-
13,Other Long-Term Assets,-,6.12,27.99,86.69,466.16,391.44,34.36,4.87,-
14,Total Assets,-,5773,5894,6615,5923,6646,7673,7477,-
15,Accounts Payable,-,95.48,36.46,107.52,217.18,85.66,38.04,75.1,-
16,Accrued Expenses,-,73.51,43.85,182.07,116.99,133.79,58.33,87.62,-
17,Short-Term Debt,-,-,-,-,394.18,-,-,-,-
18,Current Portion of Long-Term Debt,-,22.66,0.26,424.08,-,-,-,-,-
19,Current Portion of Leases,-,18.65,15.8,20.33,29.93,28.25,23.19,19.02,-
20,Other Current Liabilities,-,89.82,70.95,136.03,91.17,22.56,12.92,5.18,-
21,Total Current Liabilities,-,300.13,167.31,870.03,849.44,270.27,132.48,186.91,-
22,Long-Term Debt,-,457.93,267.63,30.92,30.07,387.71,375.8,390.32,-
23,Long-Term Leases,-,40,42.42,59.31,84.04,95.85,59.14,58.88,-
24,Long-Term Unearned Revenue,-,6.05,-,-,-,-,-,-,-
25,Total Liabilities,-,804.1,477.37,960.26,963.54,753.83,567.42,636.11,-
26,Common Stock,-,0.22,0.21,0.21,0.2,0.2,0.2,0.2,-
27,Retained Earnings,-,-9016,-8596,-8172,-8593,-7925,-7299,-6916,-
28,Treasury Stock,-,-0,-0,-0,-0,-58.71,-,-,-
29,Comprehensive Income & Other,-,13985,14012,13826,13552,13875,14404,13757,-
30,Shareholders' Equity,-,4969,5416,5654,4959,5892,7105,6841,-549.87
31,Total Liabilities & Equity,-,5773,5894,6615,5923,6646,7673,7477,-
32,Total Debt,-,539.24,326.12,534.64,538.21,511.81,458.14,468.21,2534
33,Net Cash (Debt),-,1810,2214,1117,1420,2128,3514,4015,-2461
34,Net Cash Growth,-,62.12%,55.94%,-47.53%,-59.60%,-46.99%,-,-,-
35,Net Cash Per Share,-,5.59,7.33,3.73,4.80,7.26,11.97,27.53,-98.88
36,Filing Date Shares Outstanding,-,319.36,312.87,305.46,296.96,294.41,294,293.22,25.03
37,Total Common Shares Outstanding,-,319.36,312.87,305.46,296.96,294.41,294,293.22,25.03
38,Working Capital,-,2207,2485,2544,1160,2418,3871,4309,-
39,Book Value Per Share,-,15.56,17.31,18.51,16.70,20.01,24.17,23.33,-21.97
40,Tangible Book Value,-,2445,2931,3276,2149,3421,5076,4835,-2289
41,Tangible Book Value Per Share,-,7.66,9.37,10.72,7.24,11.62,17.26,16.49,-91.46
42,Buildings,-,437.87,381.83,378.28,-,-,-,-,-
43,Machinery,-,167.32,134.9,84.66,8.19,5.72,5.59,1.65,-
44,Construction In Progress,-,9.79,44.13,45.75,255.31,102.91,16.66,5.92,-
45,Leasehold Improvements,-,46.9,46.08,44.77,37.98,15.91,15.15,9.98,-
