,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,16498,6282,6698,7365,5375,6690,10326,22999,19851,-
1,Market Cap Growth,-14.71%,-14.71%,24.63%,10.10%,-47.95%,-70.91%,-47.98%,-,-,-
2,Enterprise Value,14536,4287,4306,6103,3712,4075,6099,18231,22544,-
3,Last Close Price,51.20,19.58,20.90,23.80,17.38,22.50,34.80,77.25,67.70,-
4,PE Ratio,-,-,-,-,-19.23,-,-,-,-,-
5,PS Ratio,13.97,13.97,48.28,330.19,371.66,5201.12,155778.93,-,-,-
6,PB Ratio,-,-,1.22,1.26,0.84,1.15,1.43,2.69,2.44,-
7,P/TBV Ratio,-,-,2.49,2.33,1.45,2.66,2.46,3.77,3.46,-
8,EV/Sales Ratio,32.32,9.53,31.04,273.59,256.65,3168.60,92015.48,-,-,-
9,Debt / Equity Ratio,-,-,0.11,0.06,0.09,0.11,0.09,0.06,0.07,-4.61
10,Earnings Yield,-6.86%,-18.02%,-13.89%,-0.04%,-5.20%,-22.65%,-11.99%,-28.33%,-33.85%,-
11,FCF Yield,-,-14.58%,-20.08%,-31.80%,-19.15%,-9.98%,-3.45%,-2.87%,-,
12,Buyback Yield / Dilution,-,-8.20%,-2.12%,-2.22%,-0.75%,-100.96%,-1079.54%,-,-,
13,Total Shareholder Return,-,-8.20%,-2.12%,-2.22%,-0.75%,-100.96%,-1079.54%,-,-,
