,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,7620,810,1522,2033,5153,4120,3575,3879,3154,3573,3286
1,Market Cap Growth,-60.15%,-60.15%,-70.46%,-50.66%,44.13%,6.23%,13.38%,8.54%,-4.03%,-47.21%,-53.97%
2,Enterprise Value,5381,-1718,-1197,-771,2236,1051,435,655,-134,229,-172
3,Last Close Price,7.92,0.80,1.46,1.88,4.74,3.79,3.29,3.53,2.87,3.23,2.97
4,PS Ratio,74.73,-,24.42,30.16,84.27,44.78,37.89,81.20,75.87,25.08,16.94
5,PB Ratio,3.44,0.35,0.59,0.73,1.79,1.30,1.07,1.13,0.89,0.98,0.88
6,P/TBV Ratio,0.35,0.35,0.60,0.74,1.81,1.34,1.10,1.16,0.92,1.01,0.90
7,EV/Sales Ratio,-,-,-,-,36.57,11.42,4.61,13.71,-,1.60,-
8,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Earnings Yield,-3.64%,-34.28%,-10.47%,-12.94%,-6.91%,-5.01%,-6.83%,-8.33%,-7.88%,-3.08%,-3.27%
10,FCF Yield,-4.03%,-37.66%,-10.75%,-9.19%,-4.60%,-4.82%,-5.21%,-4.82%,-3.38%,-1.20%,-3.17%
11,Buyback Yield / Dilution,4.43%,6.49%,2.38%,-,0.85%,1.08%,-5.56%,-5.51%,1.39%,1.36%,-15.84%
12,Total Shareholder Return,4.43%,6.49%,2.38%,-,0.85%,1.08%,-5.56%,-5.51%,1.39%,1.36%,-15.84%
