,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,-,10.09,46.51,15.87,38.22,40.33,36.55,3.17,31.83,98.04
1,Revenue Growth (YoY),-,-36.43%,21.69%,-60.64%,4.57%,1173.35%,14.81%,-96.77%,-57.78%,91.49%
2,Cost of Revenue,-,22.72,7.89,64.93,13.85,-1.41,39.11,56.33,17.49,29.43
3,Gross Profit,-,-12.63,38.62,-49.06,24.37,41.73,-2.56,-53.16,14.35,68.61
4,"Selling, General & Admin",41.36,89.33,26.69,23.75,28.43,19.25,31.57,28.76,40.44,76.79
5,Research & Development,132.38,124.52,92.26,148.29,118.81,139.29,74.03,57.36,51.74,61.79
6,Other Operating Expenses,0.2,1.63,0.5,2.63,2.01,2.54,2.97,14.14,17.67,43.14
7,Operating Expenses,173.94,215.48,119.45,174.67,149.26,161.09,108.56,100.27,109.84,181.72
8,Operating Income,-173.94,-228.11,-80.83,-223.73,-124.89,-119.35,-111.12,-153.43,-95.49,-113.11
9,Interest Expense,-0.11,-0.07,-0.07,-0.1,-0.06,-0.08,-0.04,-0.06,-0.08,-0.11
10,Interest & Investment Income,52.22,54.84,52.83,32.93,14.56,12.62,12.37,12.8,28.12,38.91
11,Earnings From Equity Investments,-8.67,-9.58,-10.7,-12.03,-10.87,-9.52,-8.36,-5.27,-8.48,-6.76
12,Currency Exchange Gain (Loss),2.33,-8.15,17.85,27.99,32.2,-9.06,-7.38,-36.29,5.86,8.76
13,Other Non Operating Income (Expenses),12.23,2.34,4.36,3.29,1.07,37.2,3.7,24.56,24.38,24.25
14,EBT Excluding Unusual Items,-115.95,-188.74,-16.56,-171.65,-88,-88.19,-110.83,-157.68,-45.69,-48.06
15,Gain (Loss) on Sale of Investments,-14.37,60.59,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-0.09,-,-0.68
17,Asset Writedown,-,-,-,-55.19,-,-,-,-,-5.77,-
18,Pretax Income,-130.32,-128.16,-16.56,-226.85,-88,-88.19,-110.83,-157.78,-51.47,-48.74
19,Earnings From Continuing Operations,-130.32,-128.16,-16.56,-226.85,-88,-88.19,-110.83,-157.78,-51.47,-48.74
20,Net Income,-130.32,-128.16,-16.56,-226.85,-88,-88.19,-110.83,-157.78,-51.47,-48.74
21,Net Income to Common,-130.32,-128.16,-16.56,-226.85,-88,-88.19,-110.83,-157.78,-51.47,-48.74
22,Shares Outstanding (Basic),1016,1061,1087,1087,1087,1096,1099,1039,1041,1053
23,Shares Outstanding (Diluted),1016,1061,1087,1087,1087,1096,1099,1039,1041,1053
24,Shares Change (YoY),-6.49%,-2.38%,-,-0.85%,-1.08%,5.56%,5.51%,-1.39%,-1.36%,15.84%
25,EPS (Basic),-0.13,-0.12,-0.02,-0.21,-0.08,-0.08,-0.10,-0.15,-0.05,-0.05
26,EPS (Diluted),-0.13,-0.12,-0.02,-0.21,-0.08,-0.08,-0.10,-0.15,-0.05,-0.05
27,Free Cash Flow,-203.42,-80.57,-67.96,-104.92,-104.62,-65,-86.9,-68.41,-21.42,-17.62
28,Free Cash Flow Per Share,-0.20,-0.08,-0.06,-0.10,-0.10,-0.06,-0.08,-0.07,-0.02,-0.02
29,Operating Margin,-,-2260.79%,-173.81%,-1409.56%,-326.79%,-295.96%,-304.02%,-4844.68%,-299.96%,-115.37%
30,Profit Margin,-,-1270.13%,-35.61%,-1429.21%,-230.25%,-218.68%,-303.23%,-4981.88%,-161.67%,-49.71%
31,Free Cash Flow Margin,-,-798.48%,-146.13%,-661.01%,-273.74%,-161.18%,-237.76%,-2160.06%,-67.30%,-17.98%
32,EBITDA,-165.91,-221.65,-73.24,-211.47,-111.01,-107.33,-97.51,-141.28,-84.09,-103.2
33,D&A For EBITDA,8.03,6.46,7.59,12.25,13.88,12.03,13.61,12.16,11.41,9.92
34,EBIT,-173.94,-228.11,-80.83,-223.73,-124.89,-119.35,-111.12,-153.43,-95.49,-113.11
