,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '15 Mar 31, 2015"
0,Operating Revenue,393.47,202.89,255.04,136.54,292.02,211.79,210.95,93.86,235.22,148.58,143.83,86.99,9.67
1,Other Revenue,-,-7.19,7.19,-,17.45,-6.33,6.33,-,21.19,-9.48,6.31,4.74,0.03
2,Revenue,393.47,195.7,262.23,136.54,309.47,205.45,217.28,93.86,256.41,139.11,150.14,91.73,9.69
3,Revenue Growth (YoY),27.14%,-4.75%,20.68%,45.47%,20.69%,47.69%,44.72%,2.32%,2546.05%,-,-,-,-
4,Cost of Revenue,-350.05,111.93,162.49,75.64,198.92,97.71,123.86,44.07,146.38,78.32,84.27,53.29,5.48
5,Gross Profit,743.52,83.78,99.74,60.9,110.55,107.74,93.42,49.8,110.03,60.78,65.87,38.45,4.21
6,"Selling, General & Admin",-119.13,42.73,44.28,32.13,42.22,34.06,35.17,26.43,28.68,27.33,18.82,19.69,12.42
7,Research & Development,-102.29,39.82,31.74,30.73,30.77,21.58,19.47,17.43,21.02,17.74,13.81,13.44,-
8,Other Operating Expenses,928.41,-4.84,-0.75,-3.38,-3.04,-2.15,-5.18,-3.33,4.44,-6.23,0.47,0.35,0.28
9,Operating Expenses,700.49,79.71,81.49,57.75,83.06,56.71,54.44,32.12,62.53,40.71,33.1,32.88,13.87
10,Operating Income,43.03,4.07,18.25,3.15,27.49,51.03,38.97,17.67,47.5,20.07,32.77,5.57,-9.66
11,Interest Expense,-13.24,-0.49,-0.2,-,-5.23,-1.45,-2.97,-,-6.78,-0.19,-1.87,-1.8,-0.85
12,Interest & Investment Income,0.69,3.49,9.39,0.36,0.94,0.06,0.18,-,0.38,3.6,0.1,0.1,0.05
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-0.68
14,Other Non Operating Income (Expenses),0.26,-1.82,-0.88,0.56,1.38,-1.61,5.14,-0.95,5.23,-5.03,-0.24,-1.39,-0.01
15,EBT Excluding Unusual Items,30.75,5.25,26.56,4.06,24.57,48.03,41.32,16.72,46.33,18.45,30.76,2.47,-11.15
16,Gain (Loss) on Sale of Investments,-0.79,0.11,0.68,-,0.14,-,-0.02,-,-0.1,0.01,-0.03,-0.06,-
17,Gain (Loss) on Sale of Assets,-0.16,0.04,0.2,-0.08,-0.27,0.12,0.13,-0.1,-0.62,-0.04,-,-,-0.01
18,Asset Writedown,5.49,-4.98,0.58,-1.09,6.82,-6.82,2.12,-2.14,7.15,-7.57,-1.44,-0.03,0.12
19,Other Unusual Items,-,-0.94,0.9,0.04,17.06,-1.54,1.54,-,4.1,-0.5,-,0.25,0.64
20,Pretax Income,35.28,-0.51,28.91,2.94,48.32,39.79,45.09,14.48,56.86,10.36,29.28,2.63,-10.4
21,Income Tax Expense,-2.55,-3.02,1.35,-2.19,2.94,4.54,5.46,0.62,2.72,0.71,3.14,-0.51,-1.53
22,Earnings From Continuing Operations,37.83,2.5,27.56,5.13,45.38,35.25,39.63,13.87,54.13,9.65,26.15,3.14,-8.87
23,Minority Interest in Earnings,-,0.13,-0.34,0.21,2.68,1,0.34,0.49,-0.61,1.01,-3.15,-0.88,-
24,Net Income,37.83,2.63,27.22,5.34,48.06,36.25,39.98,14.36,53.53,10.66,23,2.26,-8.87
25,Net Income to Common,37.83,2.63,27.22,5.34,48.06,36.25,39.98,14.36,53.53,10.66,23,2.26,-8.87
26,Net Income Growth,-21.28%,-92.74%,-31.92%,-62.79%,-10.21%,239.92%,73.81%,535.32%,-,-,-,-,-
27,Shares Outstanding (Basic),116,108,108,125,114,28,144,87,88,74,87,90,78
28,Shares Outstanding (Diluted),116,108,108,125,114,28,144,87,88,74,87,90,78
29,Shares Change (YoY),1.18%,291.25%,-24.89%,42.52%,29.37%,-62.83%,65.27%,-3.33%,14.06%,-,-,-,-
30,EPS (Basic),0.33,0.02,0.25,0.04,0.42,1.31,0.28,0.16,0.60,0.14,0.26,0.03,-0.11
31,EPS (Diluted),0.33,0.02,0.25,0.04,0.42,1.31,0.28,0.16,0.60,0.14,0.26,0.03,-0.11
