,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2015
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '15 Mar 31, 2015"
0,Market Capitalization,3638,3206,3123,3008,3730,5297,5408,-,-,-,-,-,-,-
1,Market Cap Growth,-39.47%,-39.47%,-42.25%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2815,2384,2120,1870,2508,4075,5496,-,-,-,-,-,-,-
3,Last Close Price,32.11,28.30,27.15,26.04,31.86,45.25,46.20,-,-,-,-,-,-,-
4,PE Ratio,50.17,43.90,37.52,25.74,28.77,38.20,37.53,-,-,-,-,-,-,-
5,Forward PE,21.77,21.48,19.41,18.27,17.06,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.71,3.25,3.46,3.29,4.29,6.41,7.00,-,-,-,-,-,-,-
7,PB Ratio,2.06,1.82,1.77,1.66,2.03,2.89,3.01,-,-,-,-,-,-,-
8,P/TBV Ratio,1.85,1.85,1.81,1.70,2.06,2.93,3.06,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,247.78,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,441.00,-250.69,-,117.54,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.85,2.41,2.35,2.05,2.89,4.93,7.11,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,34.22,28.70,31.40,16.52,18.89,27.90,33.35,-,-,-,-,-,-,-
13,EV/EBIT Ratio,41.10,34.80,40.04,18.72,20.79,30.15,35.42,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,190.64,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.05,0.02,0.01,0.01,0.07,0.35,0.37,0.37,-,0.48,-,0.20
16,Debt / EBITDA Ratio,0.98,0.43,2.67,0.44,0.49,0.09,0.60,0.89,1.84,0.70,-,1.12,-,-
17,Debt / FCF Ratio,-,-,-,-,-,0.57,-,4.82,-106.50,-4.96,-,-,-,-
18,Asset Turnover,-,0.34,0.45,0.24,0.54,0.50,-,-,-,-,-,-,-,
19,Inventory Turnover,-,-,1.19,1.78,0.89,2.47,1.22,-,-,-,-,-,-,-
20,Quick Ratio,-,-,2.69,3.39,3.82,4.06,3.59,0.95,-,1.00,-,0.86,-,1.21
21,Current Ratio,-,-,3.44,4.17,4.73,4.80,4.28,1.61,-,1.54,-,1.48,-,2.00
22,Return on Equity (ROE),8.58%,0.56%,6.03%,1.12%,10.00%,12.58%,37.88%,14.10%,-,-,-,-,-,
23,Return on Assets (ROA),-,0.44%,1.97%,0.34%,2.98%,7.77%,-,-,-,-,-,-,-,
24,Return on Capital (ROIC),5.83%,0.55%,2.46%,0.42%,3.64%,10.11%,17.13%,8.19%,-,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,2.98%,5.46%,6.48%,7.30%,8.55%,26.98%,-,25.95%,-,8.46%,-,-
26,Earnings Yield,2.01%,2.28%,2.67%,3.89%,3.48%,2.62%,2.66%,-,-,-,-,-,-,-
27,FCF Yield,-,-6.63%,-4.71%,-1.87%,0.40%,0.38%,-,-,-,-,-,-,-,
28,Dividend Yield,0.17%,-,-,1.51%,-,0.81%,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,99.10%,146.98%,1.14%,2.68%,3.40%,3.14%,9.43%,2.47%,14.88%,14.58%,148.35%,-
30,Buyback Yield / Dilution,-21.69%,-1.18%,-291.25%,24.89%,-42.52%,-29.37%,62.83%,-65.27%,3.33%,-14.06%,-,-,-,-
31,Total Shareholder Return,-21.52%,-1.18%,-291.25%,26.40%,-42.52%,-28.57%,62.83%,-65.27%,3.33%,-14.06%,-,-,-,-
