,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,-,602.03,944.86,1161,1166,1367,86.06,-,84.1,-,92.94,-,29.08
1,Trading Asset Securities,-,300.59,110.68,-,80.14,-,-,-,-,-,1,-,-
2,Cash & Short-Term Investments,902.62,902.62,1056,1161,1246,1367,86.06,84.1,84.1,-,93.94,-,29.08
3,Cash Growth,-27.57%,-33.99%,1126.53%,1279.96%,1381.72%,-,-8.39%,-,189.16%,-,-,-,-
4,Accounts Receivable,-,611.98,594.27,489.11,539.36,443.17,387.42,-,395.98,-,251.95,-,107.98
5,Other Receivables,-,10.54,7.28,31.37,5.24,4.42,2.66,-,3.8,-,0.78,-,5.56
6,Receivables,-,622.52,601.55,520.47,544.61,447.59,390.08,-,399.78,-,252.72,-,113.54
7,Inventory,-,388.78,363.83,365.55,313.65,331.12,309.65,-,242.33,-,234.29,-,78.96
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,1.71
9,Other Current Assets,-,37.19,15.31,33.78,12.69,16.73,20.56,-,14.36,-,17.94,-,11.48
10,Total Current Assets,-,1951,2036,2080,2117,2163,806.35,-,740.57,-,598.9,-,234.78
11,"Property, Plant & Equipment",-,280.91,208.61,170.9,131.2,118.89,118.78,-,113.87,-,106.06,-,36.37
12,Long-Term Investments,-,42.61,6.08,-,-,-,-,-,-,-,-,-,6.78
13,Other Intangible Assets,-,33.82,33.98,15.67,14.05,14.46,13.27,-,12.1,-,12.1,-,14.65
14,Long-Term Accounts Receivable,-,-,3.94,-,7.37,-,-,-,4.61,-,4.03,-,-
15,Long-Term Deferred Tax Assets,-,22.68,19.9,21.69,18.84,15.45,14.92,-,18.69,-,20.95,-,6.27
16,Long-Term Deferred Charges,-,0.83,0.54,0.77,0.21,-,-,-,-,-,0.39,-,0.17
17,Other Long-Term Assets,-,14.1,11.02,11.4,3.83,9.43,8.08,-,-,-,-,-,0.72
18,Total Assets,-,2346,2320,2301,2293,2321,961.41,-,889.86,-,742.42,-,299.73
19,Accounts Payable,-,300.29,301.99,307.89,292.51,253.52,227.35,-,221.4,-,188.71,-,72.33
20,Accrued Expenses,-,28.86,23.95,16.44,37.64,17.94,16.62,-,35.13,-,14.54,-,2.23
21,Short-Term Debt,-,77.01,38.57,7,8.2,121.87,148.52,-,137.93,-,148.21,-,35
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,4.01,-,-
23,Current Portion of Leases,-,1.36,2.01,-,1.04,1.16,2.52,-,4.21,-,1.74,-,-
24,Current Income Taxes Payable,-,3.81,-,3.91,7.42,15.14,2.43,-,1.15,-,0.85,-,-
