,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,417.74,502,726.48,760.29,587.59,350.24,1153,159.38,-,298.74,-,100.1,100.1,-
1,Trading Asset Securities,495.07,435,298,407.59,480.42,747.83,39.71,142.45,-,6.09,-,292.64,292.64,-
2,Cash & Short-Term Investments,912.82,937,1024,1168,1068,1098,1193,301.83,-,304.83,392.61,392.74,392.74,327.22
3,Cash Growth,-14.53%,-14.67%,-14.10%,286.93%,-,260.23%,203.77%,-23.15%,-,-6.84%,-,-,-,-
4,Accounts Receivable,204.37,204.44,184.9,153.3,168.04,160.66,164.81,117.36,-,140.5,-,114.54,114.54,-
5,Other Receivables,10.48,9.49,13.42,18.5,11.74,12.88,19.29,17.01,-,42.1,-,6.17,6.17,-
6,Receivables,214.85,213.93,198.31,171.79,179.78,173.55,184.1,134.37,-,182.6,-,120.7,120.7,-
7,Inventory,49.9,51.89,48.4,46.98,50.88,41.97,43.81,38.29,-,39.21,-,30.68,30.68,-
8,Other Current Assets,11.7,12.94,8.53,9.96,14.23,12.77,10.16,8.96,-,8.67,-,47.69,47.69,-
9,Total Current Assets,1189,1216,1280,1397,1313,1326,1431,483.46,-,535.31,-,591.81,591.81,-
10,"Property, Plant & Equipment",212.49,194.95,108.77,105.52,54.78,42.31,16.76,17.61,-,11.58,-,13.36,13.36,-
11,Long-Term Investments,12.64,10.34,9.69,10.01,12.51,11.31,11.37,9.16,-,6.8,-,4.3,4.3,-
12,Other Intangible Assets,157.97,159,160.03,161.06,161.96,162.97,163.93,164.95,-,0.17,-,0.18,0.18,-
13,Long-Term Accounts Receivable,0.09,0.09,0.14,0.14,0.17,0.17,0.14,0.35,-,1.43,-,1.42,1.42,-
14,Long-Term Deferred Tax Assets,22.48,17.24,28.66,20.47,21.21,19.53,12,7.42,-,8.06,-,3.99,3.99,-
15,Long-Term Deferred Charges,2.45,1.42,1.73,2.07,2.38,1.59,1.75,1.97,-,0.69,-,0.94,0.94,-
16,Total Assets,1597,1599,1589,1696,1566,1564,1637,684.93,-,564.04,-,616,616,-
17,Accounts Payable,100.37,107.24,44.28,95.07,44.46,42.83,33.08,32.64,-,27.32,-,28.16,28.16,-
18,Accrued Expenses,20.72,29.1,18.85,55.66,28.29,33.07,18.75,59.46,-,43.23,-,62.54,62.54,-
19,Short-Term Debt,3.5,2.5,3,3,3,-,2,4.01,-,4,-,-,-,-
20,Current Portion of Leases,6.08,2.56,1,1.39,1.39,1.59,8.27,7.9,-,5.19,-,-,-,-
21,Current Income Taxes Payable,17.44,1.6,16.51,4.35,14.13,3.71,9.96,6.18,-,1.41,-,7.45,7.45,-
22,Current Unearned Revenue,50.78,48.09,50.58,60.16,66.45,71.21,96.23,94.62,-,75.71,-,116.22,116.22,-
23,Other Current Liabilities,12.09,10.48,3.72,9.43,11.34,11.38,11.24,12.67,-,10.97,-,19.43,19.43,-
24,Total Current Liabilities,210.97,201.58,137.94,229.07,169.06,163.79,179.53,217.49,-,167.83,-,233.79,233.79,-
25,Long-Term Leases,2.96,4.13,0.96,0.53,0.32,0.4,0.76,0.68,-,0.48,-,4.97,4.97,-
26,Other Long-Term Liabilities,8.98,8.78,9.56,10.44,9.34,9.39,9,9.45,-,10.26,-,9.83,9.83,-
27,Total Liabilities,222.91,214.49,148.46,240.05,178.72,173.59,189.29,227.61,-,178.57,-,248.59,248.59,-
28,Common Stock,96.6,96.6,69,69,69,69,46,34.5,-,34.5,-,34.5,34.5,-
29,Additional Paid-In Capital,1076,1076,1109,1106,1104,1103,1126,154.75,-,154.75,-,154.75,154.75,-
30,Retained Earnings,185.26,197.38,249.2,268.5,203.68,208.91,265.9,260,-,190.17,-,172.97,172.97,-
31,Total Common Equity,1357,1370,1427,1444,1377,1381,1438,449.25,-,379.41,362.22,362.22,362.22,265.88
32,Minority Interest,17.1,14.81,13.02,12.01,10.62,9.62,9.35,8.07,-,6.06,-,5.19,5.19,-
33,Shareholders' Equity,1374,1384,1440,1456,1387,1391,1447,457.32,-,385.47,367.41,367.41,367.41,268
34,Total Liabilities & Equity,1597,1599,1589,1696,1566,1564,1637,684.93,-,564.04,-,616,616,-
35,Total Debt,12.54,9.2,4.97,4.93,4.71,2,11.04,12.59,-,9.67,9.75,4.97,4.97,-
