,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,103.34,94.9,85.13,233.65,118.36,111.86,84.88,171.15,104.49,108.56,78.56,152.08,152.08,67.93
1,Revenue Growth (YoY),-12.69%,-15.16%,0.29%,36.52%,13.28%,3.04%,8.04%,12.54%,-31.30%,59.82%,-,-,-,-
2,Cost of Revenue,64.78,58.5,56.84,99.69,68.87,73.45,39.73,61.21,51.4,59.15,35.01,60.97,60.97,-
3,Gross Profit,38.56,36.4,28.29,133.96,49.49,38.41,45.15,109.94,53.09,49.41,43.56,91.12,91.12,67.93
4,"Selling, General & Admin",22.37,18.08,21.09,25.46,21.1,24.81,17.52,17.7,17.23,18.83,15.25,16.63,16.63,-
5,Research & Development,34.24,31.35,34.49,43.6,38.45,35.38,28.58,31.33,28.65,26.59,24.99,24.88,24.88,-
6,Other Operating Expenses,-2.51,0.41,-0.06,-3.05,-5.11,2.47,-1.39,-3.73,-1.64,-1.62,-1.16,-2.66,-2.66,67.61
7,Operating Expenses,53.73,53.57,54.55,71.31,54.33,66.05,42.24,48.86,42.77,47.44,36.22,43.55,43.55,67.61
8,Operating Income,-15.17,-17.17,-26.26,62.65,-4.84,-27.64,2.9,61.07,10.32,1.97,7.34,47.57,47.57,0.32
9,Interest Expense,-0.07,-0.06,-0.03,-0.1,-0.01,-0.09,-0.11,-0.15,-0.12,-0.15,-0.11,-0.22,-0.22,-
10,Interest & Investment Income,2.69,7.7,2.19,6.87,5.84,1.75,0.85,2.78,1.64,1.3,1.47,1.97,1.97,-
11,Other Non Operating Income (Expenses),-1.77,1.72,-0.02,-0.49,-1.98,1.96,-0.03,3.24,-2.48,2.47,-0.02,-0.19,-0.19,-
12,EBT Excluding Unusual Items,-14.32,-7.81,-24.12,68.94,-0.99,-24.02,3.62,66.94,9.35,5.6,8.68,49.13,49.13,0.32
13,Gain (Loss) on Sale of Investments,-,-,-,-3.31,0.25,0.61,-,-,-,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,-0,-,-,-,-,-,-,-,0,0.04,0.01,-,-,-
15,Asset Writedown,-0.99,0.91,-0.91,0.67,-0.67,2.17,-2.17,0.97,-0.97,0.41,-0.41,0.47,0.47,-
16,Other Unusual Items,0.53,-0.54,-,0.82,-3.64,3.64,-,0.55,-,-,-,0.86,0.86,-0
17,Pretax Income,-14.79,-7.44,-25.03,67.12,-5.06,-17.6,1.45,68.46,8.39,6.05,8.27,50.45,50.45,0.32
18,Income Tax Expense,-4.2,8.55,-6.75,0.91,-0.83,-7.24,-4.15,6.66,-1.84,-3.92,0.18,5.17,5.17,-0.04
19,Earnings From Continuing Operations,-10.59,-15.98,-18.28,66.2,-4.23,-10.36,5.59,61.8,10.23,9.97,8.09,45.29,45.29,0.36
20,Minority Interest in Earnings,-1.53,-1.34,-1.02,-1.39,-1,-0.27,-0.05,-1.25,-0.77,-0.4,-0.46,-0.5,-0.5,-0.26
21,Net Income,-12.12,-17.32,-19.3,64.81,-5.23,-10.63,5.55,60.55,9.46,9.57,7.63,44.78,44.78,0.1
22,Net Income to Common,-12.12,-17.32,-19.3,64.81,-5.23,-10.63,5.55,60.55,9.46,9.57,7.63,44.78,44.78,0.1
23,Net Income Growth,-,-,-,7.04%,-,-,-27.28%,35.21%,-78.87%,9254.19%,-,-,-,-
24,Shares Outstanding (Basic),100,96,96,101,112,97,73,2,141,73,73,72,72,-
25,Shares Outstanding (Diluted),100,96,96,101,112,97,73,2,141,73,73,72,72,-
26,Shares Change (YoY),-10.80%,-0.48%,32.51%,5241.12%,-20.81%,32.25%,0.02%,-97.38%,94.83%,-,-,-,-,-
27,EPS (Basic),-0.12,-0.18,-0.20,0.64,-0.05,-0.11,0.08,31.87,0.07,0.13,0.10,0.62,0.62,-
28,EPS (Diluted),-0.12,-0.18,-0.20,0.64,-0.05,-0.11,0.08,31.87,0.07,0.13,0.10,0.62,0.62,-
29,EPS Growth,-,-,-,-98.00%,-,-,-27.29%,5056.66%,-89.15%,-,-,-,-,-
30,Free Cash Flow,-19.72,-61.77,-142.74,104.79,-35.99,-36.79,-97.45,62.57,-97.85,-2.62,-83.51,77.46,77.46,-
31,Free Cash Flow Per Share,-0.20,-0.64,-1.48,1.03,-0.32,-0.38,-1.34,32.94,-0.69,-0.04,-1.15,1.07,1.07,-
32,Dividend Per Share,-,-,-,0.357,-,-,-,0.476,-,-,-,-,-,-
33,Dividend Growth,-,-,-,-25.01%,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,37.31%,38.36%,33.23%,57.34%,41.81%,34.33%,53.19%,64.23%,50.81%,45.51%,55.44%,59.91%,59.91%,100.00%
35,Operating Margin,-14.68%,-18.09%,-30.84%,26.81%,-4.09%,-24.71%,3.42%,35.68%,9.88%,1.81%,9.34%,31.28%,31.28%,0.47%
36,Profit Margin,-11.73%,-18.25%,-22.67%,27.74%,-4.42%,-9.51%,6.54%,35.38%,9.06%,8.81%,9.71%,29.45%,29.45%,0.15%
37,Free Cash Flow Margin,-19.08%,-65.09%,-167.67%,44.85%,-30.40%,-32.89%,-114.81%,36.56%,-93.65%,-2.41%,-106.30%,50.93%,50.93%,-
38,EBITDA,-14.78,-15.73,-25.86,63.04,-4.46,-26.15,3.28,61.45,10.55,2.28,7.57,47.78,47.78,0.48
39,EBITDA Margin,-14.30%,-16.58%,-30.38%,26.98%,-3.77%,-23.38%,3.87%,35.90%,10.10%,2.10%,9.63%,31.42%,31.42%,0.71%
40,D&A For EBITDA,0.39,1.44,0.39,0.39,0.38,1.49,0.38,0.38,0.23,0.32,0.23,0.21,0.21,0.16
41,EBIT,-15.17,-17.17,-26.26,62.65,-4.84,-27.64,2.9,61.07,10.32,1.97,7.34,47.57,47.57,0.32
42,EBIT Margin,-14.68%,-18.09%,-30.84%,26.81%,-4.09%,-24.71%,3.42%,35.68%,9.88%,1.81%,9.34%,31.28%,31.28%,0.47%
43,Effective Tax Rate,-,-,-,1.36%,-,-,-,9.73%,-,-,2.19%,10.24%,10.24%,-
44,Revenue as Reported,283.37,-,85.13,233.65,315.1,-,84.88,171.15,104.49,108.56,78.56,-,-,-
