,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3141,2963,2096,2475,3369,3603,4455,3898,-,-,-,-,-,-,-
1,Market Cap Growth,-17.77%,-17.77%,-52.95%,-36.50%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2258,2050,1090,1422,2316,2517,3283,3609,-,-,-,-,-,-,-
3,Last Close Price,32.52,30.67,21.70,25.19,34.29,36.68,45.35,52.41,-,-,-,-,-,-,-
4,PE Ratio,193.92,-,-,-,61.81,-,-,45.79,-,-,-,-,-,-,-
5,Forward PE,-,15.08,15.08,19.47,27.82,29.75,-,-,-,-,-,-,-,-,-
6,PS Ratio,6.03,5.73,3.94,4.51,6.14,7.41,9.43,8.31,-,-,-,-,-,-,-
7,PB Ratio,2.31,2.16,1.51,1.72,2.31,2.60,3.20,2.69,-,-,-,-,-,-,-
8,P/TBV Ratio,2.47,2.47,1.73,1.95,2.63,2.97,3.66,3.06,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-51.48,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-185.00,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,4.37,3.96,2.05,2.59,4.22,5.18,6.95,7.69,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,164.40,-,-,-,64.86,-,-,46.52,-,-,-,-,-,-,-
13,EV/EBIT Ratio,505.23,-,-,-,70.03,-,-,47.32,-,-,-,-,-,-,-
14,EV/FCF Ratio,-18.91,-,-,-,-35.39,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.03,-,0.03,0.03,0.01,0.01,-
16,Debt / EBITDA Ratio,0.91,-,-,-,0.02,-,-,0.84,0.05,-,0.50,0.32,0.03,0.03,-
17,Debt / FCF Ratio,-,-,-,-,-0.08,-,-,-,-0.10,-,-,-,0.03,0.06,-
18,Asset Turnover,0.26,0.24,0.21,0.57,0.30,0.28,0.29,-,-,-,-,0.99,-,-,
19,Inventory Turnover,5.55,5.09,4.67,4.77,8.15,5.93,6.85,3.87,-,-,-,-,7.95,-,-
20,Quick Ratio,5.35,5.35,5.71,8.86,5.85,7.38,7.76,7.67,2.01,-,2.90,-,2.20,2.20,-
21,Current Ratio,5.64,5.64,6.03,9.28,6.10,7.77,8.10,7.97,2.22,-,3.19,-,2.53,2.53,-
22,Return on Equity (ROE),-3.07%,-4.53%,-5.05%,18.63%,-1.22%,-2.92%,2.35%,-,-,10.59%,8.81%,49.30%,-,-,
23,Return on Assets (ROA),-2.37%,-2.69%,-4.00%,9.60%,-0.77%,-4.32%,0.63%,-,-,-,-,19.30%,-,-,
24,Return on Capital (ROIC),-2.73%,-3.02%,-4.52%,10.98%,-0.87%,-4.85%,0.75%,-,-,1.27%,4.89%,31.93%,-,-,
25,Return on Capital Employed (ROCE),0.29%,-,-,-,2.25%,-,-,5.23%,17.26%,-,26.36%,-,24.97%,12.53%,-
26,Earnings Yield,0.51%,0.54%,1.10%,1.20%,1.62%,1.39%,1.46%,2.18%,-,-,-,-,-,-,-
27,FCF Yield,-3.80%,-4.03%,-6.47%,-4.47%,-1.94%,-2.99%,-3.80%,-3.47%,-,-,-,-,-,-,-
28,Dividend Yield,1.07%,-,-,-,1.04%,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,197.75%,-,-,-,0.02%,-,-,0.58%,0.07%,0.40%,0.37%,0.04%,-,-,-
30,Buyback Yield / Dilution,-35.35%,10.80%,0.48%,-32.51%,-5241.12%,20.81%,-32.25%,-0.02%,97.38%,-94.83%,-,-,-,-,-
31,Total Shareholder Return,-34.27%,10.80%,0.48%,-32.51%,-5240.07%,20.81%,-32.25%,-0.02%,97.38%,-94.83%,-,-,-,-,-
