,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,83.35,54.75,112.89,34.16,115.2,65.38,101.94,81.7,83.46,215.16,97.33,188.4,412.24,120.8,-,162.49,-,57.19,57.19
1,Short-Term Investments,-,36.61,-,92.52,-,10,-,-,-,-,-,100,-,-,-,-,-,-,-
2,Trading Asset Securities,574.06,543.85,434.28,477.56,437.3,477.22,453.13,408.21,413,251.6,200,205,96.2,10,-,-,-,20.6,20.6
3,Cash & Short-Term Investments,657.41,635.21,547.17,604.24,552.5,552.61,555.07,489.91,496.46,466.76,297.33,493.4,508.44,130.8,162.49,162.49,-,77.79,77.79
4,Cash Growth,18.99%,14.95%,-1.42%,23.34%,11.29%,18.39%,86.69%,-0.71%,-2.36%,256.85%,82.98%,203.65%,-,68.14%,108.88%,-,-,-,-
5,Accounts Receivable,108.67,108.38,102.01,80.79,75.33,72,65.86,60.63,60.06,58.69,53.03,53.55,51.59,42.12,-,34.71,-,24.43,24.43
6,Other Receivables,2.52,2.5,2.75,2.67,3.78,3.87,3.87,3.91,4.62,2.23,2.46,2.19,2.08,1.22,-,0.88,-,0.89,0.89
7,Receivables,111.18,110.88,104.76,83.46,79.1,75.87,69.73,64.53,64.67,60.91,55.49,55.74,53.67,43.34,-,35.59,-,25.32,25.32
8,Inventory,104.34,107.05,111.4,99.05,112.53,120.99,140.08,150.1,162.39,163.07,154.54,129.57,117.59,108.64,-,84.58,-,99.44,99.44
9,Other Current Assets,46.84,12.6,85.98,16.74,18.76,9.33,11.27,10.73,7.27,7.31,163.21,13.35,14.47,5.78,-,4.86,-,5.83,5.83
10,Total Current Assets,919.77,865.74,849.32,803.49,762.89,758.8,776.15,715.28,730.79,698.07,670.57,692.05,694.17,288.56,-,287.52,-,208.37,208.37
11,"Property, Plant & Equipment",211.27,205.94,202.93,202.68,194.91,187.22,187.26,182.55,170.97,162.93,158.04,155.63,146.1,145.3,-,133.96,-,129.32,129.32
12,Other Intangible Assets,90.08,90.69,91.29,91.9,91.91,81.63,82.17,82.71,55.94,55.78,17.19,17.04,17.6,17.78,-,17.62,-,17.95,17.95
13,Long-Term Deferred Tax Assets,5.18,5.45,6.17,6.16,5.76,5.59,5.62,6.15,4.24,3.9,4.13,5.06,3.27,3.16,-,2.8,-,2.3,2.3
14,Long-Term Deferred Charges,6.42,1.41,2.09,2.77,3.45,4.12,4.8,5.48,6.16,6.59,6.99,6.94,-,3.31,-,1.63,-,1.35,1.35
15,Other Long-Term Assets,16.81,13.67,13.79,14.32,16.75,16.43,14.05,13.43,16.37,21.52,38.66,39.39,21.49,19.86,-,7.05,-,6.23,6.23
16,Total Assets,1250,1183,1166,1121,1076,1054,1070,1006,984.47,948.79,895.57,916.1,882.63,477.96,-,450.57,-,365.52,365.52
17,Accounts Payable,51.41,57.24,53.1,48.02,50.49,46.94,42.81,46.85,52.32,57.95,61.42,82.67,70.8,67.19,-,44.67,-,40.33,40.33
18,Accrued Expenses,10.02,13.42,6.31,23.69,10.64,14.65,9.31,13.65,9.29,9.41,7.91,20.62,8.7,10.16,-,13.8,-,10.12,10.12
19,Short-Term Debt,280,238,195,165,150,160,165,120,98,75,25,20,10,30,-,53.34,-,53.89,53.89
20,Current Portion of Leases,1.06,1.05,1.04,1.84,2.15,2.85,2.86,3.32,2.29,2.34,2.2,2.85,0.8,1.31,-,-,-,-,-
21,Current Income Taxes Payable,10.61,4.87,12.1,7.41,12.24,4.74,9.64,0.52,5.42,1.27,3.77,3.35,6.87,3.69,-,7.53,-,2.69,2.69
22,Current Unearned Revenue,12.52,13.19,11.18,10.66,11.33,14.57,13.62,11.72,14.46,13.61,20.08,14.6,22.8,33.29,-,29.71,-,11.2,11.2
23,Other Current Liabilities,2.71,1.22,1.03,1.47,1.1,1.56,1.3,1.34,2.15,2.03,2.62,1.53,3.2,4.48,-,4,-,2.11,2.11
24,Total Current Liabilities,368.33,328.99,279.76,258.09,237.96,245.31,244.53,197.39,183.92,161.6,123.01,145.61,123.17,150.13,-,153.04,-,120.34,120.34
25,Long-Term Leases,0.95,1.19,1.42,1.77,1.88,2.08,2.46,3.36,3.31,3.7,4.21,4.7,0.2,0.2,-,-,-,-,-
26,Long-Term Unearned Revenue,7.21,7.63,8.05,8.47,8.5,7.7,8.07,8.44,8.81,9.19,8.02,8.34,8.65,8.98,-,7.29,-,4.43,4.43
27,Long-Term Deferred Tax Liabilities,8.93,9.27,9.38,9.3,8.81,8.94,9.12,9.03,7.3,6.87,6,6.82,5.31,5.34,-,5.22,-,4.98,4.98
28,Other Long-Term Liabilities,12.42,12.36,12.68,12.86,12.3,11.74,11.72,11.27,10.8,10.96,10.71,10.78,10.68,10.05,-,9.32,-,7.67,7.67
29,Total Liabilities,397.84,359.44,311.3,290.49,269.44,275.77,275.89,229.5,214.15,192.33,151.93,176.25,148.01,174.7,-,174.87,-,137.42,137.42
30,Common Stock,68,68,68,68,68,68,68,68,68,68,68,68,68,51,-,51,-,51,51
31,Additional Paid-In Capital,454.49,454.49,454.49,454.49,454.49,454.49,454.49,454.49,454.49,454.49,454.49,454.49,454.49,60.16,-,60.16,-,60.16,60.16
32,Retained Earnings,329.2,300.97,331.8,308.35,283.74,255.54,271.67,253.61,247.83,233.97,221.15,217.36,212.13,192.1,-,164.55,-,116.94,116.94
33,Shareholders' Equity,851.69,823.47,854.29,830.84,806.23,778.03,794.16,776.11,770.32,756.46,743.64,739.85,734.62,303.26,275.71,275.71,-,228.1,228.1
34,Total Liabilities & Equity,1250,1183,1166,1121,1076,1054,1070,1006,984.47,948.79,895.57,916.1,882.63,477.96,-,450.57,-,365.52,365.52
35,Total Debt,282.01,240.23,197.46,168.61,154.03,164.93,170.32,126.68,103.6,81.04,31.41,27.55,11,31.52,53.34,53.34,-,53.89,53.89
36,Net Cash (Debt),375.4,394.98,349.71,435.63,398.47,387.67,384.75,363.23,392.86,385.72,265.92,465.85,497.44,99.28,109.15,109.15,-,23.9,23.9
