,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2055,1862,1623,1792,2226,2166,2174,1737,1595,1542,1743,2027,2645,1987,-,-,-,-,-,-
1,Market Cap Growth,-14.03%,-14.03%,-25.34%,3.13%,39.51%,40.43%,24.74%,-14.29%,-39.68%,-22.38%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1680,1467,1273,1393,1827,1778,1789,1345,1202,1157,1477,1530,2147,1888,-,-,-,-,-,-
3,Last Close Price,30.22,27.38,23.87,25.49,31.66,30.81,30.92,24.20,22.22,21.48,24.28,28.15,36.72,27.59,-,-,-,-,-,-
4,PE Ratio,19.50,17.68,15.42,17.63,23.13,27.99,34.48,31.05,38.26,37.52,36.87,42.52,50.08,28.47,-,-,-,-,-,-
5,PS Ratio,3.44,3.12,2.77,3.11,3.90,4.13,4.24,3.53,3.37,2.89,3.20,3.64,4.80,3.86,-,-,-,-,-,-
6,PB Ratio,2.41,2.19,1.97,2.10,2.68,2.69,2.79,2.19,2.06,2.00,2.30,2.73,3.57,2.70,-,-,-,-,-,-
7,P/TBV Ratio,2.44,2.44,2.22,2.35,3.01,3.03,3.12,2.44,2.30,2.16,2.49,2.79,3.66,2.77,-,-,-,-,-,-
8,P/FCF Ratio,45.36,41.10,34.42,-,23.19,38.96,51.51,-81.04,-,-15.60,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,21.42,21.42,16.28,-,14.30,15.70,17.32,22.98,-484.50,-239.77,-41.96,-,94.84,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.82,2.46,2.17,2.42,3.20,3.39,3.49,2.73,2.54,2.17,2.71,2.75,3.89,3.66,-,-,-,-,-,-
11,EV/EBITDA Ratio,13.27,11.91,10.72,11.73,16.28,18.34,21.42,19.09,20.86,20.51,25.71,24.04,31.13,22.31,-,-,-,-,-,-
12,EV/EBIT Ratio,16.56,14.47,13.10,14.48,20.33,23.80,29.13,27.58,33.33,33.11,39.51,34.16,-,27.54,-,-,-,-,-,-
13,EV/FCF Ratio,37.07,32.38,27.01,-,19.04,31.98,42.39,-62.71,-,-11.70,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.33,0.33,0.29,0.23,0.20,0.19,0.21,0.21,0.16,0.13,0.11,0.04,0.04,0.01,0.10,0.19,0.19,-,0.24,0.24
15,Debt / EBITDA Ratio,2.23,1.72,1.85,1.69,1.72,1.05,1.31,1.87,3.34,1.12,1.11,0.78,1.39,0.11,0.32,0.87,0.65,-,0.81,0.81
16,Debt / FCF Ratio,6.22,6.22,5.09,-,1.76,2.77,3.91,-7.94,-,-1.05,-,-,-,-,0.42,-,0.81,-,-,-
