,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,318.6,381.2,335.46,-,479.51,707.7,451.15,723.8,615.64,878.91,Upgrade
1,Revenue Growth (YoY),-5.03%,-,-30.04%,-,6.29%,-2.22%,-26.72%,-17.65%,-0.21%,7.18%,Upgrade
2,Cost of Revenue,239.55,309.76,279.76,-,423.81,614.46,382.91,593.37,480.29,655.19,Upgrade
3,Gross Profit,79.05,71.44,55.7,-,55.7,93.25,68.24,130.43,135.35,223.72,Upgrade
4,"Selling, General & Admin",45.15,48.94,39.01,-,81.45,77.82,62.09,63.47,61.28,78.22,Upgrade
5,Other Operating Expenses,-,-,-,-,-,-1.39,1.39,-2.68,7.28,1.71,Upgrade
6,Operating Expenses,45.15,49.2,39.01,-,81.45,73.95,63.48,62.96,68.56,81.29,Upgrade
7,Operating Income,33.9,22.25,16.69,-,-25.75,19.3,4.76,67.46,66.8,142.43,Upgrade
8,Interest Expense,-1.98,-2.07,-2.16,-,-5.54,-5.7,-8.72,-11.65,-9.04,-10.11,Upgrade
9,Interest & Investment Income,-,3.65,-,-,-,5.23,-,4.49,-,1.59,Upgrade
10,Earnings From Equity Investments,-,-35.68,5.28,-,27.81,32.06,37.98,37.06,22.46,20.15,Upgrade
11,Currency Exchange Gain (Loss),0.46,0.71,-0.37,-,-0.32,4.4,1.81,2.49,-1.4,-12.6,Upgrade
12,Other Non Operating Income (Expenses),10.39,11.61,8.01,-,24.65,-2.66,18.2,14.11,26.66,11.12,Upgrade
13,EBT Excluding Unusual Items,42.77,0.46,27.44,-,20.85,52.63,54.03,113.96,105.49,152.58,Upgrade
14,Impairment of Goodwill,-,-44.63,-40,-,-,-55,-41.53,-173,-3,-15,Upgrade
15,Gain (Loss) on Sale of Investments,-,-46.39,-20,-,-0.13,-0.24,4.64,2.15,-2.02,1.9,Upgrade
16,Gain (Loss) on Sale of Assets,0.2,-10.28,-2.43,-,1.37,-0.39,2.15,0.97,0.06,0.49,Upgrade
17,Asset Writedown,-,-3.96,-,-,-,-,-,-0.03,-,-0.03,Upgrade
18,Other Unusual Items,-,-,-,-,0.1,-,-,0.83,0.69,0.02,Upgrade
19,Pretax Income,42.97,-104.8,-34.99,-,22.19,-3,19.29,-55.13,101.22,139.95,Upgrade
20,Income Tax Expense,11.28,9.12,7.24,-,7.87,3.63,2.03,18.32,18.79,39.69,Upgrade
21,Earnings From Continuing Operations,31.69,-113.92,-42.22,-,14.32,-6.63,17.26,-73.45,82.42,100.26,Upgrade
22,Earnings From Discontinued Operations,-4.11,1.7,-9.43,-,3.32,-,-,-,-,-,Upgrade
23,Net Income to Company,27.58,-112.22,-51.66,-,17.64,-6.63,17.26,-73.45,82.42,100.26,Upgrade
24,Minority Interest in Earnings,1.23,-0.37,0.37,-,-1,-0.77,-1.22,-0.63,0.58,-0.45,Upgrade
25,Net Income,28.81,-112.59,-51.29,-,16.65,-7.41,16.03,-74.08,83,99.81,Upgrade
26,Net Income to Common,28.81,-112.59,-51.29,-,16.65,-7.41,16.03,-74.08,83,99.81,Upgrade
27,Net Income Growth,-,-,-,-,3.84%,-,-80.68%,-,9.09%,172.10%,Upgrade
28,Shares Outstanding (Basic),1568,1568,1568,-,1568,1568,1568,1568,1568,1568,Upgrade
29,Shares Outstanding (Diluted),1568,1568,1568,-,1568,1568,1568,1568,1568,1568,Upgrade
30,EPS (Basic),0.02,-0.07,-0.03,-,0.01,-0.00,0.01,-0.05,0.05,0.06,Upgrade
31,EPS (Diluted),0.02,-0.07,-0.03,-,0.01,-0.00,0.01,-0.05,0.05,0.06,Upgrade
32,EPS Growth,-,-,-,-,3.84%,-,-80.68%,-,9.09%,172.11%,Upgrade
33,Free Cash Flow,54.38,-,62.19,-,150.5,109.8,123.72,128.02,64.37,144.84,Upgrade
34,Free Cash Flow Per Share,0.03,-,0.04,-,0.10,0.07,0.08,0.08,0.04,0.09,Upgrade
35,Dividend Per Share,0.020,-,-,-,-,-,-,-,-,-,Upgrade
36,Operating Margin,10.64%,5.84%,4.97%,-,-5.37%,2.73%,1.06%,9.32%,10.85%,16.21%,Upgrade
37,Profit Margin,9.04%,-29.54%,-15.29%,-,3.47%,-1.05%,3.55%,-10.24%,13.48%,11.36%,Upgrade
38,Free Cash Flow Margin,17.07%,-,18.54%,-,31.39%,15.51%,27.42%,17.69%,10.46%,16.48%,Upgrade
39,EBITDA,83.23,107.18,66.51,-,42.82,87.46,78.05,150.7,135.93,208.17,Upgrade
40,D&A For EBITDA,49.33,59.12,49.82,66.2,68.56,68.16,73.29,83.24,69.14,65.74,Upgrade
41,EBIT,33.9,22.25,16.69,-,-25.75,19.3,4.76,67.46,66.8,142.43,Upgrade
