,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Cash & Equivalents,184.86,293.6,496.65,618.21,101.27,-,-,20.4
1,Trading Asset Securities,324.56,292.49,-,-,-,-,-,2.24
2,Cash & Short-Term Investments,509.41,586.09,496.65,618.21,101.27,-,22.65,22.65
3,Cash Growth,403.00%,-,2093.03%,2629.80%,-,-,-,-
4,Accounts Receivable,738.58,662.36,813.05,694.24,564.99,-,-,437.29
5,Other Receivables,37.61,6.85,6.6,4.16,3.92,-,-,4.55
6,Receivables,776.19,669.22,819.65,698.41,568.91,-,-,441.84
7,Inventory,372.44,313.34,312.37,330.6,327.97,-,-,313.24
8,Other Current Assets,45.26,29.72,24.68,16.18,18.37,-,-,7.4
9,Total Current Assets,1703,1598,1653,1663,1017,-,-,785.13
10,"Property, Plant & Equipment",330.46,323.73,324.16,328.13,312.66,-,-,305.53
11,Other Intangible Assets,38.84,39.23,39.63,40.11,40.46,-,-,41.41
12,Long-Term Accounts Receivable,-,108.51,-,73.21,-,-,-,77.42
13,Long-Term Deferred Tax Assets,11.45,10,10.78,10.27,10.2,-,-,10.15
14,Long-Term Deferred Charges,3.82,4.23,2.48,2.47,2.1,-,-,2.46
15,Other Long-Term Assets,70.17,-,67.44,11,80.78,-,-,6.32
16,Total Assets,2158,2084,2098,2129,1463,-,-,1228
17,Accounts Payable,230.11,179.96,179.52,208.37,181.26,-,-,167.33
18,Accrued Expenses,15.1,22.88,15.55,22.19,17.08,-,-,27.18
19,Short-Term Debt,154.65,98.26,124.73,98.08,118.79,-,-,24.62
20,Current Portion of Long-Term Debt,179.51,154.59,-,116.88,141.78,-,-,247.38
21,Current Portion of Leases,-,4.74,-,2.93,-,-,-,2.79
22,Current Income Taxes Payable,10.88,5.67,35.77,17.6,30.32,-,-,1.42
23,Current Unearned Revenue,2.24,2.17,-,0.45,0.47,-,-,1.09
24,Other Current Liabilities,6.46,7.13,4.7,17.51,7.84,-,-,12.75
25,Total Current Liabilities,598.95,475.41,360.27,484.01,497.55,-,-,484.56
26,Long-Term Debt,222.29,281.88,424.75,350.32,343.3,-,-,177.01
27,Long-Term Leases,3.01,3.76,8.43,5.43,6.24,-,-,8.69
28,Long-Term Unearned Revenue,37.53,38.76,40,41.23,42.46,-,-,46.17
29,Long-Term Deferred Tax Liabilities,22.2,23.19,19.89,19.41,11.35,-,-,12.92
30,Other Long-Term Liabilities,4.92,4.94,5.25,4.98,4.07,-,-,3.64
31,Total Liabilities,888.89,827.95,858.59,905.38,904.98,-,-,732.98
32,Common Stock,240,240,240,240,180,-,-,180
33,Additional Paid-In Capital,779.49,779.49,779.49,779.49,203.29,-,-,203.29
34,Retained Earnings,248.92,236,219.64,203.76,174.25,-,-,112.54
35,Comprehensive Income & Other,0.75,0.64,0.11,-0.06,0.2,-,-,-0.39
36,Shareholders' Equity,1269,1256,1239,1223,557.74,-,495.44,495.44
37,Total Liabilities & Equity,2158,2084,2098,2129,1463,-,-,1228
38,Total Debt,559.46,543.23,557.91,573.64,610.12,-,460.48,460.48
39,Net Cash (Debt),-50.05,42.86,-61.26,44.57,-508.85,-,-437.84,-437.84
40,Net Cash Per Share,-0.21,0.18,-0.26,0.25,-2.83,-,-2.43,-2.43
41,Filing Date Shares Outstanding,240,240,240,240,180,179.97,179.99,180
42,Total Common Shares Outstanding,240,240,240,240,180,179.97,179.99,180
43,Working Capital,1104,1123,1293,1179,518.97,-,-,300.58
44,Book Value Per Share,5.29,5.23,5.16,5.10,3.10,-,2.75,2.75
45,Tangible Book Value,1230,1217,1200,1183,517.28,-,454.02,454.02
46,Tangible Book Value Per Share,5.13,5.07,5.00,4.93,2.87,-,2.52,2.52
47,Buildings,-,148.34,-,148.34,-,-,-,138.6
48,Machinery,-,402.55,-,381.35,-,-,-,353.61
49,Construction In Progress,-,14.54,-,26.17,-,-,-,9.29
