,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Market Capitalization,3790,4018,3331,3871,5719,-,-,-,-
1,Enterprise Value,3840,3975,3392,4380,6228,-,-,-,-
2,Last Close Price,15.79,16.74,13.88,16.13,23.83,-,-,-,-
3,PE Ratio,47.57,53.80,40.16,43.42,62.69,-,-,-,-
4,PS Ratio,5.46,6.18,4.68,4.92,6.97,-,-,-,-
5,PB Ratio,2.99,3.17,2.65,3.12,4.68,-,-,-,-
6,P/TBV Ratio,3.27,3.27,2.74,3.23,4.83,-,-,-,-
7,P/FCF Ratio,-,-,-20.81,-,-,-,-,-,-
8,P/OCF Ratio,-,-,-25.73,-,-,-,-,-,-
9,EV/Sales Ratio,5.90,6.11,4.77,5.57,7.59,-,-,-,-
10,EV/EBITDA Ratio,29.93,31.77,25.03,28.43,38.51,-,-,-,-
11,EV/EBIT Ratio,43.44,44.96,34.23,37.16,49.52,-,-,-,-
12,EV/FCF Ratio,-23.50,-,-21.20,-,-,-,-,-,-
13,Debt / Equity Ratio,0.44,0.44,0.43,0.45,0.47,1.09,-,0.93,0.93
14,Debt / EBITDA Ratio,4.36,5.33,5.03,4.51,3.16,4.16,-,2.98,2.03
15,Debt / FCF Ratio,-,-,-3.39,-,-,-,-,-,11.72
16,Asset Turnover,0.21,0.27,0.33,-,-,-,-,-,
17,Inventory Turnover,1.46,1.04,1.45,1.72,-,-,-,-,-
18,Quick Ratio,2.15,2.15,2.64,3.65,2.72,1.35,-,-,0.96
19,Current Ratio,2.84,2.84,3.36,4.59,3.44,2.04,-,-,1.62
20,Return on Equity (ROE),4.09%,5.24%,5.16%,-,-,-,14.49%,-,
21,Return on Assets (ROA),2.02%,1.91%,2.59%,-,-,-,-,-,
22,Return on Capital (ROIC),2.37%,2.22%,3.05%,-,-,-,7.80%,-,
23,Return on Capital Employed (ROCE),5.67%,5.67%,6.16%,6.78%,7.65%,14.15%,-,-,5.93%
24,Earnings Yield,1.97%,1.86%,2.49%,2.30%,1.60%,-,-,-,-
25,FCF Yield,-4.31%,-4.07%,-4.80%,-6.53%,-3.02%,-,-,-,-
26,Payout Ratio,13.27%,0.11%,24.92%,14.09%,12.13%,17.19%,17.14%,19.52%,13.91%
27,Buyback Yield / Dilution,-24.97%,-33.18%,-33.44%,-33.28%,0.00%,-,-,-,-
28,Total Shareholder Return,-24.97%,-33.18%,-33.44%,-33.28%,0.00%,-,-,-,-
